id,project,project_nick,type,category,title,body,publish_date,publish_date_t,fronturl,picture,badge,pay_option,data,_score,overview,text,news_type,ticker,industry
67fa908b9a79476414f9af4e,РБК,rbcnews,article,business,На марш оппозиции в центре Варшавы вышли тысячи человек,"Митинг проходил в центре Варшавы в течение двух часов, в нем участвовали видные оппозиционеры. По данным властей, в шествии в центре Варшавы участвовали 20 тыс. человек, оппозиция заявила о 100 тыс.",2025-04-12T19:40:05+03:00,1744476005,https://www.rbc.ru/politics/12/04/2025/67fa908b9a79476414f9af4e,https://s0.rbk.ru/v6_top_pics/media/img/9/32/347444765875329.jpeg,,free,,0,"Митинг проходил в центре Варшавы в течение двух часов, в нем участвовали видные оппозиционеры. По данным властей, в шествии в центре Варшавы участвовали 20 тыс. человек, оппозиция заявила о 100 тыс.","Video В центре Варшавы днем 12 апреля прошел многотысячный марш польской оппозиции. По оценке столичной мэрии, в город прибыло 200 автобусов со сторонниками оппозиционной партии «Право и справедливость» (ПиС), а в марше приняли участие 20 тыс. человек, передает газета Wiadomosci. Бывший министр обороны Польши от ПиС Мариуш Блащак, в свою очередь, заявил, что в митинге участвовали порядка 100 тыс. человек. Такие же данные привел кандидат в президенты Польши от ПиС, президент Института национальной памяти Кароль Навроцкий, ссылаясь на подсчеты организаторов. Официально шествие приурочено к 1000-летию Королевства Польского и 500-летию «прусского оммажа» (вассальной присяге на верность польскому королю прусского герцога Альбрехта Гогенцоллерна). Politico узнало о тайных контактах команды Трампа с украинской оппозицией
                                    


Политика Шествие началось в 12:00 (13:00 мск) перед памятником Копернику на Краковском предместье. Участники митинга несли национальные флаги и плакаты с предвыборными и антиправительственными лозунгами. Спустя два часа мероприятие завершилось, и участники митинга начали постепенно расходиться. В митинге приняли участие некоторые политики, в том числе бывший премьер-министр Польши Матеуш Моравецкий. Перед собравшимися выступали Навроцкий и бывший польский премьер, председатель ПиС Ярослав Качиньский. Сейчас основной правящей партией в Польше является «Гражданская платформа» с 157 мандатами в парламенте, к ней принадлежит премьер Дональд Туск. Она состоит в коалиции с другими парламентскими партиями. Большинство мест, однако, имеет ПиС с 194 мандатами. Накануне в польском городе Коньске прошли дебаты кандидатов на пост президента страны. В них участвовали в том числе Навроцкий и мэр Варшавы, кандидат от «Гражданской платформы» Рафал Тшасковский, предварительно лидирующие по результатам опроса. Кандидаты отвечали на вопросы по трем тематическим блокам: безопасность, внешняя политика и экономика. Первый тур президентских выборов в Польше назначен на 18 мая. На пост главы государства претендуют девять человек. Читайте РБК в Telegram.",industry,GAZP,газ
67fa71a29a794720236c512e,РБК,rbcnews,article,business,«Динамо» проиграло «Ак Барсу» в первом матче 1/4 финала Кубка Гагарина,"Казанский «Ак Барс» одержал победу над «Динамо» со счетом 5:3. Нападающий Дмитрий Яшкин оформил дубль, забросив на последних секундах в пустые ворота",2025-04-12T19:08:02+03:00,1744474082,https://www.rbc.ru/sport/12/04/2025/67fa71a29a794720236c512e,https://s0.rbk.ru/v6_top_pics/media/img/5/55/347444734276555.jpeg,,free,,0,"Казанский «Ак Барс» одержал победу над «Динамо» со счетом 5:3. Нападающий Дмитрий Яшкин оформил дубль, забросив на последних секундах в пустые ворота","Московское «Динамо» проиграло казанскому «Ак Барсу» в домашней игре в первом матче серии четвертьфинала Кубка Гагарина. Встреча завершилась со счетом 5:3. В составе гостей заброшенными шайбами отметились Дмитрий Яшкин (пятая и 60-я минута), Эрик О’Делл (15-я), Митчелл Миллер (51), Илья Сафонов (59). У московского клуба шайбу забросил Седрик Пакетт (39), Павел Кудрявцев (53), Максим Комтуа (56). Московское «Динамо» выбило клуб Ротенберга из плей-офф КХЛ
                                    


Спорт «Динамо» уступает в серии плей-офф Континентальной хоккейной лиги (КХЛ) до четырех побед со счетом 1:0. Второй матч серии состоится 14 апреля в Москве. В первом раунде плей-офф Кубка Гагарина московское «Динамо» оказалось сильнее петербургского СКА (4:2), а казанский «АК Барс» выиграл у екатеринбургского «Автомобилиста» (4:3) в решающем матче серии.",company_specific,GAZP,газ
67fa86669a79470bba35d68a,РБК,rbcnews,article,business,Израиль анонсировал расширение боевых действий по всему сектору Газа,"Кац анонсировал распространение операций ЦАХАЛ на «другие места в большей части Газы». Населению, по его словам, «придется эвакуироваться» из зон боев. Ранее израильские военные завершили окружение Рафаха",2025-04-12T18:58:58+03:00,1744473538,https://www.rbc.ru/politics/12/04/2025/67fa86669a79470bba35d68a,https://s0.rbk.ru/v6_top_pics/media/img/9/99/347444737835999.jpeg,,free,,0,"Кац анонсировал распространение операций ЦАХАЛ на «другие места в большей части Газы». Населению, по его словам, «придется эвакуироваться» из зон боев. Ранее израильские военные завершили окружение Рафаха","Израиль намерен расширить боевые действия по всему сектору Газа, сообщил министр обороны страны Исраэль Кац. Его цитирует The Times of Israel. «Интенсивная деятельность ЦАХАЛ вскоре распространится на другие места в большей части Газы, и вам придется эвакуироваться из зон боевых действий», — обратился он к жителям эксклава. Кац призвал палестинцев «устранить [палестинскую группировку] ХАМАС и освободить всех заложников», прежде чем израильские военные расширят свои операции в регионе. «Это последний момент, чтобы устранить ХАМАС, освободить заложников и положить конец войне», — заявил министр. Kan узнал о готовности Израиля к новым боям в Газе
                                    


Политика Армия обороны Израиля (ЦАХАЛ) ранее отчиталась о полном окружении населенного пункта Рафах на юге Сектора Газа. Израильские военные взяли под контроль «коридор Мораг», одна из дивизий также действует в Филадельфийском коридоре вдоль границы Египта с эксклавом. Кац сообщил, что Израиль превратил территорию между этими областями в свою «зону безопасности». Рафах, полностью находящийся там, оказался отрезан от Хан-Юниса. 2 апреля израильские власти объявили о расширении военной операции «Отвага и меч» в секторе Газа, возобновленной 18 марта после провала переговоров о продлении перемирия с ХАМАС. Боевики обвинили Израиль в «возобновлении войны на уничтожение». Кац назвал целью операции зачистку района от боевиков ХАМАС и инфраструктуры группировки. Другой задачей министр назвал взятие под контроль «обширных территорий», которые будут присоединены к буферной зоне вдоль границ полуэксклава. Премьер-министр Израиля Биньямин Нетаньяху тогда уточнил, что целью операции станет создание «коридора Мораг», который отделит город Рафах, расположенный вблизи границы с Египтом, от всего остального сектора Газа. Мораг — название самого южного еврейского населенного пункта, находившегося в Газе до полного вывода израильских подразделений и поселений в 2005 году. Читайте РБК в Telegram.",company_specific,GAZP,газ
67fa772a9a79471df38217f0,РБК,rbcnews,article,business,В Таджикистане поддержали запрет на преследование за лайки в соцсетях,Нижняя палата парламента единогласно решила отменить уголовную ответственность за лайки и проставление эмодзи в интернете. Ранее эту практику критиковал президент. Сейчас за это в стране наказаны 1507 человек,2025-04-12T18:18:23+03:00,1744471103,https://www.rbc.ru/society/12/04/2025/67fa772a9a79471df38217f0,https://s0.rbk.ru/v6_top_pics/media/img/7/81/347444695220817.jpeg,,free,,0,Нижняя палата парламента единогласно решила отменить уголовную ответственность за лайки и проставление эмодзи в интернете. Ранее эту практику критиковал президент. Сейчас за это в стране наказаны 1507 человек,"Палата представителей (маджлиси намояндагон, нижняя палата парламента) Таджикистана единогласно одобрила поправки в Уголовный кодекс республики, запрещающие уголовное преследование за лайки в соцсетях, сообщает Asia-Plus. Проект закона «О внесении изменений в Уголовный кодекс Республики Таджикистан» был принят на первой сессии нового состава палаты 10 апреля. Его представил первый заместитель генерального прокурора страны Умед Каримзода. Законопроект предусматривает полную отмену уголовной ответственности за проставление эмодзи и лайков под опубликованными видеозаписями и сообщениями по статьям 179 (3) и 307 (1) Уголовного кодекса Таджикистана. «В примечании к статьям 179 (дополнение 3) и 307 (дополнение 1) Уголовного кодекса добавить слова «за исключением одобрения (проставления лайка или другого знака)», — говорится в поправках к закону. Маск предрек «казни в Европе за лайки» после задержания Дурова
                                    


Бизнес Статья 179 (3) Уголовного кодекса Таджикистана предусматривает ответственность за публичные призывы к совершению преступлений террористического характера и (или) публичное оправдание террористической деятельности. Максимальное наказание — до 15 лет лишения свободы. Статья 307 (1) касается публичных призывов к осуществлению экстремистской деятельности и публичного оправдания экстремизма. Максимальное наказание — до 12 лет лишения свободы. Поправка вступит в силу после того, как ее одобрит маджлиси милли (Национальный совет, верхняя палата парламента Таджикистана), а после подпишет президент. Кроме того, текст должен быть опубликован в правительственной газете. В Таджикистане граждан уже привлекали к уголовной ответственности за лайки и репосты запрещенных материалов в интернете, отмечает Asia-Plus. Каримзода привел данные Главного управления исполнения уголовных наказаний (ГУИУН) республики, согласно которым сейчас наказание за лайки роликов, репортажей и оставление «комментариев и мнений, содержащих террористический и экстремистский контент», отбывают 1507 человек. Безосновательное возбуждение уголовных дел за лайки в интернете и «рассмотрение материалов и видео, распространяемых в социальных сетях, в качестве доказательств» ранее раскритиковал президент Таджикистана Эмомали Рахмон. Он подчеркнул, что «этой практике необходимо положить конец». В России также возбуждаются уголовные дела за действия в социальных сетях, в том числе за комментарии. Их заводили по статьям об оправдании терроризма и публичных призывах к террористической деятельности. В 2018 году Верховный суд после критики таких дел рекомендовал судьям оценивать контекст публикаций и наказывать за них лишь при явном преступном умысле. Читайте РБК в Telegram.",industry,GAZP,газ
67fa79349a794779777c15f0,РБК,rbcnews,short_news,business,В Кремле осудили отзыв приглашения фотографа ТАСС на World Press Photo,,2025-04-12T18:01:00+03:00,1744470060,https://www.rbc.ru/rbcfreenews/67fa79349a794779777c15f0,https://s0.rbk.ru/v6_top_pics/media/img/7/05/347444690098057.jpeg,,free,,0,,"Отзыв приглашения фотокорреспонденту ТАСС Михаилу Терещенко на конкурс World Press Photo противоречит духу журналистской солидарности, сообщил агентству пресс-секретарь президента России Дмитрий Песков. «Конечно же, это (отзыв. — РБК) противоречит здравому смыслу и духу журналистской солидарности», — отметил Песков. World Press Photo назвала снимком года кадр из морга в секторе Газа
                                    


Технологии и медиа В конце марта жюри World Press Photo объявило региональных победителей конкурса. Среди европейских лауреатов — фотограф ТАСС Михаил Терещенко, снявший репортаж о протестах в Тбилиси, он взял награду в категории «Серия снимков», его работа претендует на звание фотографии года. Фотокорреспондент работает в агентстве с 2017 года. Победителя World Press Photo объявят 17 апреля в Амстердаме, в мае состоится награждение. 12 апреля организаторы конкурса отозвали приглашение Терещенко. Организация заявила о жалобах на победу журналиста в региональном отборе конкурса. Читайте РБК в Telegram.",company_specific,GAZP,газ
67fa70729a7947e14d5549d4,РБК,rbcnews,article,business,США решили освободить электронику от пошлин,"Смартфоны, компьютеры и другую электронику освободили от «взаимных пошлин» США. Эскалация торговой войны грозила наиболее негативными последствиями для Apple, большая часть производства которой находится в Китае",2025-04-12T17:50:35+03:00,1744469435,https://www.rbc.ru/economics/12/04/2025/67fa70729a7947e14d5549d4,https://s0.rbk.ru/v6_top_pics/media/img/4/09/347444667611094.jpeg,,free,,0,"Смартфоны, компьютеры и другую электронику освободили от «взаимных пошлин» США. Эскалация торговой войны грозила наиболее негативными последствиями для Apple, большая часть производства которой находится в Китае","От «взаимных пошлин» США будут освобождены смартфоны, компьютеры и ряд других электронных устройств и их компонентов, следует из обновленного руководства американской Погранично-таможенной службы. «Импортеры могут запросить возврат средств, написав заявление о внесении исправлений в итоговые отчеты по неурегулированным заявкам или протест по урегулированным заявкам, для которых не истек срок его подачи», — говорится в сообщении. Таким образом, освобождение от пошлин действует в отношении поставок с 5 апреля. В документе перечислены 20 кодов классификации товаров, среди которых ноутбуки, планшеты, смартфоны, модемы, внешние жесткие диски, флеш-карты, мониторы, транзисторы, преобразователи и иные полупроводниковые приборы. Как отмечает CNBC, объявленные президентом США Дональдом Трампом пошлины грозили наиболее негативными последствиями таким технологическим компаниям, как Apple. В частности, из-за эскалации торговой войны размер пошлин США на китайский импорт вырос до 145%, ответные пошлины Пекина составили 125%. По оценке инвестиционно-аналитической компании Evercore ISI, в Китае производится 80% iPad и более половины компьютеров Mac. Также там осуществляется окончательная сборка около 90% iPhone. Перенос производства Apple в США мог привести к удорожанию смартфонов почти с $1 тыс. до $3,5 тыс., утверждал глава отдела глобальных технологических исследований в финансовой компании Wedbush Securities Дэн Айвз. Как США и Китай устроили «войну пошлин». Инфографика
                                    


Экономика В конечном итоге на электронику могут наложить дополнительные пошлины, однако они, скорее всего, будут намного ниже действующих для Китая 145%, отмечает CNBC. Трамп объявил о введении импортных пошлин до 50% в отношении 211 стран и территорий. Они вступили в силу 5 апреля. Последствием этого решения, в частности, стал обвал мировых рынков и ответные меры государств, в том числе Китая. На этом фоне акции Apple падали на 23%, что стало худшим итогом с 2000 года. В розничных магазинах образовались очереди из желающих купить iPhone, покупатели опасались резкого роста цен, писал Bloomberg. Читайте РБК в Telegram.",industry,GAZP,газ
67fa79869a794772e1c4ab5b,РБК,rbcnews,uploaded_video,business,Арестован подозреваемый в мошенничестве по делу о взрыве газа Махачкале,Видео,2025-04-12T17:30:37+03:00,1744468237,https://www.rbc.ru/?video_id=67fa79869a794772e1c4ab5b,https://s0.rbk.ru/v6_top_pics/media/img/6/13/347444683421136.jpeg,video,free,,0,,,company_specific,GAZP,газ
67fa72b29a7947471f7d4af5,РБК,rbcnews,short_news,business,В Махачкале арестовали подозреваемого по делу о взрыве газа в доме,,2025-04-12T17:29:43+03:00,1744468183,https://www.rbc.ru/rbcfreenews/67fa72b29a7947471f7d4af5,https://s0.rbk.ru/v6_top_pics/media/img/4/03/347444684668034.jpeg,,free,,0,,"Video Ленинский районный суд Махачкалы арестовал по делу о взрыве в незаконно строящемся многоэтажном доме подозреваемого в мошенничестве, сообщила объединенная пресс-служба судов Дагестана. По данным следствия, мужчина выдавал себя за должностное лицо «Газпром газораспределение Махачкала» при проведении газификации дома. «[Он] согласился за вознаграждение решить вопрос, связанный с получением разрешительных документов на техническое присоединение указанного дома к сетям газораспределения», — говорится в сообщении. От застройщика фигурант дела получил 350 тыс. руб. После он передал застройщику несоответствующее законным требованиям разрешение на проведение газа в дом. Мужчину обвинили в преступлении по ч. 3 ст. 159 Уголовного кодекса (мошенничество, совершенное лицом с использованием своего служебного положения). Его отправили в СИЗО до 24 мая. В суде не уточнили имя и должность фигуранта дела. В Дагестане мастера газовой службы арестовали по делу о взрыве газа
                                    


Общество Взрыв бытового газа произошел на шестом этаже многоквартирного дома в Махачкале на Гапцахской улице 25 марта. По данным городской администрации, дом не был введен в эксплуатацию и входил в реестр незаконно возведенных строений. В результате взрыва пострадали два человека. Глава Дагестана Сергей Меликов заявил, что виноватым в случившемся «не может быть кто-то один». К ЧП привела «цепочка нарушений», сказал Меликов. Читайте РБК в Telegram.",company_specific,GAZP,газ
67fa6c3a9a7947ad4f6e3f9a,РБК,rbcnews,article,business,Bild рассказала о разочаровании Трампа советниками из-за пошлин,"Трамп разочарован результатом ужесточения пошлин, на этом фоне он отдалил от себя некоторых советников, ответственных за тарифную политику. Министр финансов Скотт Бессент, напротив, вышел на первый план, пишет Bild",2025-04-12T17:11:00+03:00,1744467060,https://www.rbc.ru/politics/12/04/2025/67fa6c3a9a7947ad4f6e3f9a,https://s0.rbk.ru/v6_top_pics/media/img/5/11/347444656959115.jpeg,,free,,0,"Трамп разочарован результатом ужесточения пошлин, на этом фоне он отдалил от себя некоторых советников, ответственных за тарифную политику. Министр финансов Скотт Бессент, напротив, вышел на первый план, пишет Bild","Президент США Дональд Трамп после ужесточения пошлин в отношении части стран остался разочарован своими советниками, которые курировали эту тему. Об этом сообщает немецкое издание Bild. По данным газеты, президент США недоволен результатами ужесточения тарифов, по этой причине он стал отдалять от себя некоторых приближенных. В их числе — консультант по вопросам торговли Питер Наварро и министр торговли Говард Лютник. О понижении Лютника и Наварро в иерархии Белого дома ранее писала Politico со ссылкой на трех человек, близких к американской администрации. Песков заявил о попытках минимизировать «шторм» от пошлин Трампа
                                    


Политика На первый план, по сведениям Bild, вышел министр финансов Скотт Бессент, которого в президентской администрации считают «голосом разума». Глава Минфина, предположительно, будет придерживаться более прагматичной политики, теперь он назначен главным переговорщиком в дискуссиях о тарифах с 75 государствами, отмечает Bild. Наварро сыграл ключевую роль в разработке плана о пошлинах. Лютника Bild назвал главным человеком, «стоящим за тарифной политикой». Перестановки издание рассматривает как очевидный признак того, что тарифная война пошла не по плану. 2 апреля Трамп объявил о введении пошлин до 50% в отношении 211 стран и территорий, объяснив это необходимостью восстановить экономику США. Его решение и ответные меры Китая спровоцировали падение мировых рынков. Также упал курс доллара по отношению к валютам ключевых партнеров США, цены на нефть Brent снизились до минимума за четыре года. Некоторые аналитики заявили о высокой вероятности рецессии в США и падении ВВП. Решение Трампа вызвало критику среди крупнейших спонсоров его президентской кампании, разногласия у президента возникли в том числе с предпринимателем Илоном Маском, который обрушился на Наварро. Трамп заявил, что не хотел провоцировать обвал рынков, но «иногда приходится принимать лекарства, чтобы что-то исправить» в экономике США. В американском Минфине не увидели риска рецессии. Трамп, однако, отложил введение масштабных пошлин на 90 дней. Республиканец подчеркнул, что речь идет о «паузе». Свое решение он объяснил тем, что пострадавшие от них страны обратились к США с просьбой обсудить решение по торговым барьерам и пошлинам и при этом «не приняли никаких ответных мер». Однако для Китая пошлины, достигающие 145%, остались в силе. Читайте РБК в Telegram.",industry,GAZP,газ
67fa334e9a79476191b5f840,РБК,rbcnews,article,business,США обогнали Россию по поставкам СПГ в Европу,"В первом квартале 2025 года, после решения Украины не продлевать контракт на транзит газа, импорт в ЕС американского СПГ превысил российские поставки — 18 млрд куб. м против 10 млрд куб. м, следует из данных Bruegel",2025-04-12T13:13:39+03:00,1744452819,https://www.rbc.ru/economics/12/04/2025/67fa334e9a79476191b5f840,https://s0.rbk.ru/v6_top_pics/media/img/5/45/347444516332455.jpeg,,free,,0,,,industry,GAZP,газ
