,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
GAZP,0.08999999999999635,0.0
AFKS,0.0899999999999692,0.09
RUAL,0.0899999999999494,5.477258996357467e-18
TATN,0.08999999999994514,0.09
SBER,0.0899999999999408,5.716112931963579e-18
LKOH,0.08999999999836239,0.0
MTSS,0.06000000000082487,0.0
NVTK,6.545326437472164e-13,0.09
SNGS,1.0223996100192731e-13,0.08999999999999998
MVID,5.59690238016673e-14,0.09
MAGN,4.760480442295365e-14,0.0
GMKN,4.758626529899195e-14,0.09
ALRS,3.722668004237965e-14,0.0
SIBN,3.35872079691933e-14,0.0
ROSN,3.3366000945108055e-14,0.060000000000000116
