Ticker,Weight,Type
AFKS,0.038181818181818206,LONG
GAZP,0.038181818181818206,LONG
LKOH,0.038181818181818115,LONG
MTSS,0.03818181818181823,LONG
MVID,0.03818181818181823,LONG
NVTK,0.03818181818181823,LONG
PHOR,0.038181818181818095,LONG
RUAL,0.03818181818181815,LONG
SBER,0.03818181818181814,LONG
SNGS,0.03818181818181817,LONG
TATN,0.03818181818181823,LONG
ALRS,0.041538461538461566,LONG
GMKN,0.04153846153846158,LONG
MAGN,0.04153846153846134,LONG
ROSN,0.013846153846153963,LONG
SIBN,0.041538461538461566,LONG
RISK_FREE,0.4,LONG
