,Марковиц,Блэк-Литерман
RISK_FREE,0.6,0.6
AFKS,0.0399999999841327,0.03999999999999998
GMKN,0.03999999998402343,0.04000000000000001
GAZP,0.039999999983752504,0.04
MTSS,0.039999999983605525,0.03999999999999996
TATN,0.03999999998338247,0.03999999999999995
RUAL,0.039999999983366424,7.16472004807464e-17
ALRS,0.03999999998309719,6.869504964868156e-17
SBER,0.03999999998277647,0.0
PHOR,0.03999999998185258,1.7451408626993453e-17
LKOH,0.03999999990137343,0.0
MAGN,1.0829480090457367e-10,0.04000000000000001
MVID,3.2456808468304416e-11,0.03999999999999997
NVTK,2.773743633954468e-11,0.04000000000000001
SNGS,2.7628305392855386e-11,0.03999999999999995
SIBN,2.669029891038874e-11,0.03999999999999997
ROSN,2.582967980827877e-11,1.0850644367237167e-19
