,Марковиц,Блэк-Литерман
RISK_FREE,0.2,0.2
AFKS,0.15999999998511633,0.16000000000000003
RUAL,0.1599999999844547,4.282563599467326e-18
TATN,0.15999999998442,2.878712516877743e-17
SBER,0.15999999998403808,1.7917665826026822e-17
PHOR,0.15999999975903437,0.0
MTSS,2.6505773131901836e-10,3.0310840289978657e-16
MVID,9.4651805225271e-12,0.15999999999999998
GMKN,7.380622644679546e-12,0.15999999999999992
MAGN,7.358306350426094e-12,0.15999999999999984
NVTK,7.215351394322785e-12,0.15999999999999992
SNGS,7.148191489255901e-12,1.394812254688252e-17
ALRS,6.8775934997018515e-12,0.0
SIBN,6.771027387463266e-12,2.4728586264865164e-17
LKOH,5.972343835668088e-12,5.602021862246147e-17
ROSN,5.882441359119895e-12,2.7850762946501044e-17
