,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
PLZL,0.2399999999998944,0.0
AFLT,0.18617341828257425,0.2399999999999998
SBER,0.17382658171729162,1.0354189161010785e-17
MVID,7.068256715503879e-14,0.24
NVTK,3.995514985726422e-14,2.2854624109752072e-17
SNGS,3.503205514587003e-14,0.0
GMKN,2.2603518570593746e-14,0.12000000000000013
MTSS,2.2357805276712942e-14,4.2372572021311176e-17
GAZP,2.1298185681828305e-14,0.0
POSI,2.1124918647073713e-14,1.0000516437713856e-17
AFKS,1.8059667558582673e-14,2.27793977162434e-17
MAGN,1.0897228713858101e-14,1.2519753534097348e-17
SIBN,1.05536445472215e-14,0.0
CBOM,8.758614056065197e-15,2.0446199810493333e-17
TATN,5.397600244219652e-15,9.543408704421656e-18
ALRS,2.9258996955400693e-15,8.425975403629957e-18
LKOH,0.0,4.372884237461457e-18
PHOR,0.0,4.5005984565321345e-18
RUAL,0.0,3.977463332708665e-18
