,AFLT_return,PLZL_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,-0.002617501853605482,-0.0022994111878587194,-0.0014488306716696404,-0.002106159278382258,-0.0004857600242093141,8.61083810813401e-05,-0.008871554634644074
2024-01-04,0.0007720715257697813,-0.0004530880401561175,-0.0014325516753587364,0.0002457403583182738,-0.0007801147879161618,8.61083810813401e-05,-0.0015618342382616203
2024-01-05,-0.00551806969344099,0.0008752718636163116,0.0006901552373309662,0.0002796986421833521,0.00013945344415150515,8.61083810813401e-05,-0.003447382125077515
2024-01-06,-0.00041612478586264983,-0.0007099165906959504,-9.13041385755833e-05,-0.00015131326500058168,0.0,8.61083810813401e-05,-0.001282550399053425
2024-01-07,-4.149986024095998e-05,-0.0001978606239875447,-0.000748158159923275,0.00011757207840381909,0.0,8.61083810813401e-05,-0.0007838381846666205
2024-01-08,-0.0022403861238855126,-0.000508128811602706,7.256522430673748e-05,-0.0017257136416948932,0.0003257953038009436,8.61083810813401e-05,-0.0039897596679940904
2024-01-09,-0.0007769327168579442,2.8136143778047844e-05,0.000580852387730861,0.0008200106074363851,0.0056324050275383675,8.61083810813401e-05,0.0063705798307070564
2024-01-10,0.0009764413919260247,0.001238217522109456,0.0004923371962080869,0.0004400616355586045,-0.001195692057505158,8.61083810813401e-05,0.002037474069378354
2024-01-11,-0.0014331026503774332,-0.00059577828962015,-0.0034780256755658242,-0.0006815447556578861,0.0007941456132515719,8.61083810813401e-05,-0.005308197376888382
2024-01-12,-0.0008518999088354813,-0.002091283963450823,0.000267289515947427,-7.230226639142557e-05,-0.0014200398578715079,8.61083810813401e-05,-0.004082128099520471
2024-01-13,0.0,-0.0001672821639167126,-0.00028570778511356136,-0.0,-0.00017730674281159976,8.61083810813401e-05,-0.0005441883107605337
2024-01-14,-0.00020097245555752288,-0.00038989970400737754,-0.0004988707063993707,-0.00047884570039185697,-9.656055240099632e-05,8.61083810813401e-05,-0.0015790407376757843
2024-01-15,0.0,-0.0001388967242665938,0.0007808842372918707,0.00016651920320417312,-0.00024119431763062704,8.61083810813401e-05,0.000653420779680163
2024-01-16,-0.0,-0.0,-0.0,0.0,0.0002888138519531368,8.61083810813401e-05,0.0003749222330344769
2024-01-17,0.0,-0.0,0.0,0.0,0.00022521128456873946,8.61083810813401e-05,0.00031131966565007955
2024-01-18,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-19,0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-20,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-21,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-22,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-23,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-24,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-25,-0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-26,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-27,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-28,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-29,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-30,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-31,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-01,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-02,0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-03,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-04,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-05,0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-06,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-07,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-08,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-09,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-10,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-11,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-12,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-13,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-14,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-15,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-16,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-17,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-18,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-19,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-20,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-21,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-22,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-23,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-24,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-25,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-26,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-27,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-28,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-29,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-01,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-02,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-03,0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-04,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-05,0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-06,-0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-07,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-08,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
