Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"5,14","27,27","13,44","6,08","-6,54",Мультипликаторы
P/B,"3,56","4,3","2,65","1,1","2,07",Мультипликаторы
P/S,"0,22","0,4","0,29","0,13","0,15",Мультипликаторы
P/CF,"1,38","2,04","1,85","2,34","2,08",Мультипликаторы
P/FCF,"-12,96","30,79","-114,51","-1,04","-2,06",Мультипликаторы
EV/S,"1,07","1,28","1,28","1,16","1,16",Мультипликаторы
EV/EBITDA,"3,12","3,79","3,93","3,27","4,49",Мультипликаторы
EV/EBIT,"7,83","7,85","5,81","6,17","10,16",Мультипликаторы
Коэффициент долга,"0,95","0,94","0,93","0,91","0,94",Мультипликаторы
D/E,"18,22","15,28","13,02","10,2","14,87",Мультипликаторы
CAPEX/Выручка,"17,98","18,48","21,62","17,71","14,27",Мультипликаторы
NetDebt/EBITDA,"2,46","2,6","3,03","2,91","3,92",Мультипликаторы
Долг/EBITDA,"3,51","3,82","4,13","3,93","5,08",Мультипликаторы
ROE,"87,65","47,28","42,39","23,22","-3,58",Мультипликаторы
ROA,"4,56","2,9","3,03","2,07","-0,23",Мультипликаторы
Return on Sales,"13,63","16,29","22,01","18,84","11,45",Мультипликаторы
ROIC,"11,37","10,42","7,58","8,48","10,57",Мультипликаторы
ROCE,"11,67","12,08","16,61","13,76","10,87",Мультипликаторы
Net Margin,"8,8","5,97","6,88","4,86","-0,51",Мультипликаторы
Операционная маржа,"13,27","15,82","20,15","17,61","11,12",Мультипликаторы
EBITDA рентабельность,"34,27","33,71","32,58","35,49","25,88",Мультипликаторы
Тек. ливкидность,"0,61","0,77","0,61","0,87","0,69",Мультипликаторы
Валовая маржа,"54,13","52,28","47,83","50,15","48,03",Мультипликаторы
Выручка,654 303,691 626,773 218,895 133,1 045 869,Финансовые показатели
Валовая прибыль,354 180,361 571,369 860,448 905,502 371,Финансовые показатели
EBITDA,224 241,233 136,251 900,317 659,270 674,Финансовые показатели
EBIT,89 171,112 644,170 202,168 651,119 719,Финансовые показатели
Процентные доходы,5 921,5 330,6 272,10 244,10 409,Финансовые показатели
Процентные расходы,77 560,71 468,70 153,112 883,133 928,Финансовые показатели
Чистые процентные доходы/расходы,-  71 639,-  66 138,-  63 881,-  102 639,-  123 519,Финансовые показатели
Операционный доход,86 828,109 404,155 819,157 671,116 338,Финансовые показатели
Расходы на персонал,128 418,134 176,147 648,182 550,227 582,Финансовые показатели
Прибыль до налогов,17 532,46 506,106 321,66 012,-  3 800,Финансовые показатели
Чистая прибыль,57 608,41 287,53 182,43 506,-  5 314,Финансовые показатели
Капитал на акционеров,41 375,64 847,84 901,104 197,74 635,Финансовые показатели
Активы,1 263 527,1 421 316,1 754 856,2 098 605,2 358 110,Финансовые показатели
CA Оборотные активы,305 231,374 475,448 204,761 377,862 177,Финансовые показатели
Денежные средства и их эквиваленты,69 358,118 003,86 792,135 491,137 701,Финансовые показатели
Обязательства,1 197 799,1 333 987,1 633 439,1 911 265,2 209 521,Финансовые показатели
Собственный капитал,65 728,87 329,125 446,187 340,148 589,Финансовые показатели
Капитал на акционеров,28 597,10 216,16 755,18 823,-  23 611,Финансовые показатели
Внеоборотные активы,958 296,1 046 841,1 758 885,1 337 228,1 495 933,Финансовые показатели
CFO операционные денежные потоки,106 269,136 827,121 571,48 967,74 112,Финансовые показатели
FCF на акцию,-  11 353,9 049,-  1 966,-  109 592,-  75 154,Финансовые показатели
Инвестиционный денежный поток,-  43 926,-  108 055,-  219 204,-  139 561,-  202 447,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  110 102,20 257,66 761,148 202,114 887,Финансовые показатели
CB Текущие кредиты,129 454,83 391,209 306,298 841,500 404,Финансовые показатели
Общий долг,551 512,605 958,764 025,925 554,1 061 815,Финансовые показатели
Текущие обязательства,499 714,488 739,730 197,873 206,1 257 190,Финансовые показатели
CL Текущая аренда,16 060,17 772,23 335,29 299,30 749,Финансовые показатели
Долгосрочная аренда,149 565,147 803,167 238,156 528,145 246,Финансовые показатели
Долгосрочные кредиты,491 416,640 570,641 511,762 204,699 112,Финансовые показатели
Долгосрочные обязательства,698 085,845 248,903 242,1 038 059,952 331,Финансовые показатели
Чистый долг,786 495,889 536,1 041 390,1 246 872,1 375 511,Финансовые показатели
Общие расходы,245 495,252 167,265 669,291 234,386 033,Финансовые показатели
