Показатель,value_float
"Выручка, млрд руб",1046.0
"Операционная прибыль, млрд руб",115.5
"EBITDA, млрд руб",263.5
"Чистая прибыль, млрд руб",-31.5
"Опер.денежный поток, млрд руб",74.1
"CAPEX, млрд руб",149.3
"FCF, млрд руб",-99.4
"Див.выплата, млрд руб",5.02
"Дивиденд, руб/акцию",0.52
"Див доход, ао, %",3.2
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",227.9
"Себестоимость, млрд руб",543.5
"Амортизация, млрд руб",148.0
"Расх на персонал, млрд руб",219.7
"Процентные расходы, млрд руб",130.3
"Активы, млрд руб",2349.0
"Чистые активы, млрд руб",66.3
"Долг, млрд руб",1199.0
"Наличность, млрд руб",137.5
"Чистый долг, млрд руб",1062.0
"Цена акции ао, руб",16.0
"Число акций ао, млн",9650.0
"Free Float, %",32.6
"Капитализация, млрд руб",154.6
"EV, млрд руб",1216.0
"Баланс стоимость, млрд руб",-191.1
"EPS, руб",-3.27
"FCF/акцию, руб",-10.3
"BV/акцию, руб",-19.8
"Рентаб EBITDA, %",25.2
"Чистая рентаб, %",-3.0
"Доходность FCF, %",-64.3
"ROE, %",-47.6
"ROA, %",-1.3
P/E,-4.9
P/FCF,-1.56
P/S,0.15
P/BV,-0.81
EV/EBITDA,4.62
Долг/EBITDA,4.03
"Персонал, чел",251.0
"Произв.труда, млн руб/чел/год",4167.0
"Расходы/чел/год, тыс.р",875100.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",14.0
