id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text
60250,2024-04-26 11:05:06+00:00,"ФАС НАПРАВИЛА АВИАКОМПАНИЯМ ЗАПРОС О ПРЕДОСТАВЛЕНИИ ПОЯСНЕНИЙ ПО РОСТУ СТОИМОСТИ АВИАБИЛЕТОВ И ЦЕНОВОЙ ПОЛИТИКЕ - СЛУЖБА

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['AFLT'],[],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,industry,ФАС НАПРАВИЛА АВИАКОМПАНИЯМ ЗАПРОС О ПРЕДОСТАВЛЕНИИ ПОЯСНЕНИЙ ПО РОСТУ СТОИМОСТИ АВИАБИЛЕТОВ И ЦЕНОВОЙ ПОЛИТИКЕ - СЛУЖБА Замечено Шпионом РЦБ. Подключить: StockSpy_bot
60357,2024-05-02 05:16:39+00:00,"#Санкции
🇺🇸 **США ввели новые антироссийские санкции против десятков физлиц и организаций**

В их числе:
• **Группа Астра**. Компания уже заявила, что санкции никак не повлияют на работу компании: весь бизнес ведётся внутри России.  #ASTR

• Суда, задействованные в транспортировке оборудования и доставке грузов для арктических СПГ-проектов НОВАТЭКа #NVTK

• Авиакомпания Победа

• Автозавод Урал, завод Протон, ряд структур Сибантрацита, Брянский автомобильный завод

• Компании из Турции, Китая и ОАЭ","['NVTK', 'AFLT']",['NVTK'],"['NVTK', 'AFLT']",False,AFLT,Аэрофлот,авиаперевозки,industry,"Санкции США ввели новые антироссийские санкции против десятков физлиц и организаций В их числе: Группа Астра. Компания уже заявила, что санкции никак не повлияют на работу компании: весь бизнес ведётся внутри России. ASTR Суда, задействованные в транспортировке оборудования и доставке грузов для арктических СПГ-проектов НОВАТЭКа NVTK Авиакомпания Победа Автозавод Урал, завод Протон, ряд структур Сибантрацита, Брянский автомобильный завод Компании из Турции, Китая и ОАЭ"
60439,2024-05-06 11:35:28+00:00,"#AFLT #Отчетность
🖨 **Аэрофлот: РСБУ 1кв2024
**
Выручка: 145 млрд руб (+57% г/г)
Валовая прибыль: 1.46 млрд руб (годом ранее убыток 5.89 млрд)
Чистый убыток: 6.9 млрд руб (годом ранее убыток 33.6 млрд)",['AFLT'],['AFLT'],['AFLT'],True,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT Отчетность Аэрофлот: РСБУ 1кв2024 Выручка: 145 млрд руб (57 гг) Валовая прибыль: 1.46 млрд руб (годом ранее убыток 5.89 млрд) Чистый убыток: 6.9 млрд руб (годом ранее убыток 33.6 млрд)
60608,2024-05-14 08:32:04+00:00,"#AFLT
Авиакомпания Аэрофлот в апреле увеличила перевозки до 2.3 млн пассажиров (+28.5% г/г)

Группа компаний Аэрофлот в апреле увеличила перевозки до 4.1 млн пассажиров (+21.7% г/г)",['AFLT'],['AFLT'],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT Авиакомпания Аэрофлот в апреле увеличила перевозки до 2.3 млн пассажиров (28.5 гг) Группа компаний Аэрофлот в апреле увеличила перевозки до 4.1 млн пассажиров (21.7 гг)
60609,2024-05-14 08:58:12+00:00,"#AFLT
**Сравнение результатов апреля Группы Аэрофлот с апрелем 2019 года (до ковида и СВО)**

**Пассажиропоток: **
`          2019     2024
Общий     4.7 млн  4.1 млн
Междунар. 2.1 млн  0.99 млн 
Внутр.    2.6 млн  3.12 млн`

**Занятость кресел:**
`          2019     2024
Общий     80.6%    89.3%
Междунар. 80.4%    81.0%
Внутр.    81.1%    90.5%`

**Количество рейсов:**
`          2019     2024
Общий     35 752   26 514
Междунар. 15 018   5 603
Внутр.    20 734   20 911`",['AFLT'],['AFLT'],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT Сравнение результатов апреля Группы Аэрофлот с апрелем 2019 года (до ковида и СВО) Пассажиропоток: 2019 2024 Общий 4.7 млн 4.1 млн Междунар. 2.1 млн 0.99 млн Внутр. 2.6 млн 3.12 млн Занятость кресел: 2019 2024 Общий 80.6 89.3 Междунар. 80.4 81.0 Внутр. 81.1 90.5 Количество рейсов: 2019 2024 Общий 35 752 26 514 Междунар. 15 018 5 603 Внутр. 20 734 20 911
60617,2024-05-14 10:25:01+00:00,"#AFLT
😉 Аэрофлот +32%[ за два месяца](https://t.me/cbrstocks/58944)",['AFLT'],['AFLT'],['AFLT'],True,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT Аэрофлот 32 за два месяца(
60716,2024-05-16 07:59:57+00:00,"#AFLT
**ФАС в пятницу проведет переговоры с Аэрофлотом о ценах на билеты** — Интерфакс",['AFLT'],['AFLT'],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT ФАС в пятницу проведет переговоры с Аэрофлотом о ценах на билеты Интерфакс
60762,2024-05-17 06:22:13+00:00,"#AFLT
Ростех в ближайшие годы поставит Аэрофлоту 11 самолетов Ту-214 — РБК

Борт еще будет дорабатываться под пожелания перевозчика",['AFLT'],['AFLT'],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,company_specific,AFLT Ростех в ближайшие годы поставит Аэрофлоту 11 самолетов Ту-214 РБК Борт еще будет дорабатываться под пожелания перевозчика
60807,2024-05-18 07:03:11+00:00,"**👍**** Главное за неделю**: отчеты и результаты

🛡 **Софтлайн - результаты** **выше прогноза в 1.5 раза. **В 1кв24 года оборот составил 21.5 млрд руб., +52% г/г, валовая прибыль 7.8 млрд руб., +220% г/г. Выведет дочки на IPO для раскрытия акционерной стоимости #SOFL

💩 **M.Видео - продажи компании в первом квартале 2024 года достигли 131.3 млрд рублей,** что на 17.7% больше по сравнению с прошлым годом. Дополнительно, компания приняла решение о допэмиссии 30 млн акций #MVID

**🛴**** Whoosh: количество поездок за 4мес2024 составило около 20.7 млн и выросло на 67% **#WUSH

🍅 **Русагро - В 1кв2024 скорр. EBITDA составила 7.3 млрд руб., что на 2% выше г/г.** Чистая прибыль снизилась на 68% и составила 1.74 млрд руб. #AGRO

👕** Henderson - Выручка компании в апреле 2024 года достигла 1.5 млрд руб., **что на 24% больше г/г. #HNFG

**✈️**** Аэрофлот - перевозки в апреле 2024 года увеличились до 4.1 млн пассажиров**, что на 21.7% больше, чем годом ранее #AFLT

🏦** Сбер - чистая прибыль по РБПУ в первые четыре месяца 2024 года выросла на 5.1% г/г** #SBER

🏦 **Тинькофф - чистая прибыль банка по МСФО в 1кв2024 составила 22.3 млрд руб**., +37% г/г #TCSG

**🔖**** HeadHunter - чистая прибыль компании в 1кв2024 увеличилась на 122.6%** и составила 4.91 млрд руб #HHRU

🍏 **Магнит в 2023 году увеличил чистую прибыль на 110%, до 
58.68 руб по МСФО** #MGNT","['AFLT', 'SBER', 'VTBR', 'MVID']","['MVID', 'AFLT', 'SBER']","['SBER', 'VTBR', 'AFLT']",False,AFLT,Аэрофлот,авиаперевозки,company_specific,"Главное за неделю: отчеты и результаты Софтлайн - результаты выше прогноза в 1.5 раза. В 1кв24 года оборот составил 21.5 млрд руб., 52 гг, валовая прибыль 7.8 млрд руб., 220 гг. Выведет дочки на IPO для раскрытия акционерной стоимости SOFL M.Видео - продажи компании в первом квартале 2024 года достигли 131.3 млрд рублей, что на 17.7 больше по сравнению с прошлым годом. Дополнительно, компания приняла решение о допэмиссии 30 млн акций MVID Whoosh: количество поездок за 4мес2024 составило около 20.7 млн и выросло на 67 WUSH Русагро - В 1кв2024 скорр. EBITDA составила 7.3 млрд руб., что на 2 выше гг. Чистая прибыль снизилась на 68 и составила 1.74 млрд руб. AGRO Henderson - Выручка компании в апреле 2024 года достигла 1.5 млрд руб., что на 24 больше гг. HNFG Аэрофлот - перевозки в апреле 2024 года увеличились до 4.1 млн пассажиров, что на 21.7 больше, чем годом ранее AFLT Сбер - чистая прибыль по РБПУ в первые четыре месяца 2024 года выросла на 5.1 гг SBER Тинькофф - чистая прибыль банка по МСФО в 1кв2024 составила 22.3 млрд руб., 37 гг TCSG HeadHunter - чистая прибыль компании в 1кв2024 увеличилась на 122.6 и составила 4.91 млрд руб HHRU Магнит в 2023 году увеличил чистую прибыль на 110, до 58.68 руб по МСФО MGNT"
61033,2024-05-27 07:09:50+00:00,"ФАС И ""АЭРОФЛОТ"" ПРОРАБОТАЮТ МЕРЫ ПОВЫШЕНИЯ ПРОЗРАЧНОСТИ ЦЕНООБРАЗОВАНИЯ НА АВИАПЕРЕВОЗКИ - СЛУЖБА

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['AFLT'],[],['AFLT'],False,AFLT,Аэрофлот,авиаперевозки,industry,"ФАС И ""АЭРОФЛОТ"" ПРОРАБОТАЮТ МЕРЫ ПОВЫШЕНИЯ ПРОЗРАЧНОСТИ ЦЕНООБРАЗОВАНИЯ НА АВИАПЕРЕВОЗКИ - СЛУЖБА Замечено Шпионом РЦБ. Подключить: StockSpy_bot"
