Показатель,value_float
"Пассажиропоток всего, млн чел",47.3
"Пассажиропоток внутр, млн чел",37.7
"Пассажиропоток м/нар, млн чел",9.59
"Занятость пассаж.кресел, %",87.5
"Грузооборот, млн т",989.4
"Часы налета, ч",893694.0
"Число самолетов, шт",349.0
"Выручка, млрд руб",612.2
"Операционная прибыль, млрд руб",182.3
"EBITDA, млрд руб",318.4
"Чистая прибыль, млрд руб",10.3
"Опер.денежный поток, млрд руб",177.2
"CAPEX, млрд руб",99.5
"FCF, млрд руб",-2.61
"Див.выплата, млрд руб",0.0
"Дивиденд, руб/акцию",0.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",429.9
"Амортизация, млрд руб",136.0
"Расх на персонал, млрд руб",77.5
"Процентные расходы, млрд руб",29.2
"Активы, млрд руб",1114.0
"Чистые активы, млрд руб",-85.5
"Долг, млрд руб",747.3
"Наличность, млрд руб",117.0
"Чистый долг, млрд руб",630.3
"Цена акции ао, руб",34.9
"Число акций ао, млн",3976.0
"Капитализация, млрд руб",138.9
"EV, млрд руб",769.2
"Баланс стоимость, млрд руб",-93.0
"EPS, руб",2.59
"FCF/акцию, руб",-0.66
"BV/акцию, руб",-23.4
"Рентаб EBITDA, %",52.0
"Чистая рентаб, %",1.7
"Доходность FCF, %",-1.9
"ROE, %",-12.0
"ROA, %",0.9
P/E,13.5
P/FCF,-53.2
P/S,0.23
P/BV,-1.49
EV/EBITDA,2.42
Долг/EBITDA,1.98
"Персонал, чел",31500.0
"Произв.труда, млн руб/чел/год",19.4
"Расходы/чел/год, тыс.р",2460.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",16.0
