Показатель,value_float
"BV/акцию, руб",-19.3
"CAPEX, млрд руб",91.9
"CAPEX/Выручка, %",11.0
"EBITDA, млрд руб",214.1
"EPS, руб",14.7
"EV, млрд руб",831.6
EV/EBITDA,3.88
"FCF, млрд руб",19.1
"FCF/акцию, руб",4.81
P/BV,-3.04
P/E,4.0
P/FCF,12.2
P/S,0.27
"R&D/CAPEX, %",0.0
"ROA, %",5.1
"ROE, %",-105.0
"Активы, млрд руб",1157.0
"Амортизация, млрд руб",114.0
"Баланс стоимость, млрд руб",-76.9
"Выручка, млрд руб",856.8
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",703.0
Долг/EBITDA,2.79
"Доходность FCF, %",8.2
"Капитализация, млрд руб",234.0
"Наличность, млрд руб",105.4
"Опер. расходы, млрд руб",757.2
"Опер.денежный поток, млрд руб",203.8
"Операционная прибыль, млрд руб",99.5
"Рентаб EBITDA, %",25.0
"Цена акции ао, руб",58.9
"Число акций ао, млн",3976.0
"Чистая прибыль, млрд руб",58.5
"Чистая рентаб, %",6.8
"Чистые активы, млрд руб",-55.7
"Чистый долг, млрд руб",597.6
