date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,35.22,35.23,35.01,35.15,38185,,35.15,,,,,,,,0.0,38185,,,,,0.0,,,,,,,,,
2024-01-03,35.22,35.76,35.22,35.75,573119,,35.207142857142856,,,,,,,,0.0,611304,,,,,0.0,,,,,,,,,
2024-01-04,35.85,35.85,35.51,35.57,355982,,35.24170068027211,,,,,,,,0.0,255322,,,,,0.0,,,,,,,,,
2024-01-05,35.6,36.88,35.55,36.85,1973798,,35.39487204405572,,,,,,,,0.0,2229120,,,,,0.0,,,,,,,,,
2024-01-06,37.0,36.99,36.78,36.95,59285,,35.54297946843136,,,,,,,,0.0,2288405,,,,,0.0,,,,,,,,,
2024-01-07,36.99,36.99,36.84,36.96,48668,,35.677933804771236,,,,,,,,0.0,2337073,,,,,0.0,,,,,,,,,
2024-01-08,36.96,37.71,36.96,37.5,1697749,,35.85146391860255,,,,,,,,0.0,4034822,,,,,0.0,,,,,,,,,
2024-01-09,37.6,37.91,37.2,37.69,1311670,,36.02656259302135,,,,,,,,0.0,5346492,,,,,0.0,,,,,,,,,
2024-01-10,37.7,37.92,37.42,37.45,812515,,36.16212806035265,,,,,,,,0.0,4533977,,,,,0.0,,,,,36.465,,,,
2024-01-11,37.5,37.83,37.07,37.8,1179830,,36.318115864128586,,,,,,,,0.0,5713807,,,,,0.0,,,,,36.57,,37.8,,
2024-01-12,37.94,38.43,37.94,38.01,1337591,,36.47924768659253,,,,,,,,0.0,7051398,,,,,0.0,,,,,36.97,,37.858980590535126,8.13655761024182,
2024-01-13,38.16,38.16,37.86,38.15,34698,,36.638366954536096,,,,,,,,0.0,7086096,,,,,0.0,,,,,36.989999999999995,,37.93483914803487,6.713286713286709,
2024-01-14,37.89,38.25,37.95,38.2,34724,,36.78709391124694,,,,,,,,0.0,7120820,,,,,0.0,,,,,37.605000000000004,,38.022121190816584,7.393871239808834,
2024-01-15,38.05,38.56,38.05,38.2,920466,,36.92165639589009,37.65380952380953,88.8354264959487,89.85915492957749,,,,,0.5228571428571429,8041286,,,,,0.0,,,,-10.140845070422507,37.7,,38.06815652495828,3.663500678426055,
2024-01-16,38.19,38.19,37.7,37.97,833663,,37.02149864390056,37.76190476190476,79.83678158310468,82.33532934131728,,,,,0.5212244897959184,7207623,,,,,0.0,1.3249999999999997,0.6105263157894727,,-17.66467065868272,37.760000000000005,,38.054140417718386,2.760487144790246,
2024-01-17,37.98,38.38,37.87,38.32,676214,,37.14516543971955,37.88980952380952,82.70740364983438,92.13114754098355,88.10854393729278,,,,0.5204227405247818,7883837,,,,,0.0,1.3333333333333321,0.6599999999999988,,-7.8688524590164475,37.815,,38.10116550847954,3.679653679653678,
2024-01-18,38.55,38.55,37.46,37.79,1025373,,37.20657825498435,37.92257142857144,67.1232957878395,74.41860465116272,82.96169384448785,,,,0.561106830487297,6858464,,,,,0.0,1.2181818181818178,0.6812121212121209,,-25.58139534883727,37.815,,38.09499930508036,0.7733333333333311,
2024-01-19,37.9,38.29,37.55,38.02,813638,,37.284046992604885,37.96485714285714,69.7840821089226,69.66292134831467,78.73755784682032,,,,0.5738849140239187,7672102,,,,,0.0,1.2415143603133152,0.8250652741514355,,-30.337078651685324,37.815,,38.09331633447302,0.8755638100291998,
2024-01-20,38.20692913385827,38.21,37.93,38.07,18310,,37.35889965997585,38.00266666666667,70.34594794021713,71.51162790697661,71.86438463548467,,,,0.5528931344507818,7690412,,,,,0.0,1.129366106080206,0.8512289780077612,,-28.48837209302339,38.010000000000005,,38.091984805794475,1.655540720961275,
2024-01-21,37.9,38.11,37.85,37.93,17060,37.4165,37.41329016854958,38.01114285714285,66.61099229600035,60.62499999999987,67.26651641843038,39.24602753463839,37.4165,35.58697246536161,0.5319721962757258,7673352,0.2203235617828283,,,,0.0,1.1096938775510194,0.8660714285714279,51.89402233413638,-39.37500000000013,38.010000000000005,,38.09019635440168,0.34391534391535067,
