Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"22,91","9,84","4,31","6,03","19,95",Мультипликаторы
P/B,"2,76","4,0","1,34","1,34","1,14",Мультипликаторы
P/S,"3,35","2,74","1,44","1,57","1,73",Мультипликаторы
P/CF,"7,55","7,17","4,9","7,79","10,23",Мультипликаторы
P/FCF,"9,16","8,45","9,11","234,52","-23,92",Мультипликаторы
EV/S,"3,5","2,92","1,7","1,87","2,2",Мультипликаторы
EV/EBITDA,"8,67","6,85","3,47","4,46","6,91",Мультипликаторы
EV/EBIT,"10,37","7,76","4,09","5,62","12,1",Мультипликаторы
Коэффициент долга,"0,49","0,47","0,38","0,36","0,44",Мультипликаторы
D/E,"0,96","0,9","0,62","0,56","0,79",Мультипликаторы
CAPEX/Выручка,"7,83","5,8","13,62","19,5","24,14",Мультипликаторы
NetDebt/EBITDA,"0,36","0,44","0,53","0,72","1,49",Мультипликаторы
Долг/EBITDA,"1,92","0,88","0,71","0,99","2,53",Мультипликаторы
ROE,"12,16","40,86","31,18","22,31","5,22",Мультипликаторы
ROA,"6,21","21,55","19,3","14,28","2,92",Мультипликаторы
Return on Sales,"33,71","37,66","41,63","33,34","18,21",Мультипликаторы
ROIC,"12,03","24,26","20,54","17,0","3,4",Мультипликаторы
ROCE,"17,33","33,25","27,26","22,11","8,35",Мультипликаторы
Net Margin,"14,85","27,93","33,48","26,09","7,89",Мультипликаторы
Операционная маржа,"31,99","35,1","39,3","32,56","12,51",Мультипликаторы
EBITDA рентабельность,"40,34","42,66","49,16","42,03","31,86",Мультипликаторы
Тек. ливкидность,"2,81","3,14","4,06","2,85","2,74",Мультипликаторы
Валовая маржа,"47,56","48,27","48,11","45,84","34,98",Мультипликаторы
Выручка,,,,,217 128,Финансовые показатели
Валовая прибыль,,,,,103 276,Финансовые показатели
EBITDA,,,,,87 600,Финансовые показатели
EBIT,,,,,73 188,Финансовые показатели
Процентные доходы,,,,,7 101,Финансовые показатели
Процентные расходы,,,,,36 202,Финансовые показатели
Чистые процентные доходы/расходы,,,,,-  29 101,Финансовые показатели
Операционный доход,,,,,69 463,Финансовые показатели
Расходы на персонал,,,,,18 860,Финансовые показатели
Прибыль до налогов,,,,,44 087,Финансовые показатели
Чистая прибыль,,,,,32 245,Финансовые показатели
Капитал на акционеров,,,,,264 223,Финансовые показатели
Активы,,,,,518 886,Финансовые показатели
CA Оборотные активы,,,,,271 272,Финансовые показатели
Денежные средства и их эквиваленты,,,,,86 872,Финансовые показатели
Обязательства,,,,,253 812,Финансовые показатели
Собственный капитал,,,,,265 074,Финансовые показатели
Капитал на акционеров,,,,,31 783,Финансовые показатели
Внеоборотные активы,,,,,247 614,Финансовые показатели
CFO операционные денежные потоки,,,,,96 466,Финансовые показатели
FCF на акцию,,,,,79 460,Финансовые показатели
Инвестиционный денежный поток,,,,,-  22 963,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,,,,-  4 096,Финансовые показатели
CB Текущие кредиты,,,,,42 665,Финансовые показатели
Общий долг,,,,,31 200,Финансовые показатели
Текущие обязательства,,,,,96 671,Финансовые показатели
Долгосрочная аренда,173,91,,5 721,4 916,Финансовые показатели
Долгосрочные кредиты,,,,,120 264,Финансовые показатели
Долгосрочные обязательства,,,,,157 141,Финансовые показатели
Чистый долг,,,,,167 845,Финансовые показатели
Общие расходы,,,,,33 813,Финансовые показатели
