Показатель,value_float
"Выручка, млрд руб",239.1
"Операционная прибыль, млрд руб",30.5
"EBITDA, млрд руб",78.6
"Чистая прибыль, млрд руб",21.2
"Опер.денежный поток, млрд руб",41.3
"CAPEX, млрд руб",58.9
"FCF, млрд руб",-17.6
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",54.8
"Себестоимость, млрд руб",157.5
"Амортизация, млрд руб",33.3
"Расх на персонал, млрд руб",90.6
"Процентные расходы, млрд руб",7.03
"Активы, млрд руб",658.7
"Чистые активы, млрд руб",371.0
"Долг, млрд руб",196.6
"Наличность, млрд руб",88.7
"Чистый долг, млрд руб",107.9
"Цена акции ао, руб",57.5
"Число акций ао, млн",7365.0
"Капитализация, млрд руб",423.8
"EV, млрд руб",531.7
"Баланс стоимость, млрд руб",366.3
"EPS, руб",2.87
"FCF/акцию, руб",-2.39
"BV/акцию, руб",49.7
"Рентаб EBITDA, %",32.9
"Чистая рентаб, %",8.8
"Доходность FCF, %",-4.2
"ROE, %",5.7
"ROA, %",3.2
P/E,20.0
P/FCF,-24.1
P/S,1.77
P/BV,1.16
EV/EBITDA,6.76
Долг/EBITDA,1.37
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",25.0
IR рейтинг,1.6
Качество фин.отчетности,5.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,1.0
Годовой отчет,1.0
Сайт для инвесторов,1.0
Календарь инвесторов,1.0
Обратная связь,1.0
