Показатель,value_float
"BV/акцию, руб",49.7
"CAPEX, млрд руб",58.9
"CAPEX/Выручка, %",25.0
"EBITDA, млрд руб",78.6
"EPS, руб",2.87
"EV, млрд руб",531.7
EV/EBITDA,6.76
"FCF, млрд руб",-17.6
"FCF/акцию, руб",-2.39
P/BV,1.16
P/E,20.0
P/FCF,-24.1
P/S,1.77
"R&D/CAPEX, %",0.0
"ROA, %",3.2
"ROE, %",5.7
"Активы, млрд руб",658.7
"Амортизация, млрд руб",33.3
"Баланс стоимость, млрд руб",366.3
"Выручка, млрд руб",239.1
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",196.6
Долг/EBITDA,1.37
"Доходность FCF, %",-4.2
"Капитализация, млрд руб",423.8
"Наличность, млрд руб",88.7
"Опер. расходы, млрд руб",54.8
"Опер.денежный поток, млрд руб",41.3
"Операционная прибыль, млрд руб",30.5
"Рентаб EBITDA, %",32.9
"Цена акции ао, руб",57.5
"Число акций ао, млн",7365.0
"Чистая прибыль, млрд руб",21.2
"Чистая рентаб, %",8.8
"Чистые активы, млрд руб",371.0
"Чистый долг, млрд руб",107.9
