Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,97.79,18622234,11.45,5.56,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,96.815,4318231,11.52,10.0,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,95.65,3330439,11.43,12.63,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,99.53,362156,12.09,1.9,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,96.99,302198,12.15,13.46,––-––-––-––-05-––-––-––-––-––-11-––
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,97.19,252297,12.67,8.26,––-02-––-––-05-––-––-08-––-––-11-––
ГК Самолет БО-П10,RU000A103L03,97.68,243164,12.33,11.0,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.16,227177,12.01,4.33,01-––-––-––-––-––-––-––-––-––-––-––
Брусника 001P-02,RU000A102Y58,98.14,219928,13.8,6.46,01-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.23,179996,12.41,1.5,––-––-––-––-––-––-––-––-––-10-––-––
ГК Самолет БО-П09,RU000A102RX6,98.7,170295,12.64,5.13,––-02-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,99.08,149690,11.19,2.13,––-––-––-––-––-––-––-––-––-––-11-––
Боржоми Финанс 001P-01,RU000A102SK1,96.51,128771,16.67,5.4,––-02-––-––-––-––-––-08-––-––-––-––
ГК Сегежа 002P-01R,RU000A1041B2,94.79,110602,15.39,13.33,––-––-––-––-05-––-––-––-––-––-11-––
РОСНАНО АО БО-002P-05,RU000A102HB3,97.39,107456,18.82,2.96,––-––-––-––-––-––-––-––-––-––-––--12
ГК Сегежа 002P-04R,RU000A104UA4,98.69,102245,18.88,2.46,––-02-––-––-05-––-––-08-––-––-11-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,97.9,96769,13.34,6.13,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.0,94852,16.28,3.63,01-––-––-––-––-––-––-––-––-10-––-––
ХэндерсонБ01,RU000A103Q08,97.05,78389,14.79,10.33,––-––-03-––-––-06-––-––-09-––-––--12
ГПБ (АО) БО-10,RU000A0JUV08,97.45,69363,11.1,11.86,––-––-03-––-––-––-––-––-09-––-––-––
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,99.3,67120,10.36,10.13,01-02-03-04-05-06-07-––-09-10-11--12
ГК Пионер БО 001P-05,RU000A102KG6,97.3,64655,15.3,7.3,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,95.9,62963,12.14,8.5,––-––-––-––-05-––-––-––-––-––-––--12
РОСНАНО АО БО-002P-04,RU000A101KK0,94.77,58442,18.4,6.3,––-––-03-––-––-––-––-––-09-––-––--12
ИНАРКТИКА 001Р-01,RU000A102TT0,98.98,58359,12.1,5.8,––-––-03-––-––-––-––-––-––-––-––-––
Джи-групп 002P-01,RU000A103JR3,101.11,58210,12.61,2.93,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001Р-01,RU000A102LW1,100.09,49513,11.82,1.9,––-––-––-––-––-––-––-––-09-––-––--12
АБЗ-1 001Р-02,RU000A1046N6,99.79,48967,13.58,13.96,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,98.37,39788,12.74,5.36,––-02-––-––-––-––-––-––-––-––-––-––
ВИС ФИНАНС БО-П01,RU000A102952,99.23,39358,17.42,1.1,01-––-––-04-––-––-07-––-––-10-––-––
Газпром нефть БО 001Р-06R,RU000A0ZYXV9,97.99,39201,11.96,5.83,––-––-03-––-––-––-––-––-––-––-––-––
MT-FREE-02,RU000A102DK3,96.16,30802,16.44,8.03,––-––-––-––-05-––-––-––-––-––-11-––
реСтор 001Р-01,RU000A103935,94.98,26255,16.23,8.9,––-––-03-––-––-06-––-––-09-––-––--12
