Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,90.223,4087054,16.88,11.13,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,нет,100.051,3212198,17.51,5.66,01-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,90.07,832880,16.62,14.56,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,нет,98.0,713946,17.45,3.16,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,нет,95.85,343686,17.65,6.46,––-––-03-––-––-––-––-––-09-––-––-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,нет,93.99,280210,19.48,6.36,––-02-––-––-––-––-––-08-––-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,93.89,196111,20.87,10.9,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,95.58,177837,19.86,10.5,01-––-––-04-––-––-07-––-––-10-––-––
СОПФ Инфраструктурные обл 1,RU000A103RD6,нет,97.81,170188,15.73,3.16,––-––-––-––-––-––-––-––-––-––-11-––
Эталон-Финанс АО БО-П03,RU000A103QH9,нет,90.56,158949,20.41,12.1,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,нет,97.26,137943,21.88,15.9,01-02-03-04-05-06-07-08-09-10-11--12
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,97.4,101626,18.0,16.03,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 002Р-07,RU000A106SK2,нет,95.87,99268,27.03,6.83,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-07,RU000A1077X0,нет,95.35,88150,22.1,13.23,01-02-03-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,93.13,87826,20.71,14.73,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,91.2,87056,22.56,15.16,––-02-––-––-05-––-––-08-––-––-11-––
Борец Капитал 001Р-01,RU000A105ZX2,нет,90.66,81231,20.02,17.6,––-––-03-––-––-06-––-––-09-––-––--12
ПИК-Корпорация 001Р-02,RU000A1016Z3,нет,97.15,72969,17.51,3.96,––-––-––-––-––-––-––-––-09-––-––--12
Джи-групп 002P-03,RU000A106Z38,нет,94.0,71583,22.05,15.26,––-––-03-04-––-06-07-––-09-10-––--12
Селектел 001P-04R,RU000A1089J4,нет,96.97,67338,18.15,17.73,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,93.07,62817,20.25,8.46,––-––-––-––-05-––-––-––-––-10-––-––
МТС-Банк ПАО 001P-02,RU000A1051U1,нет,92.49,62292,19.08,11.36,01-––-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001P-05,RU000A1070X5,нет,91.15,60581,22.43,16.39,01-02-03-04-05-06-07-08-09-10-11--12
Республика Кыргызстан 02,KG000A3LSJ06,нет,95.55,59436,18.97,15.13,––-––-03-––-––-06-––-––-09-––-––--12
ГЛОРАКС 001Р-02,RU000A108132,нет,96.24,56365,21.32,16.73,01-02-03-04-05-06-07-08-09-10-11--12
Софтлайн 002Р-01,RU000A106A78,нет,91.66,53924,20.16,16.63,––-02-––-––-05-––-––-08-––-––-11-––
ВУШ БО 001P-01,RU000A104WS2,нет,95.65,52835,20.57,9.96,––-––-03-––-––-06-––-––-09-––-––--12
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,нет,92.577,44035,15.81,13.43,01-––-––-––-––-––-07-––-––-––-––-––
ЭР-Телеком Холдинг ПБО-02-03,RU000A106JV8,нет,94.03,35849,20.5,10.53,01-––-––-04-––-––-07-––-––-10-––-––
АПРИ ПАО БО-П05,RU000A104WA0,нет,100.4,35435,23.11,8.16,––-––-03-––-––-06-––-––-09-––-––--12
