date,0.25Y,0.5Y,0.75Y,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2024-04-26,14.95,14.85,14.75,14.63,14.15,13.79,13.51,13.51,13.61,13.81,13.95,14.12
2024-04-27,14.8,14.75,14.7,14.62,14.22,13.83,13.53,13.52,13.61,13.81,13.97,14.2
2024-04-29,14.48,14.47,14.45,14.41,14.15,13.88,13.61,13.54,13.54,13.66,13.8,14.03
2024-04-30,14.65,14.61,14.57,14.51,14.2,13.89,13.61,13.56,13.59,13.75,13.91,14.12
2024-05-02,15.12,15.04,14.96,14.86,14.4,14.02,13.67,13.59,13.61,13.78,13.95,14.19
2024-05-03,15.12,15.06,15.0,14.9,14.46,14.07,13.69,13.59,13.61,13.79,13.98,14.28
2024-05-06,15.24,15.18,15.11,15.0,14.45,14.02,13.66,13.61,13.67,13.9,14.12,14.43
2024-05-07,15.1,15.05,14.99,14.89,14.41,14.03,13.7,13.64,13.69,13.92,14.16,14.48
2024-05-08,15.04,15.01,14.95,14.86,14.37,14.0,13.72,13.69,13.73,13.91,14.12,14.44
2024-05-10,15.3,15.2,15.09,14.96,14.42,14.02,13.69,13.63,13.69,13.92,14.14,14.47
2024-05-13,15.21,15.17,15.13,15.04,14.6,14.2,13.85,13.78,13.8,14.01,14.24,14.59
2024-05-14,14.99,15.02,15.01,14.96,14.6,14.32,14.08,14.02,14.01,14.15,14.36,14.72
2024-05-15,15.02,15.01,14.98,14.92,14.6,14.37,14.12,14.01,13.94,13.98,14.1,14.4
2024-05-16,14.92,14.88,14.84,14.79,14.63,14.48,14.26,14.13,14.02,13.96,14.02,14.25
2024-05-17,14.83,14.81,14.79,14.77,14.63,14.49,14.27,14.14,14.01,13.93,13.96,14.13
2024-05-20,14.83,14.85,14.85,14.85,14.73,14.58,14.35,14.21,14.08,14.0,14.02,14.18
2024-05-21,14.87,14.92,14.96,14.97,14.9,14.73,14.47,14.3,14.16,14.08,14.09,14.24
2024-05-22,15.03,15.06,15.07,15.07,14.96,14.8,14.53,14.35,14.2,14.06,14.01,14.03
2024-05-23,14.97,15.08,15.18,15.23,15.18,15.0,14.71,14.53,14.37,14.23,14.17,14.19
2024-05-24,14.98,15.1,15.22,15.31,15.39,15.22,14.88,14.67,14.5,14.34,14.26,14.24
2024-05-27,15.21,15.39,15.55,15.64,15.62,15.36,14.98,14.79,14.65,14.49,14.39,14.3
2024-05-28,15.17,15.34,15.48,15.56,15.53,15.32,14.99,14.78,14.59,14.4,14.27,14.15
2024-05-29,15.31,15.54,15.74,15.84,15.8,15.54,15.13,14.9,14.73,14.56,14.45,14.33
2024-05-30,15.08,15.36,15.6,15.74,15.8,15.52,15.09,14.89,14.75,14.64,14.57,14.5
2024-05-31,15.13,15.37,15.59,15.73,15.81,15.59,15.23,15.06,14.96,14.85,14.78,14.71
2024-06-03,15.1,15.38,15.63,15.79,15.89,15.69,15.35,15.14,14.96,14.8,14.71,14.6
2024-06-04,15.25,15.47,15.66,15.77,15.78,15.5,15.08,14.85,14.67,14.45,14.28,14.04
2024-06-05,14.88,15.37,15.64,15.77,15.7,15.41,15.0,14.79,14.62,14.46,14.37,14.3
2024-06-06,14.99,15.48,15.75,15.89,15.79,15.47,15.02,14.79,14.61,14.45,14.37,14.3
2024-06-07,14.96,15.36,15.61,15.75,15.78,15.52,15.05,14.78,14.57,14.39,14.3,14.2
2024-06-10,15.02,15.4,15.64,15.79,15.86,15.66,15.28,15.06,14.89,14.73,14.65,14.58
2024-06-11,14.78,15.17,15.44,15.62,15.82,15.69,15.34,15.09,14.89,14.7,14.6,14.52
2024-06-13,14.99,15.39,15.66,15.82,15.94,15.75,15.38,15.17,14.99,14.83,14.74,14.66
2024-06-14,15.14,15.53,15.77,15.92,15.95,15.73,15.34,15.13,14.97,14.84,14.78,14.74
2024-06-17,15.24,15.73,16.05,16.23,16.33,16.09,15.64,15.39,15.18,14.99,14.88,14.8
2024-06-18,15.36,15.9,16.24,16.42,16.48,16.2,15.73,15.48,15.28,15.13,15.06,14.98
2024-06-19,15.7,16.24,16.56,16.72,16.64,16.29,15.78,15.51,15.31,15.17,15.1,15.03
