secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group
KG000A3LSC78,TQCB,Кыргыз. 01,2024-05-08,98.0,98.0,98.0,98.0,98.0,9,907.47,17.73,17.73,2025-12-25,17.53,,1.9049,15.5,3.88,100.0,KGS,58
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-05-08,99.3,99.24,98.83,99.31,99.22,798,79177.97,15.59,15.65,2025-12-26,17.7,,1.6917,14.5,3.63,100.0,RUB,58
RU000A0JQ7Z2,TQCB,РЖД-19 обл,2024-05-08,98.89,99.1,98.52,99.1,98.81,1047,1034568.8,15.41,15.97,2024-07-08,1.97,,26.02,7.85,39.14,1000.0,RUB,58
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-05-08,95.24,94.62,94.62,95.41,95.01,1243,1180951.1,15.94,16.35,2025-01-16,8.13,,23.87,7.85,39.14,1000.0,RUB,58
RU000A0JRU20,TQCB,СЗКК 03,2024-05-08,97.6,97.6,97.6,97.6,97.6,1,691.98,17.74,17.74,2031-09-26,4.9,,6.85,10.69,37.79,709.0,RUB,58
RU000A0JS4J1,TQCB,ЗСД 03,2024-05-08,98.22,98.22,98.22,98.22,98.22,1,982.2,10.43,10.43,2032-02-06,66.37,,22.11,9.84,49.07,1000.0,RUB,58
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-05-08,95.21,95.36,94.5,95.45,95.24,60,57142.7,16.48,16.43,2032-02-17,9.43,,18.05,9.28,46.27,1000.0,RUB,58
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-05-08,92.56,92.71,92.56,92.9,92.75,244,226319.3,14.39,14.27,2032-06-25,23.3,,33.29,9.8,48.87,1000.0,RUB,58
RU000A0JSQ58,TQCB,ФСК РС-22,2024-05-08,98.35,99.97,98.35,99.97,98.59,7,6901.2,18.19,16.83,2027-07-21,2.5,2024-07-31,26.32,9.15,45.62,1000.0,RUB,58
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-05-08,95.31,96.5,95.06,96.5,95.1,3336,3172675.6,17.43,17.93,2028-11-07,6.0,2024-11-15,32.55,6.75,33.66,1000.0,RUB,58
RU000A0JUMH3,TQCB,ГПБ БО-08,2024-05-08,99.82,99.87,99.6,99.9,99.74,935,932548.9,12.03,14.5,2024-05-23,0.43,,30.43,6.65,33.16,1000.0,RUB,58
RU000A0JUQ39,TQCB,ГПБ БО-09,2024-05-08,98.8,98.8,98.8,98.8,98.8,1,988.0,15.61,15.61,2024-06-27,1.6,,20.59,5.65,28.33,1000.0,RUB,58
RU000A0JUQC5,TQCB,АшинМЗ БО1,2024-05-08,99.99,99.99,99.8,99.99,99.95,89,88953.0,16.71,17.13,2024-06-17,1.27,,64.19,16.5,82.27,1000.0,RUB,58
RU000A0JUU90,TQCB,АльфаБО-13,2024-05-08,98.38,98.38,98.38,98.38,98.38,1,983.8,14.58,14.58,2029-08-30,3.93,,15.12,8.9,44.38,1000.0,RUB,58
RU000A0JUV08,TQCB,ГПБ БО-10,2024-05-08,97.36,97.33,97.01,97.36,97.27,1346,1309267.5,16.07,16.35,2024-09-26,4.63,,9.6,8.15,41.08,1000.0,RUB,58
RU000A0JUW31,TQCB,РСХБ БО13,2024-05-08,99.44,99.44,99.44,99.44,99.44,1,994.4,13.08,13.08,2024-09-27,4.6,,12.05,11.0,27.42,1000.0,RUB,58
RU000A0JUW72,TQCB,РСХБ БО14,2024-05-08,99.03,99.03,99.03,99.03,99.03,2,1980.6,14.26,14.26,2024-09-30,4.7,,11.15,11.0,27.42,1000.0,RUB,58
RU000A0JV1X3,TQCB,РоснфтБО3,2024-05-08,97.16,97.11,96.94,97.16,97.13,116,112674.4,15.46,15.52,2024-11-28,6.47,,41.21,9.4,46.87,1000.0,RUB,58
RU000A0JV219,TQCB,РоснфтБО9,2024-05-08,97.34,97.53,96.72,97.56,97.3,12,11675.5,15.07,15.16,2024-11-28,6.47,,41.21,9.4,46.87,1000.0,RUB,58
RU000A0JV375,TQCB,ГТЛК БО-03,2024-05-08,97.31,97.72,97.0,97.8,97.6,29,28302.7,16.18,15.59,2024-12-10,6.9,,16.27,10.42,25.98,1000.0,RUB,58
RU000A0JV8D0,TQCB,ВЭБлизБ04,2024-05-08,95.04,95.03,95.03,95.04,95.04,4,3801.4,7.34,7.34,2025-01-31,8.87,,0.26,0.1,0.5,1000.0,RUB,58
RU000A0JVA10,TQCB,ГТЛК БО-04,2024-05-08,99.17,98.66,98.66,99.26,99.04,184,182224.8,15.73,15.92,2025-03-06,9.4,,23.44,13.8,34.41,1000.0,RUB,58
RU000A0JVD25,TQCB,РусГидро09,2024-05-08,89.9,89.7,89.7,89.9,89.74,5,4487.0,12.12,12.33,2025-04-15,11.33,,0.01,0.01,0.05,1000.0,RUB,58
RU000A0JVFC6,TQCB,РостелБО-1,2024-05-08,94.29,93.21,93.21,94.29,93.61,22,20594.0,13.61,14.44,2025-05-16,11.73,,33.18,7.0,34.9,1000.0,RUB,58
RU000A0JVHH1,TQCB,ТрансФБО39,2024-05-08,96.98,96.98,96.98,96.98,96.98,2,1939.6,11.9,11.9,2025-06-04,12.27,,35.86,8.5,42.38,1000.0,RUB,58
RU000A102K96,TQOD,ВЭБ1P-23В,2024-05-08,96.3,96.5101,96.3,96.9799,96.748,12,11588.3,5.79,5.47,2025-12-17,18.83,,12.47,3.25,16.21,1000.0,USD,193
RU000A1040E8,TQOD,ЦифрБро1П2,2024-05-08,94.3,93.9989,93.9989,94.5,94.2506,23,21672.85,8.3,8.32,2026-11-06,28.4,,13.41,5.5,13.71,1000.0,USD,193
RU000A105146,TQOD,ПИК К 1P5,2024-05-08,95.75,96.65,95.75,96.65,96.289,211,202091.76,7.65,7.39,2026-11-19,28.2,,26.35,5.63,28.05,1000.0,USD,193
RU000A1056U0,TQOD,ГазКЗ-27Д,2024-05-08,97.24,97.25,97.24,97.25,98.21,2,1944.9,6.02,5.63,2027-03-23,32.63,,6.19,4.95,24.75,1000.0,USD,193
RU000A105BY1,TQOD,ГазКЗ-28Е,2024-05-08,82.952,83.0997,82.952,83.0997,82.9921,11,9859.94,6.3,6.29,2028-11-17,52.5,,9.429,1.85,18.5,1000.0,EUR,193
XS2069992258,TQOD,GMKN-24,2024-05-08,98.9795,101.8999,96.22,101.8999,98.0412,18,17647.42,5.63,7.81,2024-10-28,5.6,,0.9375,3.38,16.88,1000.0,USD,193
RU000A105104,TQOY,РУСАЛ БО05,2024-05-08,98.71,98.69,98.52,98.73,98.7108,141,139145.56,10.27,10.26,2027-07-28,2.63,2024-08-05,10.47,3.9,19.45,1000.0,CNY,245
RU000A105112,TQOY,РУСАЛ БО06,2024-05-08,98.8499,98.8865,98.67,98.8865,98.7839,42,41489.24,9.56,9.89,2027-07-28,2.63,2024-08-05,10.47,3.9,19.45,1000.0,CNY,245
RU000A1054W1,TQOY,Полюс Б1P2,2024-05-08,93.72,93.5995,93.2571,93.7448,93.66,1142,1069388.55,6.02,6.04,2027-08-24,37.53,,7.39,3.8,18.95,1000.0,CNY,245
RU000A1057A0,TQOY,МЕТАЛИН1P1,2024-05-08,99.2,98.8208,98.8208,99.3,99.2012,27,26801.19,5.62,5.62,2024-09-13,4.07,,4.59,3.1,7.73,1000.0,CNY,245
RU000A1057D4,TQOY,МЕТАЛИН1P2,2024-05-08,93.81,93.7511,93.4046,93.81,93.7385,3275,3069767.38,5.88,5.91,2027-09-10,37.97,,5.47,3.7,9.22,1000.0,CNY,245
RU000A1057S2,TQOY,Роснфт2P12,2024-05-08,98.97,99.0992,98.8402,99.0992,98.9061,263,260123.02,6.16,6.36,2032-09-07,4.23,2024-09-20,4.18,3.05,15.21,1000.0,CNY,245
RU000A105C44,TQOY,РУСАЛ 1Р1,2024-05-08,97.7239,97.7926,97.2,97.7926,97.384,115,111989.95,6.36,6.75,2025-04-24,11.43,,1.34,3.75,18.7,1000.0,CNY,245
RU000A105EV1,TQOY,ЕАБР П3-04,2024-05-08,97.4,97.4,97.4,97.4,97.4,1,974.0,5.41,5.41,2027-11-07,17.8,,17.26,3.5,17.45,1000.0,CNY,245
RU000A105EW9,TQOY,Сегежа3P1R,2024-05-08,85.0,84.9316,84.9316,85.1493,85.1589,99,84234.84,16.61,16.46,2037-10-22,17.57,2025-11-06,10.23,4.15,10.35,1000.0,CNY,245
RU000A105GS2,TQOY,ЮГК 1P1,2024-05-08,99.1989,99.1001,99.1001,99.1989,99.166,3,2974.98,5.61,5.68,2024-11-19,6.2,,18.29,3.95,19.7,1000.0,CNY,245
RU000A105M75,TQOY,МЕТАЛИН1P3,2024-05-08,95.8,95.4108,95.4108,96.0548,95.987,7,6707.87,6.17,6.03,2025-12-11,18.63,,13.0,3.25,16.21,1000.0,CNY,245
