secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group
KG000A3LSC78,TQCB,Кыргыз. 01,2024-09-26,96.0,96.0,96.0,96.0,96.0,13,1369.36,20.32,20.32,2025-12-25,14.0,,0.0472,15.5,3.88,100.0,KGS,58
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-09-26,96.0,95.85,95.42,96.26,96.15,4836,464966.5,19.15,18.99,2025-12-26,14.1,,0.0,14.5,3.63,100.0,RUB,58
RU000A0JQ5C5,TQIR,НПФ 01,2024-09-26,,,,,,0,0.0,,,2029-05-06,,,770.0,5.0,1000.55,1000.0,RUB,58
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2024-09-26,104.98,,,,,0,0.0,,,2028-09-15,5.63,,6.03,20.0,99.18,1000.0,RUB,58
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-09-26,97.21,97.31,97.09,97.35,97.28,198,192609.4,18.3,18.02,2025-01-16,3.7,,15.05,7.85,39.14,1000.0,RUB,58
RU000A0JR4U9,TQCB,ГлДорога 3,2024-09-26,99.47,,,,,0,0.0,,,2028-10-30,1.27,,22.26,4.0,24.93,625.0,RUB,58
RU000A0JRJB8,TQCB,ЗСД 01,2024-09-26,106.03,106.03,106.03,106.03,106.03,1,1060.3,9.41,9.41,2031-05-13,58.8,,36.61,10.44,52.06,1000.0,RUB,58
RU000A0JRJL7,TQCB,ЗСД 02,2024-09-26,114.81,114.81,114.81,114.81,114.81,1,1148.1,7.7,7.7,2031-05-13,59.8,,36.61,10.44,52.06,1000.0,RUB,58
RU000A0JRU20,TQCB,СЗКК 03,2024-09-26,86.4,,,,,0,0.0,,,2031-09-26,,,36.13,10.69,37.79,709.0,RUB,58
RU000A0JRU46,TQCB,СЗКК 04,2024-09-26,83.0,,,,,0,0.0,,,2031-09-26,,,36.13,10.69,37.79,709.0,RUB,58
