secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-01-03,100.01,109.98,99.99,109.98,100.17,29709,2975922.99,15.07,14.97,2025-12-26,21.3,,0.2819,14.5,3.63,100.0,RUB,58,2024-01-03
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-01-03,96.89,96.6,96.6,96.89,96.87,13,12592.8,12.62,12.64,2032-02-17,13.13,,32.29,9.28,46.27,1000.0,RUB,58,2024-01-03
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-01-03,99.26,95.21,95.0,100.13,97.26,293,284986.1,10.4,11.4,2032-06-25,26.3,,48.33,9.8,48.87,1000.0,RUB,58,2024-01-03
RU000A0JTU85,TQCB,РЖД-28 обл,2024-01-03,98.26,98.71,97.21,98.71,97.84,82,80224.7,15.37,17.55,2028-03-21,2.73,2024-03-29,18.44,6.8,33.91,1000.0,RUB,58,2024-01-03
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-01-03,97.12,94.98,94.98,97.64,97.03,170,164945.1,10.59,10.71,2028-11-07,10.23,2024-11-15,9.25,6.75,33.66,1000.0,RUB,58,2024-01-03
RU000A0JVA10,TQCB,ГТЛК БО-04,2024-01-03,99.85,99.94,99.31,100.19,99.74,655,653299.4,14.68,14.79,2025-03-06,13.27,,10.21,13.8,34.41,1000.0,RUB,58,2024-01-03
RU000A105104,TQOY,РУСАЛ БО05,2024-01-03,98.7215,98.4783,98.3,99.3999,98.5854,93,91705.84,6.36,6.62,2027-07-28,6.67,2024-08-05,16.45,3.9,19.45,1000.0,CNY,245,2024-01-03
RU000A105112,TQOY,РУСАЛ БО06,2024-01-03,98.4,98.4,98.3404,98.9594,98.5658,48,47349.84,6.98,6.66,2027-07-28,6.67,2024-08-05,16.45,3.9,19.45,1000.0,CNY,245,2024-01-03
RU000A1054W1,TQOY,Полюс Б1P2,2024-01-03,94.2999,94.2,94.176,94.3,94.2292,572,539093.82,5.63,5.66,2027-08-24,40.93,,13.22,3.8,18.95,1000.0,CNY,245,2024-01-03
RU000A1057D4,TQOY,МЕТАЛИН1P2,2024-01-03,93.5001,93.11,93.1,93.9978,93.782,164,153458.74,5.79,5.7,2027-09-10,41.77,,1.93,3.7,9.22,1000.0,CNY,245,2024-01-03
RU000A1057S2,TQOY,Роснфт2P12,2024-01-03,98.5024,98.6,98.0501,98.83,98.4771,278,273766.4,5.35,5.39,2032-09-07,8.3,2024-09-20,8.86,3.05,15.21,1000.0,CNY,245,2024-01-03
RU000A105C44,TQOY,РУСАЛ 1Р1,2024-01-03,97.6418,96.8563,96.8563,97.6469,97.6239,31,30216.88,5.75,5.76,2025-04-24,15.37,,7.09,3.75,18.7,1000.0,CNY,245,2024-01-03
