date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-01-03,100.01,96.89,99.26,98.26,97.12,99.85,98.7215,98.4,94.2999,93.5001,98.5024,97.6418,83.0001,97.7888,98.7499,99.25,100.1001,99.9997,100.7,
2024-01-04,99.99,96.45,95.61,98.53,96.41,100.11,98.8214,98.5,94.2331,93.505,98.5,97.7962,84.88,97.788,98.8488,99.25,100.7,100.0198,100.8351,
2024-01-05,100.0,96.88,95.3,98.71,96.2,100.15,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,97.7887,99.0,99.25,100.3255,99.9502,101.6499,
2024-01-06,100.0,96.88,95.3,98.71,96.2,100.15,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,97.7887,99.0,99.25,100.3255,99.9502,101.6499,
2024-01-07,100.0,96.88,95.3,98.71,96.2,100.15,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,97.7887,99.0,99.25,100.3255,99.9502,101.6499,
2024-01-08,100.0,96.8,96.26,98.62,96.84,100.35,98.505,98.4989,94.2995,93.6997,98.5421,97.7,85.6499,96.7275,99.7398,99.25,100.1004,100.0003,101.6,
2024-01-09,100.0,,95.32,98.38,94.98,100.09,98.5,98.4182,94.3196,93.6246,98.7899,97.7497,84.42,96.5188,98.95,99.2499,100.503,99.8,101.0,
2024-01-10,100.0,94.91,95.12,98.43,94.98,100.22,98.5839,98.57,94.4882,93.4999,98.75,97.5561,84.8033,97.7186,98.8,99.2499,100.9,99.7,100.9999,
2024-01-11,100.0,96.0,95.09,98.65,94.98,100.04,98.41,98.55,94.5,93.5,98.6,97.6,85.39,95.5875,99.27,99.2369,100.6002,99.65,100.85,
2024-01-12,100.0,95.89,95.09,98.48,94.97,100.55,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,97.4,99.589,99.2499,100.8952,99.6,100.65,
2024-01-13,100.0,95.89,95.09,98.48,94.97,100.55,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,97.4,99.589,99.2499,100.8952,99.6,100.65,
2024-01-14,100.0,95.89,95.09,98.48,94.97,100.55,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,97.4,99.589,99.2499,100.8952,99.6,100.65,
2024-01-15,99.99,95.99,95.34,98.66,94.89,100.07,98.1496,98.4299,94.9,93.48,98.9,97.4,85.39,96.1957,99.5999,99.2747,100.6899,99.55,100.44,
2024-01-16,99.98,95.97,95.09,98.68,94.73,100.0,98.1999,98.399,94.6303,93.48,98.8,97.4999,85.2987,97.7,99.777,99.2556,100.6734,99.5,100.25,
