date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-01-03,15.07,12.62,10.4,15.37,10.59,14.68,6.36,6.98,5.63,5.79,5.35,5.75,15.81,4.51,8.96,5.38,5.48,5.83,6.47,
2024-01-04,15.08,13.09,12.24,14.08,11.57,14.41,6.16,6.78,5.66,5.79,5.35,5.61,14.35,4.51,8.91,5.38,4.96,5.82,6.4,
2024-01-05,15.08,12.66,12.41,13.41,11.9,14.36,7.54,5.9,5.63,5.73,4.89,5.47,13.79,4.51,8.83,5.38,5.28,5.85,6.01,
2024-01-06,15.08,12.66,12.41,13.41,11.9,14.36,7.54,5.9,5.63,5.73,4.89,5.47,13.79,4.51,8.83,5.38,5.28,5.85,6.01,
2024-01-07,15.08,12.66,12.41,13.41,11.9,14.36,7.54,5.9,5.63,5.73,4.89,5.47,13.79,4.51,8.83,5.38,5.28,5.85,6.01,
2024-01-08,15.08,12.75,11.91,13.98,11.03,14.15,6.77,6.79,5.63,5.73,5.29,5.7,13.77,5.12,8.46,5.38,5.48,5.83,6.04,
2024-01-09,15.07,,12.4,15.39,13.66,14.43,6.8,6.96,5.63,5.75,4.91,5.66,14.72,5.24,8.86,5.38,5.13,5.93,6.32,
2024-01-10,15.07,14.81,12.51,15.23,13.68,14.29,6.65,6.68,5.58,5.8,4.98,5.83,14.44,4.56,8.93,5.38,4.78,5.98,6.32,
2024-01-11,15.07,13.64,12.53,14.1,13.7,14.48,7.01,6.73,5.57,5.8,5.23,5.79,14.01,5.8,8.7,5.39,5.04,6.0,6.4,
2024-01-12,15.07,13.79,12.53,15.41,13.78,13.94,6.97,6.87,5.48,5.79,4.78,5.74,14.08,4.75,8.54,5.38,4.78,6.03,6.49,
2024-01-13,15.07,13.79,12.53,15.41,13.78,13.94,6.97,6.87,5.48,5.79,4.78,5.74,14.08,4.75,8.54,5.38,4.78,6.03,6.49,
2024-01-14,15.07,13.79,12.53,15.41,13.78,13.94,6.97,6.87,5.48,5.79,4.78,5.74,14.08,4.75,8.54,5.38,4.78,6.03,6.49,
2024-01-15,15.08,13.69,12.4,14.46,13.93,14.44,7.6,7.03,5.45,5.81,4.79,5.99,14.07,5.45,8.53,5.37,4.96,6.05,6.59,
2024-01-16,15.08,13.72,12.54,14.46,14.18,14.52,7.51,7.11,5.54,5.81,4.95,5.9,14.15,4.58,8.45,5.38,4.97,6.08,6.68,
2024-01-17,15.08,13.71,12.54,16.05,14.21,14.44,7.49,7.12,5.43,5.84,4.8,5.84,14.71,4.9,8.39,5.39,4.96,6.1,6.71,
2024-01-18,15.08,13.77,12.53,14.63,13.88,14.34,7.24,7.55,5.42,5.77,4.73,5.78,14.48,5.39,8.52,5.36,4.77,5.92,6.71,
2024-01-19,15.07,13.85,12.54,15.26,14.31,14.32,7.49,7.15,5.42,5.81,5.31,5.79,14.33,4.56,8.47,5.38,5.29,5.93,6.66,
2024-01-20,15.07,13.85,12.54,15.26,14.31,14.32,7.49,7.15,5.42,5.81,5.31,5.79,14.33,4.56,8.47,5.38,5.29,5.93,6.66,
2024-01-21,15.07,13.85,12.54,15.26,14.31,14.32,7.49,7.15,5.42,5.81,5.31,5.79,14.33,4.56,8.47,5.38,5.29,5.93,6.66,
2024-01-22,15.07,15.44,12.42,15.0,14.35,14.54,7.22,6.73,5.42,5.83,4.84,5.97,14.61,5.47,8.34,5.38,4.5,5.88,6.61,
2024-01-23,15.07,13.9,12.43,15.26,14.37,14.75,7.35,7.04,5.5,5.84,4.75,6.11,14.77,5.45,8.43,5.39,4.87,5.98,6.74,
