date,KG000A3LSJ06,RU000A0JSGV0,RU000A0JUAH8,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105N25,RU000A1060Q0,RU000A1071S3,RU000A1076U8
2024-01-03,100.01,99.26,97.12,98.7215,98.4,94.2999,93.5001,98.5024,97.6418,83.0001,98.7499,99.25,99.9997,100.7
2024-01-04,99.99,95.61,96.41,98.8214,98.5,94.2331,93.505,98.5,97.7962,84.88,98.8488,99.25,100.0198,100.8351
2024-01-05,100.0,95.3,96.2,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,99.0,99.25,99.9502,101.6499
2024-01-06,100.0,95.3,96.2,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,99.0,99.25,99.9502,101.6499
2024-01-07,100.0,95.3,96.2,98.1103,98.9591,94.3,93.6995,98.7974,97.97,85.6201,99.0,99.25,99.9502,101.6499
2024-01-08,100.0,96.26,96.84,98.505,98.4989,94.2995,93.6997,98.5421,97.7,85.6499,99.7398,99.25,100.0003,101.6
2024-01-09,100.0,95.32,94.98,98.5,98.4182,94.3196,93.6246,98.7899,97.7497,84.42,98.95,99.2499,99.8,101.0
2024-01-10,100.0,95.12,94.98,98.5839,98.57,94.4882,93.4999,98.75,97.5561,84.8033,98.8,99.2499,99.7,100.9999
2024-01-11,100.0,95.09,94.98,98.41,98.55,94.5,93.5,98.6,97.6,85.39,99.27,99.2369,99.65,100.85
2024-01-12,100.0,95.09,94.97,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,99.589,99.2499,99.6,100.65
2024-01-13,100.0,95.09,94.97,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,99.589,99.2499,99.6,100.65
2024-01-14,100.0,95.09,94.97,98.45,98.5001,94.8,93.5249,98.9,97.6789,85.35,99.589,99.2499,99.6,100.65
2024-01-15,99.99,95.34,94.89,98.1496,98.4299,94.9,93.48,98.9,97.4,85.39,99.5999,99.2747,99.55,100.44
2024-01-16,99.98,95.09,94.73,98.1999,98.399,94.6303,93.48,98.8,97.4999,85.2987,99.777,99.2556,99.5,100.25
2024-01-17,99.99,95.09,94.73,98.2212,98.3989,94.949,93.4,98.8976,97.58,84.6,99.8898,99.25,99.45,100.2
2024-01-18,99.99,95.11,94.97,98.3501,98.2,94.9999,93.5999,98.95,97.6547,84.91,99.6311,99.2985,99.8094,100.2
2024-01-19,99.99,95.1,94.73,98.2572,98.4199,94.9994,93.4999,98.6002,97.65,85.1698,99.73,99.2599,99.8,100.2988
2024-01-20,99.99,95.1,94.73,98.2572,98.4199,94.9994,93.4999,98.6002,97.65,85.1698,99.73,99.2599,99.8,100.2988
2024-01-21,99.99,95.1,94.73,98.2572,98.4199,94.9994,93.4999,98.6002,97.65,85.1698,99.73,99.2599,99.8,100.2988
2024-01-22,99.99,95.33,94.72,98.396,98.6319,95.0,93.449,98.8999,97.4521,84.825,99.99,99.2595,99.9,100.3999
2024-01-23,99.99,95.31,94.72,98.342,98.4899,94.78,93.4199,98.96,97.3,84.65,99.8,99.2499,99.7,100.13
2024-01-24,99.98,95.21,95.19,98.3897,98.4013,94.9001,93.38,98.9593,97.4399,84.9928,99.57,99.21,99.8,100.1
2024-01-25,99.98,95.35,94.99,98.41,98.48,94.88,93.33,98.9,97.499,84.6998,99.5,99.2215,99.7698,100.06
2024-01-26,99.98,95.3,95.19,98.4889,98.6898,94.8898,93.2997,98.8,97.14,84.8491,99.6,99.22,99.8002,100.05
2024-01-27,99.98,95.3,95.19,98.4889,98.6898,94.8898,93.2997,98.8,97.14,84.8491,99.6,99.22,99.8002,100.05
2024-01-28,99.98,95.3,95.19,98.4889,98.6898,94.8898,93.2997,98.8,97.14,84.8491,99.6,99.22,99.8002,100.05
2024-01-29,99.98,95.09,95.2,98.45,98.51,94.9699,93.3998,98.81,97.3567,84.5203,99.4,99.2458,99.7,100.05
2024-01-30,99.85,95.09,95.08,98.447,98.4501,94.9797,93.2005,98.7501,97.0101,84.7002,99.4999,99.244,99.7001,100.05
2024-01-31,99.95,95.28,94.84,98.4471,98.41,94.33,93.2,98.7001,97.0158,85.0,99.5899,99.1998,99.65,99.9769
2024-02-01,99.93,95.3,94.99,98.2707,98.2715,94.0001,92.8051,98.8871,97.1896,85.0698,99.4,99.0,99.75,100.0
2024-02-02,99.9,95.15,95.08,98.301,98.4199,94.5314,92.8003,98.5,97.389,84.8568,99.5992,99.14,99.7499,99.89
2024-02-03,99.9,95.15,95.08,98.301,98.4199,94.5314,92.8003,98.5,97.389,84.8568,99.5992,99.14,99.7499,99.89
2024-02-04,99.9,95.15,95.08,98.301,98.4199,94.5314,92.8003,98.5,97.389,84.8568,99.5992,99.14,99.7499,99.89
2024-02-05,99.83,95.09,94.89,98.39,98.3,94.4499,92.8,98.89,97.3,85.05,99.8,99.1999,99.69,99.9
2024-02-06,99.86,95.46,94.82,98.3,98.3,94.2,92.85,98.6301,97.5821,84.9102,99.6897,99.1,99.7498,99.9548
2024-02-07,99.87,95.29,94.69,98.3,98.3,94.0212,92.8,98.85,97.3663,84.999,99.6699,99.0,99.6103,99.8
2024-02-08,99.87,95.29,94.41,98.3,98.3,94.0,92.71,98.795,96.8126,85.05,99.68,98.9999,99.74,99.41
2024-02-09,99.87,95.8,94.55,98.3,98.31,94.2978,92.6902,98.6811,97.298,85.01,99.6096,98.8001,99.6162,99.6
2024-02-10,99.87,95.8,94.55,98.3,98.31,94.2978,92.6902,98.6811,97.298,85.01,99.6096,98.8001,99.6162,99.6
2024-02-11,99.87,95.8,94.55,98.3,98.31,94.2978,92.6902,98.6811,97.298,85.01,99.6096,98.8001,99.6162,99.6
2024-02-12,99.8,95.33,94.88,98.4,98.4501,94.0021,92.8,98.95,97.2999,85.0111,99.6762,98.9898,99.735,99.65
2024-02-13,99.78,94.02,94.6,98.45,98.351,94.0999,92.79,98.85,97.3999,85.1,99.68,98.9887,99.7999,99.7499
2024-02-14,99.79,95.47,94.4,98.5,98.6999,94.002,92.6911,98.78,97.4,84.9251,99.63,98.95,99.8,99.7466
2024-02-15,99.6,94.76,94.98,98.57,98.6997,94.15,92.73,98.8,96.5072,85.0397,99.5,98.8105,99.7489,99.7494
2024-02-16,99.7,95.46,95.17,98.55,98.6453,94.3,92.8,98.973,96.88,85.1,99.6496,98.8799,99.7499,99.8849
2024-02-17,99.7,95.46,95.17,98.55,98.6453,94.3,92.8,98.973,96.88,85.1,99.6496,98.8799,99.7499,99.8849
2024-02-18,99.7,95.46,95.17,98.55,98.6453,94.3,92.8,98.973,96.88,85.1,99.6496,98.8799,99.7499,99.8849
2024-02-19,99.85,94.91,94.82,98.55,98.6,94.0,92.7301,98.6601,96.5503,85.0899,99.6294,98.69,99.7132,99.885
2024-02-20,99.9,94.58,94.46,98.6499,98.72,94.3,92.95,98.6998,97.3865,84.8501,99.4,98.8,99.75,100.092
2024-02-21,99.7,94.62,95.0,98.465,98.5889,93.7999,92.6999,98.7889,96.4885,83.2,99.0,98.2999,99.76,100.0999
2024-02-22,99.8,93.17,94.6,98.53,98.5902,93.7943,92.8028,98.8897,96.899,84.4001,98.7,98.6995,99.61,100.027
2024-02-23,99.8,93.17,94.6,98.53,98.5902,93.7943,92.8028,98.8897,96.899,84.4001,98.7,98.6995,99.61,100.027
