date,KG000A3LSJ06,RU000A0JSGV0,RU000A0JUAH8,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105N25,RU000A1060Q0,RU000A1071S3,RU000A1076U8
2024-01-03,15.07,10.4,10.59,6.36,6.98,5.63,5.79,5.35,5.75,15.81,8.96,5.38,5.83,6.47
2024-01-04,15.08,12.24,11.57,6.16,6.78,5.66,5.79,5.35,5.61,14.35,8.91,5.38,5.82,6.4
2024-01-05,15.08,12.41,11.9,7.54,5.9,5.63,5.73,4.89,5.47,13.79,8.83,5.38,5.85,6.01
2024-01-06,15.08,12.41,11.9,7.54,5.9,5.63,5.73,4.89,5.47,13.79,8.83,5.38,5.85,6.01
2024-01-07,15.08,12.41,11.9,7.54,5.9,5.63,5.73,4.89,5.47,13.79,8.83,5.38,5.85,6.01
2024-01-08,15.08,11.91,11.03,6.77,6.79,5.63,5.73,5.29,5.7,13.77,8.46,5.38,5.83,6.04
2024-01-09,15.07,12.4,13.66,6.8,6.96,5.63,5.75,4.91,5.66,14.72,8.86,5.38,5.93,6.32
2024-01-10,15.07,12.51,13.68,6.65,6.68,5.58,5.8,4.98,5.83,14.44,8.93,5.38,5.98,6.32
2024-01-11,15.07,12.53,13.7,7.01,6.73,5.57,5.8,5.23,5.79,14.01,8.7,5.39,6.0,6.4
2024-01-12,15.07,12.53,13.78,6.97,6.87,5.48,5.79,4.78,5.74,14.08,8.54,5.38,6.03,6.49
2024-01-13,15.07,12.53,13.78,6.97,6.87,5.48,5.79,4.78,5.74,14.08,8.54,5.38,6.03,6.49
2024-01-14,15.07,12.53,13.78,6.97,6.87,5.48,5.79,4.78,5.74,14.08,8.54,5.38,6.03,6.49
2024-01-15,15.08,12.4,13.93,7.6,7.03,5.45,5.81,4.79,5.99,14.07,8.53,5.37,6.05,6.59
2024-01-16,15.08,12.54,14.18,7.51,7.11,5.54,5.81,4.95,5.9,14.15,8.45,5.38,6.08,6.68
2024-01-17,15.08,12.54,14.21,7.49,7.12,5.43,5.84,4.8,5.84,14.71,8.39,5.39,6.1,6.71
2024-01-18,15.08,12.53,13.88,7.24,7.55,5.42,5.77,4.73,5.78,14.48,8.52,5.36,5.92,6.71
2024-01-19,15.07,12.54,14.31,7.49,7.15,5.42,5.81,5.31,5.79,14.33,8.47,5.38,5.93,6.66
2024-01-20,15.07,12.54,14.31,7.49,7.15,5.42,5.81,5.31,5.79,14.33,8.47,5.38,5.93,6.66
2024-01-21,15.07,12.54,14.31,7.49,7.15,5.42,5.81,5.31,5.79,14.33,8.47,5.38,5.93,6.66
2024-01-22,15.07,12.42,14.35,7.22,6.73,5.42,5.83,4.84,5.97,14.61,8.34,5.38,5.88,6.61
2024-01-23,15.07,12.43,14.37,7.35,7.04,5.5,5.84,4.75,6.11,14.77,8.43,5.39,5.98,6.74
2024-01-24,15.08,12.49,13.69,7.27,7.24,5.46,5.86,4.75,5.99,14.51,8.55,5.41,5.93,6.76
2024-01-25,15.08,12.42,14.01,7.24,7.09,5.46,5.87,4.86,5.94,14.76,8.59,5.4,5.94,6.78
2024-01-26,15.08,12.45,13.78,7.13,6.69,5.47,5.89,5.05,6.28,14.69,8.53,5.41,5.93,6.78
2024-01-27,15.08,12.45,13.78,7.13,6.69,5.47,5.89,5.05,6.28,14.69,8.53,5.41,5.93,6.78
2024-01-28,15.08,12.45,13.78,7.13,6.69,5.47,5.89,5.05,6.28,14.69,8.53,5.41,5.93,6.78
2024-01-29,15.08,12.56,13.79,7.23,7.1,5.44,5.86,5.04,6.09,14.97,8.64,5.39,5.98,6.78
2024-01-30,15.19,12.57,14.0,7.25,7.25,5.44,5.93,5.15,6.41,14.84,8.59,5.39,5.98,6.78
2024-01-31,15.12,12.47,14.4,7.27,7.35,5.65,5.93,5.24,6.41,14.62,8.54,5.42,6.0,6.82
2024-02-01,15.14,12.46,14.19,7.68,7.68,5.77,6.06,4.94,6.26,14.58,8.64,5.52,5.95,6.81
2024-02-02,15.15,12.55,14.13,7.68,7.41,5.59,6.07,5.63,6.09,14.8,8.54,5.45,5.95,6.86
2024-02-03,15.15,12.55,14.13,7.68,7.41,5.59,6.07,5.63,6.09,14.8,8.54,5.45,5.95,6.86
2024-02-04,15.15,12.55,14.13,7.68,7.41,5.59,6.07,5.63,6.09,14.8,8.54,5.45,5.95,6.86
2024-02-05,15.2,12.58,14.45,7.49,7.7,5.62,6.07,4.96,6.18,14.66,8.44,5.42,5.99,6.86
2024-02-06,15.18,12.38,14.59,7.72,7.72,5.71,6.06,5.43,5.93,14.79,8.49,5.47,5.96,6.83
2024-02-07,15.17,12.48,14.83,7.74,7.74,5.77,6.07,5.05,6.13,14.74,8.5,5.53,6.03,6.91
