date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JVA10,RU000A0JVD25,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A105PQ7,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8,RU000A107U81
2024-01-03,,96.89,99.26,99.85,,98.7215,98.4,94.2999,93.5001,97.6418,83.0001,97.7888,98.7499,97.6137,99.25,,99.9997,,,
2024-01-04,99.99,96.45,95.61,,85.93,98.8214,98.5,94.2331,93.505,97.7962,84.88,97.788,98.8488,98.9999,99.25,,,,,
2024-01-05,100.0,96.88,95.3,,85.84,98.1103,98.9591,94.3,93.6995,97.97,85.6201,97.7887,99.0,,99.25,,99.9502,,,
2024-01-06,100.0,96.88,95.3,,85.84,98.1103,98.9591,94.3,93.6995,97.97,85.6201,97.7887,99.0,,99.25,,99.9502,,,
2024-01-07,100.0,96.88,95.3,,85.84,98.1103,98.9591,94.3,93.6995,97.97,85.6201,97.7887,99.0,,99.25,,99.9502,,,
2024-01-08,100.0,96.8,96.26,,,98.505,98.4989,94.2995,93.6997,97.7,85.6499,96.7275,99.7398,,99.25,,,,,
2024-01-09,100.0,,95.32,,85.83,98.5,98.4182,94.3196,93.6246,97.7497,84.42,96.5188,98.95,99.0,99.2499,,99.8,,,
2024-01-10,100.0,94.91,95.12,,86.6,98.5839,98.57,94.4882,93.4999,97.5561,84.8033,97.7186,98.8,97.8004,99.2499,,99.7,,,
2024-01-11,100.0,96.0,95.09,,86.88,98.41,98.55,94.5,93.5,97.6,85.39,95.5875,99.27,98.9394,99.2369,,99.65,,,
2024-01-12,100.0,95.89,95.09,,87.27,98.45,98.5001,94.8,93.5249,97.6789,85.35,97.4,99.589,98.869,99.2499,,99.6,,,
2024-01-13,100.0,95.89,95.09,,87.27,98.45,98.5001,94.8,93.5249,97.6789,85.35,97.4,99.589,98.869,99.2499,,99.6,,,
2024-01-14,100.0,95.89,95.09,,87.27,98.45,98.5001,94.8,93.5249,97.6789,85.35,97.4,99.589,98.869,99.2499,,99.6,,,
2024-01-15,99.99,95.99,95.34,,84.53,98.1496,98.4299,94.9,93.48,97.4,85.39,96.1957,99.5999,98.8995,99.2747,,99.55,,,
2024-01-16,99.98,95.97,95.09,100.0,85.22,98.1999,98.399,94.6303,93.48,97.4999,85.2987,97.7,99.777,98.1001,99.2556,,99.5,,,
2024-01-17,99.99,95.99,95.09,,85.73,98.2212,98.3989,94.949,93.4,97.58,84.6,97.1436,99.8898,98.97,99.25,,99.45,,,
2024-01-18,99.99,95.94,95.11,,85.73,98.3501,98.2,94.9999,93.5999,97.6547,84.91,96.3081,99.6311,98.3,99.2985,,99.8094,,,
2024-01-19,99.99,95.9,95.1,,,98.2572,98.4199,94.9994,93.4999,97.65,85.1698,97.7517,99.73,98.2001,99.2599,,99.8,,,
2024-01-20,99.99,95.9,95.1,,,98.2572,98.4199,94.9994,93.4999,97.65,85.1698,97.7517,99.73,98.2001,99.2599,,99.8,,,
2024-01-21,99.99,95.9,95.1,,,98.2572,98.4199,94.9994,93.4999,97.65,85.1698,97.7517,99.73,98.2001,99.2599,,99.8,,,
2024-01-22,99.99,94.5,95.33,99.98,85.31,98.396,98.6319,95.0,93.449,97.4521,84.825,96.2,99.99,98.9999,99.2595,,99.9,,,
2024-01-23,99.99,95.88,95.31,99.79,85.35,98.342,98.4899,94.78,93.4199,97.3,84.65,96.2399,99.8,98.9999,99.2499,,99.7,,,
2024-01-24,99.98,95.89,95.21,99.71,87.5,98.3897,98.4013,94.9001,93.38,97.4399,84.9928,96.0336,99.57,97.9799,99.21,,99.8,,,
2024-01-25,99.98,96.09,95.35,99.83,85.8,98.41,98.48,94.88,93.33,97.499,84.6998,96.2511,99.5,98.9599,99.2215,,99.7698,,,
2024-01-26,99.98,96.87,95.3,99.96,87.49,98.4889,98.6898,94.8898,93.2997,97.14,84.8491,97.3366,99.6,97.521,99.22,,99.8002,,,
2024-01-27,99.98,96.87,95.3,99.96,87.49,98.4889,98.6898,94.8898,93.2997,97.14,84.8491,97.3366,99.6,97.521,99.22,,99.8002,,,
2024-01-28,99.98,96.87,95.3,99.96,87.49,98.4889,98.6898,94.8898,93.2997,97.14,84.8491,97.3366,99.6,97.521,99.22,,99.8002,,,
2024-01-29,99.98,96.46,95.09,99.95,85.04,98.45,98.51,94.9699,93.3998,97.3567,84.5203,96.545,99.4,97.52,99.2458,,99.7,,,
2024-01-30,99.85,96.87,95.09,99.84,85.43,98.447,98.4501,94.9797,93.2005,97.0101,84.7002,96.4964,99.4999,98.995,99.244,,99.7001,,,
2024-01-31,99.95,96.84,95.28,,86.5,98.4471,98.41,94.33,93.2,97.0158,85.0,97.749,99.5899,99.5467,99.1998,100.0,99.65,99.9769,,
2024-02-01,99.93,96.84,95.3,99.75,86.2,98.2707,98.2715,94.0001,92.8051,97.1896,85.0698,96.1651,99.4,98.997,99.0,,99.75,100.0,,
2024-02-02,99.9,,95.15,99.97,86.14,98.301,98.4199,94.5314,92.8003,97.389,84.8568,97.7485,99.5992,98.4499,99.14,,99.7499,99.89,,
2024-02-03,99.9,,95.15,99.97,86.14,98.301,98.4199,94.5314,92.8003,97.389,84.8568,97.7485,99.5992,98.4499,99.14,,99.7499,99.89,,
2024-02-04,99.9,,95.15,99.97,86.14,98.301,98.4199,94.5314,92.8003,97.389,84.8568,97.7485,99.5992,98.4499,99.14,,99.7499,99.89,,
2024-02-05,99.83,96.8,95.09,99.5,84.96,98.39,98.3,94.4499,92.8,97.3,85.05,97.7,99.8,98.9982,99.1999,,99.69,99.9,,
2024-02-06,99.86,96.75,95.46,99.25,86.17,98.3,98.3,94.2,92.85,97.5821,84.9102,96.0711,99.6897,98.7994,99.1,,99.7498,99.9548,,
2024-02-07,99.87,96.78,95.29,99.25,86.6,98.3,98.3,94.0212,92.8,97.3663,84.999,97.6533,99.6699,97.0,99.0,,99.6103,99.8,,
2024-02-08,99.87,94.31,95.29,98.96,85.98,98.3,98.3,94.0,92.71,96.8126,85.05,97.678,99.68,98.9875,98.9999,,99.74,99.41,,
2024-02-09,99.87,94.73,95.8,99.04,86.15,98.3,98.31,94.2978,92.6902,97.298,85.01,96.3006,99.6096,98.79,98.8001,,99.6162,99.6,,
