date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JVA10,RU000A0JVD25,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A105PQ7,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8,RU000A107U81
2024-01-03,,12.62,10.4,14.68,,6.36,6.98,5.63,5.79,5.75,15.81,4.51,8.96,5.35,5.38,,5.83,,,
2024-01-04,15.08,13.09,12.24,,12.62,6.16,6.78,5.66,5.79,5.61,14.35,4.51,8.91,4.56,5.38,,,,,
2024-01-05,15.08,12.66,12.41,,12.8,7.54,5.9,5.63,5.73,5.47,13.79,4.51,8.83,,5.38,,5.85,,,
2024-01-06,15.08,12.66,12.41,,12.8,7.54,5.9,5.63,5.73,5.47,13.79,4.51,8.83,,5.38,,5.85,,,
2024-01-07,15.08,12.66,12.41,,12.8,7.54,5.9,5.63,5.73,5.47,13.79,4.51,8.83,,5.38,,5.85,,,
2024-01-08,15.08,12.75,11.91,,,6.77,6.79,5.63,5.73,5.7,13.77,5.12,8.46,,5.38,,,,,
2024-01-09,15.07,,12.4,,12.87,6.8,6.96,5.63,5.75,5.66,14.72,5.24,8.86,4.56,5.38,,5.93,,,
2024-01-10,15.07,14.81,12.51,,12.11,6.65,6.68,5.58,5.8,5.83,14.44,4.56,8.93,5.24,5.38,,5.98,,,
2024-01-11,15.07,13.64,12.53,,11.85,7.01,6.73,5.57,5.8,5.79,14.01,5.8,8.7,4.6,5.39,,6.0,,,
2024-01-12,15.07,13.79,12.53,,11.53,6.97,6.87,5.48,5.79,5.74,14.08,4.75,8.54,4.64,5.38,,6.03,,,
2024-01-13,15.07,13.79,12.53,,11.53,6.97,6.87,5.48,5.79,5.74,14.08,4.75,8.54,4.64,5.38,,6.03,,,
2024-01-14,15.07,13.79,12.53,,11.53,6.97,6.87,5.48,5.79,5.74,14.08,4.75,8.54,4.64,5.38,,6.03,,,
2024-01-15,15.08,13.69,12.4,,14.45,7.6,7.03,5.45,5.81,5.99,14.07,5.45,8.53,4.63,5.37,,6.05,,,
2024-01-16,15.08,13.72,12.54,14.52,13.73,7.51,7.11,5.54,5.81,5.9,14.15,4.58,8.45,5.08,5.38,,6.08,,,
2024-01-17,15.08,13.71,12.54,,13.22,7.49,7.12,5.43,5.84,5.84,14.71,4.9,8.39,4.59,5.39,,6.1,,,
2024-01-18,15.08,13.77,12.53,,13.25,7.24,7.55,5.42,5.77,5.78,14.48,5.39,8.52,4.97,5.36,,5.92,,,
2024-01-19,15.07,13.85,12.54,,,7.49,7.15,5.42,5.81,5.79,14.33,4.56,8.47,5.03,5.38,,5.93,,,
2024-01-20,15.07,13.85,12.54,,,7.49,7.15,5.42,5.81,5.79,14.33,4.56,8.47,5.03,5.38,,5.93,,,
2024-01-21,15.07,13.85,12.54,,,7.49,7.15,5.42,5.81,5.79,14.33,4.56,8.47,5.03,5.38,,5.93,,,
2024-01-22,15.07,15.44,12.42,14.54,13.83,7.22,6.73,5.42,5.83,5.97,14.61,5.47,8.34,4.57,5.38,,5.88,,,
2024-01-23,15.07,13.9,12.43,14.75,13.82,7.35,7.04,5.5,5.84,6.11,14.77,5.45,8.43,4.57,5.39,,5.98,,,
2024-01-24,15.08,13.9,12.49,14.83,11.56,7.27,7.24,5.46,5.86,5.99,14.51,5.57,8.55,5.16,5.41,,5.93,,,
2024-01-25,15.08,13.68,12.42,14.7,13.4,7.24,7.09,5.46,5.87,5.94,14.76,5.45,8.59,4.6,5.4,,5.94,,,
2024-01-26,15.08,12.84,12.45,14.56,11.68,7.13,6.69,5.47,5.89,6.28,14.69,4.81,8.53,5.44,5.41,,5.93,,,
2024-01-27,15.08,12.84,12.45,14.56,11.68,7.13,6.69,5.47,5.89,6.28,14.69,4.81,8.53,5.44,5.41,,5.93,,,
2024-01-28,15.08,12.84,12.45,14.56,11.68,7.13,6.69,5.47,5.89,6.28,14.69,4.81,8.53,5.44,5.41,,5.93,,,
2024-01-29,15.08,13.31,12.56,14.57,14.37,7.23,7.1,5.44,5.86,6.09,14.97,5.28,8.64,5.44,5.39,,5.98,,,
2024-01-30,15.19,12.86,12.57,14.7,13.97,7.25,7.25,5.44,5.93,6.41,14.84,5.32,8.59,4.58,5.39,,5.98,,,
2024-01-31,15.12,12.9,12.47,,12.83,7.27,7.35,5.65,5.93,6.41,14.62,4.58,8.54,4.27,5.42,5.57,6.0,6.82,,
2024-02-01,15.14,12.91,12.46,14.8,13.19,7.68,7.68,5.77,6.06,6.26,14.58,5.52,8.64,4.58,5.52,,5.95,6.81,,
2024-02-02,15.15,,12.55,14.55,13.35,7.68,7.41,5.59,6.07,6.09,14.8,4.58,8.54,4.9,5.45,,5.95,6.86,,
2024-02-03,15.15,,12.55,14.55,13.35,7.68,7.41,5.59,6.07,6.09,14.8,4.58,8.54,4.9,5.45,,5.95,6.86,,
2024-02-04,15.15,,12.55,14.55,13.35,7.68,7.41,5.59,6.07,6.09,14.8,4.58,8.54,4.9,5.45,,5.95,6.86,,
2024-02-05,15.2,13.0,12.58,15.08,14.7,7.49,7.7,5.62,6.07,6.18,14.66,4.61,8.44,4.59,5.42,,5.99,6.86,,
2024-02-06,15.18,13.06,12.38,15.37,13.38,7.72,7.72,5.71,6.06,5.93,14.79,5.59,8.49,4.7,5.47,,5.96,6.83,,
2024-02-07,15.17,13.04,12.48,15.37,12.94,7.74,7.74,5.77,6.07,6.13,14.74,4.65,8.5,5.77,5.53,,6.03,6.91,,
2024-02-08,15.17,15.94,12.48,15.71,13.66,7.76,7.76,5.78,6.11,6.64,14.71,4.63,8.5,4.59,5.53,,5.96,7.1,,
2024-02-09,15.17,15.49,12.21,15.62,13.57,7.99,7.97,5.69,6.13,6.25,14.91,5.49,8.53,4.72,5.64,,6.03,7.01,,
2024-02-10,15.17,15.49,12.21,15.62,13.57,7.99,7.97,5.69,6.13,6.25,14.91,5.49,8.53,4.72,5.64,,6.03,7.01,,
2024-02-11,15.17,15.49,12.21,15.62,13.57,7.99,7.97,5.69,6.13,6.25,14.91,5.49,8.53,4.72,5.64,,6.03,7.01,,
2024-02-12,15.22,13.08,12.47,15.56,13.6,7.75,7.63,5.79,6.09,6.25,14.91,4.77,8.5,5.39,5.54,,5.96,6.98,,
2024-02-13,15.23,13.08,13.19,15.97,12.91,7.63,7.87,5.76,6.1,6.16,14.84,4.82,8.5,4.65,5.54,,5.93,6.93,,
