secid,days_present,total_days,presence_percentage,is_continuous
RU000A0JV0T3,339,340,99.70588235294117,False
RU000A0JUKX4,339,340,99.70588235294117,False
RU000A0JRJL7,339,340,99.70588235294117,False
RU000A0JUCA9,339,340,99.70588235294117,False
RU000A0JV0U1,339,340,99.70588235294117,False
RU000A0JRU20,339,340,99.70588235294117,False
RU000A0JRJB8,339,340,99.70588235294117,False
RU000A0JVCB5,339,340,99.70588235294117,False
RU000A0JU2L7,339,340,99.70588235294117,False
RU000A0JS4K9,339,340,99.70588235294117,False
RU000A0JUC92,339,340,99.70588235294117,False
RU000A0JR4U9,339,340,99.70588235294117,False
RU000A0JTYK4,339,340,99.70588235294117,False
RU000A0JUG98,339,340,99.70588235294117,False
RU000A0JUAG0,339,340,99.70588235294117,False
RU000A0JRU46,339,340,99.70588235294117,False
RU000A0JV4R9,339,340,99.70588235294117,False
RU000A0JSQ58,339,340,99.70588235294117,False
RU000A0JRZ74,339,340,99.70588235294117,False
RU000A0JS9X1,339,340,99.70588235294117,False
RU000A0JTZF1,339,340,99.70588235294117,False
RU000A0JVB19,339,340,99.70588235294117,False
RU000A0JU9K4,339,340,99.70588235294117,False
RU000A0JQAM6,339,340,99.70588235294117,False
RU000A0JTFB2,339,340,99.70588235294117,False
RU000A0JTW83,339,340,99.70588235294117,False
RU000A0JU7S1,339,340,99.70588235294117,False
KG000A3LSJ06,339,340,99.70588235294117,False
RU000A0JTU85,339,340,99.70588235294117,False
KG000A3LSC78,339,340,99.70588235294117,False
RU000A0JS4Z7,339,340,99.70588235294117,False
RU000A1037P0,339,340,99.70588235294117,False
RU000A0JUAH8,339,340,99.70588235294117,False
RU000A0JVNL1,339,340,99.70588235294117,False
RU000A0JT403,339,340,99.70588235294117,False
RU000A0ZZAL5,339,340,99.70588235294117,False
RU000A0JU0N7,339,340,99.70588235294117,False
RU000A0JTYJ6,339,340,99.70588235294117,False
RU000A0JU2K9,339,340,99.70588235294117,False
RU000A0JS4J1,339,340,99.70588235294117,False
RU000A0JUAN6,339,340,99.70588235294117,False
RU000A0JV755,339,340,99.70588235294117,False
RU000A0JT6B2,339,340,99.70588235294117,False
