secid,days_present,total_days,presence_percentage,is_continuous
KG000A3LSC78,321,469,68.44349680170576,False
KG000A3LSJ06,469,469,100.0,True
RU000A0JQ7Z2,170,469,36.247334754797436,False
RU000A0JQAM6,94,469,20.042643923240938,False
RU000A0JQRD9,343,469,73.13432835820896,False
RU000A0JR4U9,43,469,9.168443496801707,False
RU000A0JRJB8,179,469,38.16631130063966,False
RU000A0JRJL7,158,469,33.688699360341154,False
RU000A0JRU20,180,469,38.37953091684435,False
RU000A0JRU46,178,469,37.953091684434966,False
RU000A0JRZ74,143,469,30.49040511727079,False
RU000A0JS4J1,19,469,4.051172707889126,False
RU000A0JS4K9,181,469,38.59275053304904,False
RU000A0JS4L7,16,469,3.411513859275053,False
RU000A0JS4Z7,441,469,94.02985074626866,False
RU000A0JS934,72,469,15.351812366737741,False
RU000A0JSGV0,469,469,100.0,True
RU000A0JSQ58,354,469,75.47974413646055,False
RU000A0JT403,404,469,86.14072494669509,False
RU000A0JT6B2,418,469,89.12579957356077,False
RU000A0JT7T2,48,469,10.23454157782516,False
RU000A0JTB96,38,469,8.102345415778252,False
RU000A0JTFB2,12,469,2.55863539445629,False
RU000A0JTU85,456,469,97.22814498933901,False
RU000A0JTW83,3,469,0.6396588486140725,False
RU000A0JU0N7,183,469,39.01918976545842,False
RU000A0JUAG0,398,469,84.86140724946695,False
RU000A0JUAH8,469,469,100.0,True
RU000A0JUFU0,22,469,4.690831556503198,False
RU000A0JUFV8,29,469,6.183368869936034,False
RU000A0JUG98,11,469,2.345415778251599,False
RU000A0JUJG1,79,469,16.844349680170577,False
RU000A0JUKX4,101,469,21.535181236673772,False
RU000A0JUMH3,139,469,29.637526652452024,False
RU000A0JUPW5,10,469,2.1321961620469083,False
RU000A0JUQ39,165,469,35.18123667377399,False
RU000A0JUQC5,163,469,34.7547974413646,False
RU000A0JUT85,185,469,39.44562899786781,False
RU000A0JUU90,135,469,28.78464818763326,False
RU000A0JUV08,266,469,56.71641791044776,False
RU000A0JUW23,157,469,33.47547974413646,False
RU000A0JUW31,123,469,26.226012793176974,False
RU000A0JUW72,141,469,30.06396588486141,False
RU000A0JUZZ7,18,469,3.8379530916844353,False
RU000A0JV0U1,162,469,34.54157782515991,False
RU000A0JV1X3,329,469,70.1492537313433,False
RU000A0JV219,329,469,70.1492537313433,False
RU000A0JV227,5,469,1.0660980810234542,False
RU000A0JV243,5,469,1.0660980810234542,False
RU000A0JV250,5,469,1.0660980810234542,False
RU000A0JV268,5,469,1.0660980810234542,False
RU000A0JV375,340,469,72.49466950959487,False
RU000A0JV3Q3,278,469,59.27505330490405,False
RU000A0JV3R1,72,469,15.351812366737741,False
RU000A0JV805,203,469,43.28358208955223,False
RU000A0JV8D0,98,469,20.8955223880597,False
RU000A0JV8G3,90,469,19.189765458422176,False
RU000A0JV987,20,469,4.264392324093817,False
RU000A0JV9D8,133,469,28.35820895522388,False
RU000A0JV9H9,96,469,20.46908315565032,False
RU000A0JVA10,427,469,91.04477611940298,False
RU000A0JVA77,21,469,4.477611940298507,False
RU000A0JVBX1,50,469,10.660980810234541,False
RU000A0JVD25,398,469,84.86140724946695,False
RU000A0JVE65,1,469,0.21321961620469082,False
RU000A0JVFC6,251,469,53.5181236673774,False
RU000A0JVHH1,258,469,55.010660980810236,False
RU000A0JVM81,302,469,64.39232409381663,False
RU000A0JVN56,22,469,4.690831556503198,False
RU000A0JVS36,2,469,0.42643923240938164,False
RU000A0JVT43,8,469,1.7057569296375266,False
RU000A0JVUK8,198,469,42.217484008528785,False
RU000A0JVUP7,18,469,3.8379530916844353,False
RU000A0JVUS1,2,469,0.42643923240938164,False
RU000A0JVUY9,4,469,0.8528784648187633,False
RU000A0JVW71,131,469,27.931769722814497,False
RU000A0JVWB3,128,469,27.292110874200425,False
RU000A0JVWD9,138,469,29.42430703624733,False
RU000A0JVWJ6,138,469,29.42430703624733,False
RU000A0JVXS5,15,469,3.1982942430703627,False
RU000A0JVYG8,75,469,15.991471215351813,False
RU000A0JVZB6,10,469,2.1321961620469083,False
RU000A0JW0S4,75,469,15.991471215351813,False
RU000A0JW1P8,70,469,14.925373134328357,False
RU000A0JW5E3,54,469,11.513859275053305,False
RU000A0JWBP5,30,469,6.396588486140725,False
RU000A0JWC82,9,469,1.9189765458422177,False
RU000A0JX2M2,75,469,15.991471215351813,False
RU000A0NRCJ8,19,469,4.051172707889126,False
RU000A0ZYWZ2,3,469,0.6396588486140725,False
RU000A0ZZY59,150,469,31.982942430703627,False
RU000A102K96,148,469,31.556503198294244,False
RU000A103FY7,110,469,23.454157782515992,False
RU000A1040E8,162,469,34.54157782515991,False
RU000A105104,469,469,100.0,True
RU000A105112,469,469,100.0,True
RU000A105146,149,469,31.769722814498934,False
RU000A1054W1,469,469,100.0,True
RU000A1056U0,149,469,31.769722814498934,False
RU000A1057A0,250,469,53.304904051172706,False
RU000A1057B8,3,469,0.6396588486140725,False
RU000A1057D4,469,469,100.0,True
RU000A1057S2,468,469,99.7867803837953,False
RU000A1059A6,35,469,7.462686567164178,False
RU000A105A95,137,469,29.21108742004264,False
RU000A105BY1,84,469,17.91044776119403,False
RU000A105C44,468,469,99.7867803837953,False
RU000A105C51,84,469,17.91044776119403,False
RU000A105EV1,274,469,58.42217484008528,False
RU000A105EW9,469,469,100.0,True
RU000A105GS2,315,469,67.16417910447761,False
RU000A105M75,449,469,95.73560767590618,False
RU000A105ML5,207,469,44.136460554371006,False
RU000A105N25,469,469,100.0,True
RU000A105NH1,352,469,75.05330490405117,False
RU000A105NL3,294,469,62.68656716417911,False
RU000A105PQ7,418,469,89.12579957356077,False
RU000A105ZC6,373,469,79.53091684434968,False
RU000A1060Q0,469,469,100.0,True
RU000A1061L9,453,469,96.58848614072495,False
RU000A1063Z5,352,469,75.05330490405117,False
RU000A1071S3,465,469,99.14712153518124,False
RU000A1076U8,469,469,100.0,True
RU000A107RH8,434,469,92.53731343283582,False
RU000A107U81,419,469,89.33901918976545,False
RU000A1080Z9,398,469,84.86140724946695,False
RU000A1083N9,1,469,0.21321961620469082,False
RU000A1087C3,358,469,76.33262260127933,False
RU000A1089K2,369,469,78.67803837953092,False
RU000A108FX8,330,469,70.36247334754798,False
RU000A108JH3,327,469,69.7228144989339,False
RU000A108NS2,309,469,65.88486140724946,False
RU000A108PZ2,303,469,64.60554371002132,False
RU000A10B0C8,20,469,4.264392324093817,False
RU000A10B7E9,8,469,1.7057569296375266,False
XS0559915961,136,469,28.997867803837952,False
XS2010043656,5,469,1.0660980810234542,False
XS2010044548,2,469,0.42643923240938164,False
XS2063279959,145,469,30.916844349680172,False
XS2069992258,126,469,26.865671641791046,False
XS2116222451,26,469,5.543710021321962,False
