secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-01-03,96.2,98.0,94.53,98.38,96.76,829,802141.6,12.2,11.56,2025-01-16,11.9,,35.92,7.85,39.14,1000.0,RUB,58,2024-01-03
RU000A0JRJB8,TQCB,ЗСД 01,2024-01-03,97.51,107.01,97.51,107.01,97.95,25,24487.7,11.24,11.14,2031-05-13,63.57,,12.3,10.44,52.06,1000.0,RUB,58,2024-01-03
RU000A0JRU20,TQCB,СЗКК 03,2024-01-03,99.74,99.5,99.5,99.74,99.62,2,1474.38,9.33,9.85,2031-09-26,3.07,,14.71,8.15,30.07,740.0,RUB,58,2024-01-03
RU000A0JRU46,TQCB,СЗКК 04,2024-01-03,99.89,97.5,97.5,99.9,99.27,4,2938.47,8.69,11.36,2031-09-26,3.07,,14.71,8.15,30.07,740.0,RUB,58,2024-01-03
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-01-03,96.89,96.6,96.6,96.89,96.87,13,12592.8,12.62,12.64,2032-02-17,13.13,,32.29,9.28,46.27,1000.0,RUB,58,2024-01-03
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-01-03,99.26,95.21,95.0,100.13,97.26,293,284986.1,10.4,11.4,2032-06-25,26.3,,48.33,9.8,48.87,1000.0,RUB,58,2024-01-03
RU000A0JSQ58,TQCB,ФСК РС-22,2024-01-03,99.98,99.98,99.98,99.98,99.98,12,11997.6,9.38,9.38,2027-07-21,6.47,2024-07-31,40.36,9.15,45.62,1000.0,RUB,58,2024-01-03
RU000A0JT403,TQCB,ВЭБ.РФ 18,2024-01-03,96.42,96.46,94.2,96.46,96.44,215,207345.8,13.33,13.3,2032-09-17,8.67,2024-10-01,20.17,7.67,38.24,1000.0,RUB,58,2024-01-03
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2024-01-03,99.0,99.0,97.59,99.0,98.65,4,3945.8,11.89,13.46,2032-09-23,3.03,2024-04-08,18.44,7.48,37.3,1000.0,RUB,58,2024-01-03
RU000A0JTU85,TQCB,РЖД-28 обл,2024-01-03,98.26,98.71,97.21,98.71,97.84,82,80224.7,15.37,17.55,2028-03-21,2.73,2024-03-29,18.44,6.8,33.91,1000.0,RUB,58,2024-01-03
RU000A0JU0N7,TQCB,БМБанкБ02,2024-01-03,83.46,76.54,76.54,83.46,81.13,3,2434.0,11.07,12.91,2025-09-24,20.97,,0.03,0.01,0.05,1000.0,RUB,58,2024-01-03
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-01-03,97.12,94.98,94.98,97.64,97.03,170,164945.1,10.59,10.71,2028-11-07,10.23,2024-11-15,9.25,6.75,33.66,1000.0,RUB,58,2024-01-03
RU000A0JUFV8,TQCB,РоснефтьБ7,2024-01-03,99.63,99.99,99.62,99.99,99.63,2741,2730869.0,13.95,13.95,2024-02-06,1.1,,38.52,9.5,47.37,1000.0,RUB,58,2024-01-03
RU000A0JUMH3,TQCB,ГПБ БО-08,2024-01-03,98.88,99.23,98.0,99.23,98.58,482,475133.6,9.89,10.76,2024-05-23,4.67,,7.47,6.65,33.16,1000.0,RUB,58,2024-01-03
RU000A0JUQ39,TQCB,ГПБ БО-09,2024-01-03,98.99,98.99,98.99,98.99,98.99,1,989.9,7.99,7.99,2024-06-27,5.83,,1.08,5.65,28.33,1000.0,RUB,58,2024-01-03
RU000A0JUV08,TQCB,ГПБ БО-10,2024-01-03,98.0,97.99,97.6,98.0,97.87,669,654746.0,11.34,11.55,2024-09-26,8.63,,22.11,8.15,40.64,1000.0,RUB,58,2024-01-03
RU000A0JUW31,TQCB,РСХБ БО13,2024-01-03,99.5,98.8,97.79,101.98,98.94,6,5936.5,12.24,13.14,2024-09-27,8.67,,1.51,11.0,27.42,1000.0,RUB,58,2024-01-03
RU000A0JV1X3,TQCB,РоснфтБО3,2024-01-03,98.01,97.3,97.19,100.61,98.88,86,85037.0,12.11,11.0,2024-11-28,10.7,,8.76,9.4,46.87,1000.0,RUB,58,2024-01-03
RU000A0JV219,TQCB,РоснфтБО9,2024-01-03,97.15,98.45,97.15,99.5,97.84,155,151654.9,13.23,12.33,2024-11-28,10.7,,8.76,9.4,46.87,1000.0,RUB,58,2024-01-03
RU000A0JV375,TQCB,ГТЛК БО-03,2024-01-03,98.2,97.8,97.6,98.2,98.06,29,28436.0,13.08,13.26,2024-12-10,10.9,,6.28,10.42,25.98,1000.0,RUB,58,2024-01-03
RU000A0JV8D0,TQCB,ВЭБлизБ04,2024-01-03,97.78,97.78,97.78,97.78,97.78,1,977.8,2.21,2.21,2025-01-31,13.1,,0.42,0.1,0.5,1000.0,RUB,58,2024-01-03
RU000A0JV9D8,TQCB,ВЭБлизБ06,2024-01-03,99.99,91.04,91.04,99.99,99.46,17,16908.8,8.06,8.58,2025-02-18,13.0,,29.04,7.91,39.44,1000.0,RUB,58,2024-01-03
RU000A0JVA10,TQCB,ГТЛК БО-04,2024-01-03,99.85,99.94,99.31,100.19,99.74,655,653299.4,14.68,14.79,2025-03-06,13.27,,10.21,13.8,34.41,1000.0,RUB,58,2024-01-03
