secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
KG000A3LSC78,TQCB,Кыргыз. 01,2024-01-03,110.0,100.0,100.0,110.0,109.434,106,11678.88,10.09,10.41,2025-12-25,21.23,,0.344444,15.5,3.88,100.0,KGS,58,2024-01-03
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-01-03,100.01,109.98,99.99,109.98,100.17,29709,2975922.99,15.07,14.97,2025-12-26,21.3,,0.2819,14.5,3.63,100.0,RUB,58,2024-01-03
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2024-01-03,105.8,,,,,0,0.0,,,2028-09-15,2.37,,43.7,14.5,72.3,1000.0,RUB,58,2024-01-03
RU000A0JR4U9,TQCB,ГлДорога 3,2024-01-03,94.0,,,,,0,0.0,,,2028-10-30,,,3.97,4.0,24.93,625.0,RUB,58,2024-01-03
RU000A0JRJB8,TQCB,ЗСД 01,2024-01-03,97.51,107.01,97.51,107.01,97.95,25,24487.7,11.24,11.14,2031-05-13,63.57,,12.3,10.44,52.06,1000.0,RUB,58,2024-01-03
RU000A0JRJL7,TQCB,ЗСД 02,2024-01-03,135.06,135.06,135.06,135.06,135.06,1,1350.6,4.8,4.8,2031-05-13,67.87,,12.3,10.44,52.06,1000.0,RUB,58,2024-01-03
RU000A0JRU20,TQCB,СЗКК 03,2024-01-03,99.74,99.5,99.5,99.74,99.62,2,1474.38,9.33,9.85,2031-09-26,3.07,,14.71,8.15,30.07,740.0,RUB,58,2024-01-03
RU000A0JRU46,TQCB,СЗКК 04,2024-01-03,99.89,97.5,97.5,99.9,99.27,4,2938.47,8.69,11.36,2031-09-26,3.07,,14.71,8.15,30.07,740.0,RUB,58,2024-01-03
RU000A0JRZ74,TQCB,БМБанкБ03,2024-01-03,84.63,,,,,0,0.0,,,2025-07-16,18.23,,0.05,0.01,0.05,1000.0,RUB,58,2024-01-03
RU000A0JS4J1,TQCB,ЗСД 03,2024-01-03,114.0,,,,,0,0.0,,,2032-02-06,,,37.2,9.84,49.07,1000.0,RUB,58,2024-01-03
RU000A0JS4K9,TQCB,ЗСД 04,2024-01-03,107.51,,,,,0,0.0,,,2032-02-06,,,37.2,9.84,49.07,1000.0,RUB,58,2024-01-03
RU000A0JS4L7,TQCB,ЗСД 05,2024-01-03,115.04,115.04,115.04,115.04,115.04,1,1150.4,7.48,7.48,2032-02-06,70.0,,37.2,9.84,49.07,1000.0,RUB,58,2024-01-03
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-01-03,96.89,96.6,96.6,96.89,96.87,13,12592.8,12.62,12.64,2032-02-17,13.13,,32.29,9.28,46.27,1000.0,RUB,58,2024-01-03
RU000A0JS9X1,TQIR,СитиматНН,2024-01-03,,,,,,0,0.0,,,2036-12-20,,,84.12,11.5,115.0,1000.0,RUB,58,2024-01-03
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-01-03,99.26,95.21,95.0,100.13,97.26,293,284986.1,10.4,11.4,2032-06-25,26.3,,48.33,9.8,48.87,1000.0,RUB,58,2024-01-03
RU000A0JSQ58,TQCB,ФСК РС-22,2024-01-03,99.98,99.98,99.98,99.98,99.98,12,11997.6,9.38,9.38,2027-07-21,6.47,2024-07-31,40.36,9.15,45.62,1000.0,RUB,58,2024-01-03
RU000A0JT403,TQCB,ВЭБ.РФ 18,2024-01-03,96.42,96.46,94.2,96.46,96.44,215,207345.8,13.33,13.3,2032-09-17,8.67,2024-10-01,20.17,7.67,38.24,1000.0,RUB,58,2024-01-03
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2024-01-03,99.0,99.0,97.59,99.0,98.65,4,3945.8,11.89,13.46,2032-09-23,3.03,2024-04-08,18.44,7.48,37.3,1000.0,RUB,58,2024-01-03
RU000A0JTB96,TQCB,ГлДорога 7,2024-01-03,94.49,,,,,0,0.0,,,2029-10-30,10.2,,4.68,4.0,29.92,750.0,RUB,58,2024-01-03
RU000A0JTFB2,TQCB,ГлДорога 6,2024-01-03,89.0,,,,,0,0.0,,,2028-11-22,,,2.4,4.0,24.93,625.0,RUB,58,2024-01-03
RU000A0JTU85,TQCB,РЖД-28 обл,2024-01-03,98.26,98.71,97.21,98.71,97.84,82,80224.7,15.37,17.55,2028-03-21,2.73,2024-03-29,18.44,6.8,33.91,1000.0,RUB,58,2024-01-03
RU000A0JTW83,TQCB,ДОМ.РФ25об,2024-01-03,101.99,,,,,0,0.0,,,2026-10-01,,2024-04-03,0.71,16.1,32.11,800.0,RUB,58,2024-01-03
RU000A0JTYJ6,TQCB,ФСК РС-23,2024-01-03,,,,,,0,0.0,,,2048-04-27,,,7.8,7.69,19.17,1000.0,RUB,58,2024-01-03
RU000A0JTYK4,TQCB,ФСК РС-28,2024-01-03,,,,,,0,0.0,,,2048-04-27,,,7.8,7.69,19.17,1000.0,RUB,58,2024-01-03
RU000A0JTZF1,TQCB,ДОМ.РФ26об,2024-01-03,116.05,,,,,0,0.0,,,2029-11-01,,2024-02-05,24.68,14.3,36.04,1000.0,RUB,58,2024-01-03
RU000A0JU0N7,TQCB,БМБанкБ02,2024-01-03,83.46,76.54,76.54,83.46,81.13,3,2434.0,11.07,12.91,2025-09-24,20.97,,0.03,0.01,0.05,1000.0,RUB,58,2024-01-03
RU000A0JU2K9,TQCB,ФСК РС-26,2024-01-03,,,,,,0,0.0,,,2048-06-30,,2047-07-09,12.27,7.0,17.45,1000.0,RUB,58,2024-01-03
RU000A0JU2L7,TQCB,ФСК РС-27,2024-01-03,,,,,,0,0.0,,,2048-06-30,,2047-07-09,12.27,7.0,17.45,1000.0,RUB,58,2024-01-03
RU000A0JU7S1,TQCB,ФСК РС-29,2024-01-03,,,,,,0,0.0,,,2048-09-07,,,14.49,6.15,15.33,1000.0,RUB,58,2024-01-03
RU000A0JU9K4,TQIR,Ситимат01,2024-01-03,98.9,,,,,0,0.0,,,2036-12-20,,,75.93,11.5,115.0,1000.0,RUB,58,2024-01-03
RU000A0JUAG0,TQIR,РСГ-ФинБ01,2024-01-03,100.34,100.12,100.12,100.34,100.23,2,2004.6,14.85,15.2,2025-11-11,4.37,2024-05-16,21.23,15.5,77.29,1000.0,RUB,58,2024-01-03
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-01-03,97.12,94.98,94.98,97.64,97.03,170,164945.1,10.59,10.71,2028-11-07,10.23,2024-11-15,9.25,6.75,33.66,1000.0,RUB,58,2024-01-03
RU000A0JUAN6,TQCB,ГазпромБ19,2024-01-03,,,,,,0,0.0,,,2043-10-21,,,9.4,7.0,34.9,1000.0,RUB,58,2024-01-03
RU000A0JUAP1,TQCB,ГазпромБ20,2024-01-03,,,,,,0,0.0,,,2043-10-21,,,9.4,7.0,34.9,1000.0,RUB,58,2024-01-03
RU000A0JUC92,TQCB,ФСК РС-30,2024-01-03,,,,,,0,0.0,,,2048-10-30,,2046-11-12,6.95,7.69,19.17,1000.0,RUB,58,2024-01-03
RU000A0JUCA9,TQCB,ФСК РС-34,2024-01-03,,,,,,0,0.0,,,2048-10-30,,2047-11-11,6.95,7.69,19.17,1000.0,RUB,58,2024-01-03
RU000A0JUG98,TQCB,МежИнБанк4,2024-01-03,70.0,,,,,0,0.0,,,2025-11-06,,,0.02,0.01,0.05,1000.0,RUB,58,2024-01-03
RU000A0JUKX4,TQCB,ДОМ.РФ30об,2024-01-03,101.6,101.6,101.6,101.6,101.6,1,1016.0,0.26,0.26,2033-03-01,1.9,2024-03-05,9.5,10.51,26.2,1000.0,RUB,58,2024-01-03
RU000A0JUT85,TQCB,ПЕРЕСВЕТБ2,2024-01-03,38.38,,,,,0,0.0,,,2034-08-04,,,33.56,0.51,87.58,1000.0,RUB,58,2024-01-03
RU000A0JV0T3,TQIR,Ситимат02,2024-01-03,98.5,,,,,0,0.0,,,2036-12-20,,,15.37,16.0,45.6,285.0,RUB,58,2024-01-03
RU000A0JV0U1,TQCB,АльфаБО-15,2024-01-03,102.17,,,,,0,0.0,,,2029-11-13,4.6,,10.43,8.85,44.13,1000.0,RUB,58,2024-01-03
RU000A0JV4R9,TQCB,ДОМ.РФ31об,2024-01-03,100.0,,,,,0,0.0,,,2034-02-01,,2024-02-05,35.67,8.4,42.35,1000.0,RUB,58,2024-01-03
RU000A0JV755,TQCB,АИЖК14-2А3,2024-01-03,125.23,,,,,0,0.0,,,2047-06-13,,,1.3,10.5,5.61,214.4,RUB,58,2024-01-03
RU000A0JVB19,TQCB,РЖД-33 обл,2024-01-03,,,,,,0,0.0,,,2040-02-28,,,37.58,12.94,64.52,1000.0,RUB,58,2024-01-03
RU000A0JVB27,TQCB,РЖД-34 обл,2024-01-03,,,,,,0,0.0,,,2040-02-28,,,37.58,12.94,64.52,1000.0,RUB,58,2024-01-03
RU000A0JVCB5,TQCB,ФСК РС-37,2024-01-03,,,,,,0,0.0,,,2050-03-23,,2045-04-05,13.42,7.0,17.45,1000.0,RUB,58,2024-01-03
RU000A0JVNL1,TQOD,ВЭБUSD1P-1,2024-01-03,99.85,,,,,0,0.0,,,2025-07-17,,,14.14,3.09,15.41,1000.0,USD,193,2024-01-03
RU000A0ZZAL5,TQOD,ГТЛК 1P-11,2024-01-03,98.3,,,,,0,0.0,,,2033-06-03,,2024-06-19,0.05,0.1,0.25,1000.0,USD,193,2024-01-03
RU000A1037P0,TQOD,Экспо02ВК,2024-01-03,100.0,,,,,0,0.0,,,,,,893.84,7.5,5609.59,150000.0,USD,193,2024-01-03
KG000A3LSC78,TQCB,Кыргыз. 01,2024-01-04,110.0,,,,,0,0.0,,,2025-12-25,,,0.3875,15.5,3.88,100.0,KGS,58,2024-01-04
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-01-04,99.99,101.12,99.99,101.12,100.02,14820,1482366.48,15.08,15.07,2025-12-26,21.27,,0.3222,14.5,3.63,100.0,RUB,58,2024-01-04
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2024-01-04,105.8,,,,,0,0.0,,,2028-09-15,2.33,,44.1,14.5,72.3,1000.0,RUB,58,2024-01-04
RU000A0JR4U9,TQCB,ГлДорога 3,2024-01-04,94.0,,,,,0,0.0,,,2028-10-30,,,4.04,4.0,24.93,625.0,RUB,58,2024-01-04
RU000A0JRJB8,TQCB,ЗСД 01,2024-01-04,96.0,97.1,96.0,97.1,96.97,47,45576.2,11.57,11.35,2031-05-13,63.4,,12.59,10.44,52.06,1000.0,RUB,58,2024-01-04
RU000A0JRJL7,TQCB,ЗСД 02,2024-01-04,135.06,,,,,0,0.0,,,2031-05-13,,,12.59,10.44,52.06,1000.0,RUB,58,2024-01-04
RU000A0JRU20,TQCB,СЗКК 03,2024-01-04,99.74,,,,,0,0.0,,,2031-09-26,3.03,,14.87,8.15,30.07,740.0,RUB,58,2024-01-04
RU000A0JRU46,TQCB,СЗКК 04,2024-01-04,99.89,,,,,0,0.0,,,2031-09-26,3.03,,14.87,8.15,30.07,740.0,RUB,58,2024-01-04
RU000A0JRZ74,TQCB,БМБанкБ03,2024-01-04,84.63,,,,,0,0.0,,,2025-07-16,18.23,,0.05,0.01,0.05,1000.0,RUB,58,2024-01-04
RU000A0JS4J1,TQCB,ЗСД 03,2024-01-04,114.0,,,,,0,0.0,,,2032-02-06,,,37.47,9.84,49.07,1000.0,RUB,58,2024-01-04
RU000A0JS4K9,TQCB,ЗСД 04,2024-01-04,107.51,,,,,0,0.0,,,2032-02-06,,,37.47,9.84,49.07,1000.0,RUB,58,2024-01-04
RU000A0JS4L7,TQCB,ЗСД 05,2024-01-04,115.04,,,,,0,0.0,,,2032-02-06,,,37.47,9.84,49.07,1000.0,RUB,58,2024-01-04
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-01-04,96.45,96.45,96.45,96.45,96.45,113,108988.5,13.09,13.09,2032-02-17,13.1,,32.54,9.28,46.27,1000.0,RUB,58,2024-01-04
RU000A0JS9X1,TQIR,СитиматНН,2024-01-04,,,,,,0,0.0,,,2036-12-20,,,84.44,11.5,115.0,1000.0,RUB,58,2024-01-04
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-01-04,95.61,97.93,95.61,97.93,96.65,132,127575.4,12.24,11.71,2032-06-25,27.57,,48.6,9.8,48.87,1000.0,RUB,58,2024-01-04
RU000A0JSQ58,TQCB,ФСК РС-22,2024-01-04,99.98,,,,,0,0.0,,,2027-07-21,6.43,2024-07-31,40.61,9.15,45.62,1000.0,RUB,58,2024-01-04
RU000A0JT403,TQCB,ВЭБ.РФ 18,2024-01-04,96.36,96.43,94.0,96.43,95.33,12,11439.8,13.45,15.14,2032-09-17,8.63,2024-10-01,20.38,7.67,38.24,1000.0,RUB,58,2024-01-04
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2024-01-04,98.97,98.0,96.64,98.97,98.81,110,108691.4,12.07,12.8,2032-09-23,3.0,2024-04-08,18.65,7.48,37.3,1000.0,RUB,58,2024-01-04
RU000A0JTB96,TQCB,ГлДорога 7,2024-01-04,94.49,,,,,0,0.0,,,2029-10-30,10.17,,4.77,4.0,29.92,750.0,RUB,58,2024-01-04
RU000A0JTFB2,TQCB,ГлДорога 6,2024-01-04,89.0,,,,,0,0.0,,,2028-11-22,,,2.47,4.0,24.93,625.0,RUB,58,2024-01-04
RU000A0JTU85,TQCB,РЖД-28 обл,2024-01-04,98.53,98.53,98.53,98.53,98.53,22,21676.6,14.08,14.08,2028-03-21,2.7,2024-03-29,18.63,6.8,33.91,1000.0,RUB,58,2024-01-04
RU000A0JTW83,TQCB,ДОМ.РФ25об,2024-01-04,101.99,,,,,0,0.0,,,2026-10-01,,2024-04-03,1.06,16.1,32.11,800.0,RUB,58,2024-01-04
RU000A0JTYJ6,TQCB,ФСК РС-23,2024-01-04,,,,,,0,0.0,,,2048-04-27,,,8.01,7.69,19.17,1000.0,RUB,58,2024-01-04
