date,secid,price,yield
2024-01-03,RU000A0JV0T3,98.5,
2024-01-03,RU000A0JUKX4,101.6,0.26
2024-01-03,RU000A0JRJL7,135.06,4.8
2024-01-03,RU000A0JV0U1,102.17,
2024-01-03,RU000A0JRU20,99.74,9.33
2024-01-03,RU000A0JRJB8,97.51,11.24
2024-01-03,RU000A0JS4K9,107.51,
2024-01-03,RU000A0JR4U9,94.0,
2024-01-03,RU000A0JUG98,70.0,
2024-01-03,RU000A0JUAG0,100.34,14.85
2024-01-03,RU000A0JRU46,99.89,8.69
2024-01-03,RU000A0JV4R9,100.0,
2024-01-03,RU000A0JSQ58,99.98,9.38
2024-01-03,RU000A0JRZ74,84.63,
2024-01-03,RU000A0JTZF1,116.05,
2024-01-03,RU000A0JU9K4,98.9,
2024-01-03,RU000A0JQAM6,105.8,
2024-01-03,RU000A0JTFB2,89.0,
2024-01-03,RU000A0JTW83,101.99,
2024-01-03,KG000A3LSJ06,100.01,15.07
2024-01-03,RU000A0JTU85,98.26,15.37
2024-01-03,KG000A3LSC78,110.0,10.09
2024-01-03,RU000A0JS4Z7,96.89,12.62
2024-01-03,RU000A1037P0,100.0,
2024-01-03,RU000A0JUAH8,97.12,10.59
2024-01-03,RU000A0JVNL1,99.85,
2024-01-03,RU000A0JT403,96.42,13.33
2024-01-03,RU000A0ZZAL5,98.3,
2024-01-03,RU000A0JU0N7,83.46,11.07
2024-01-03,RU000A0JS4J1,114.0,
2024-01-03,RU000A0JV755,125.23,
2024-01-03,RU000A0JT6B2,99.0,11.89
2024-01-03,RU000A0JTB96,94.49,
2024-01-03,RU000A0JSGV0,99.26,10.4
2024-01-03,RU000A0JUT85,38.38,
2024-01-03,RU000A0JS4L7,115.04,7.48
2024-01-04,RU000A0JV0T3,98.5,
2024-01-04,RU000A0JUKX4,101.6,0.26
2024-01-04,RU000A0JRJL7,135.06,4.8
2024-01-04,RU000A0JV0U1,102.17,
2024-01-04,RU000A0JRU20,99.74,9.33
2024-01-04,RU000A0JRJB8,96.0,11.57
2024-01-04,RU000A0JS4K9,107.51,
2024-01-04,RU000A0JR4U9,94.0,
2024-01-04,RU000A0JUG98,70.0,
2024-01-04,RU000A0JUAG0,100.34,14.85
2024-01-04,RU000A0JRU46,99.89,8.69
2024-01-04,RU000A0JV4R9,100.0,
2024-01-04,RU000A0JSQ58,99.98,9.38
2024-01-04,RU000A0JRZ74,84.63,
2024-01-04,RU000A0JTZF1,116.05,
2024-01-04,RU000A0JU9K4,98.9,
2024-01-04,RU000A0JQAM6,105.8,
2024-01-04,RU000A0JTFB2,89.0,
2024-01-04,RU000A0JTW83,101.99,
2024-01-04,KG000A3LSJ06,99.99,15.08
2024-01-04,RU000A0JTU85,98.53,14.08
2024-01-04,KG000A3LSC78,110.0,10.09
2024-01-04,RU000A0JS4Z7,96.45,13.09
2024-01-04,RU000A1037P0,100.0,
2024-01-04,RU000A0JUAH8,96.41,11.57
2024-01-04,RU000A0JVNL1,99.85,
2024-01-04,RU000A0JT403,96.36,13.45
2024-01-04,RU000A0ZZAL5,98.3,
2024-01-04,RU000A0JU0N7,83.5,11.06
2024-01-04,RU000A0JS4J1,114.0,
2024-01-04,RU000A0JV755,125.23,
2024-01-04,RU000A0JT6B2,98.97,12.07
2024-01-04,RU000A0JTB96,94.49,
2024-01-04,RU000A0JSGV0,95.61,12.24
2024-01-04,RU000A0JUT85,38.38,
2024-01-04,RU000A0JS4L7,115.04,7.48
2024-01-05,RU000A0JV0T3,98.5,
2024-01-05,RU000A0JUKX4,101.6,0.26
2024-01-05,RU000A0JRJL7,135.06,4.8
2024-01-05,RU000A0JV0U1,97.73,15.94
2024-01-05,RU000A0JRU20,99.95,8.45
2024-01-05,RU000A0JRJB8,97.19,11.31
2024-01-05,RU000A0JS4K9,107.51,
2024-01-05,RU000A0JR4U9,94.0,
2024-01-05,RU000A0JUG98,70.0,
2024-01-05,RU000A0JUAG0,100.99,12.74
2024-01-05,RU000A0JRU46,99.89,8.69
2024-01-05,RU000A0JV4R9,100.0,
2024-01-05,RU000A0JSQ58,99.98,9.38
2024-01-05,RU000A0JRZ74,84.63,
2024-01-05,RU000A0JTZF1,116.05,
2024-01-05,RU000A0JU9K4,98.9,
2024-01-05,RU000A0JQAM6,105.8,
2024-01-05,RU000A0JTFB2,89.0,
2024-01-05,RU000A0JTW83,101.99,
2024-01-05,KG000A3LSJ06,100.0,15.08
2024-01-05,RU000A0JTU85,98.71,13.41
2024-01-05,KG000A3LSC78,110.0,10.09
2024-01-05,RU000A0JS4Z7,96.88,12.66
2024-01-05,RU000A1037P0,100.0,
2024-01-05,RU000A0JUAH8,96.2,11.9
2024-01-05,RU000A0JVNL1,99.85,
2024-01-05,RU000A0JT403,96.36,13.45
2024-01-05,RU000A0ZZAL5,98.3,
2024-01-05,RU000A0JU0N7,83.49,11.06
2024-01-05,RU000A0JS4J1,114.0,
2024-01-05,RU000A0JV755,125.23,
2024-01-05,RU000A0JT6B2,98.96,12.07
2024-01-05,RU000A0JTB96,94.49,
2024-01-05,RU000A0JSGV0,95.3,12.41
2024-01-05,RU000A0JUT85,27.0,12.82
2024-01-05,RU000A0JS4L7,115.04,7.48
2024-01-08,RU000A0JV0T3,98.5,
2024-01-08,RU000A0JUKX4,101.6,-0.7
2024-01-08,RU000A0JRJL7,135.06,4.79
2024-01-08,RU000A0JV0U1,99.96,15.94
2024-01-08,RU000A0JRU20,99.95,8.45
2024-01-08,RU000A0JRJB8,106.57,9.4
2024-01-08,RU000A0JS4K9,107.51,
2024-01-08,RU000A0JR4U9,94.0,
2024-01-08,RU000A0JUG98,70.0,
2024-01-08,RU000A0JUAG0,100.58,14.02
2024-01-08,RU000A0JRU46,99.89,8.69
2024-01-08,RU000A0JV4R9,100.0,
2024-01-08,RU000A0JSQ58,98.14,13.21
2024-01-08,RU000A0JRZ74,84.63,
2024-01-08,RU000A0JTZF1,116.05,
2024-01-08,RU000A0JU9K4,98.9,
2024-01-08,RU000A0JQAM6,105.8,
2024-01-08,RU000A0JTFB2,89.0,
2024-01-08,RU000A0JTW83,101.99,
2024-01-08,KG000A3LSJ06,100.0,15.08
2024-01-08,RU000A0JTU85,98.62,13.98
2024-01-08,KG000A3LSC78,101.0,15.52
2024-01-08,RU000A0JS4Z7,96.8,12.75
2024-01-08,RU000A1037P0,100.0,
2024-01-08,RU000A0JUAH8,96.84,11.03
2024-01-08,RU000A0JVNL1,99.85,
2024-01-08,RU000A0JT403,96.35,13.55
2024-01-08,RU000A0ZZAL5,98.3,
2024-01-08,RU000A0JU0N7,83.49,11.06
2024-01-08,RU000A0JS4J1,114.0,
2024-01-08,RU000A0JV755,125.23,
2024-01-08,RU000A0JT6B2,99.24,11.02
2024-01-08,RU000A0JTB96,94.49,
2024-01-08,RU000A0JSGV0,96.26,11.91
2024-01-08,RU000A0JUT85,27.0,12.82
2024-01-08,RU000A0JS4L7,115.04,7.48
2024-01-09,RU000A0JV0T3,98.5,
2024-01-09,RU000A0JUKX4,101.6,-0.7
2024-01-09,RU000A0JRJL7,127.01,5.95
2024-01-09,RU000A0JV0U1,102.21,2.67
2024-01-09,RU000A0JRU20,99.95,8.45
2024-01-09,RU000A0JRJB8,97.1,11.33
2024-01-09,RU000A0JS4K9,107.51,
2024-01-09,RU000A0JR4U9,94.0,
2024-01-09,RU000A0JUG98,70.0,
2024-01-09,RU000A0JUAG0,101.0,12.66
2024-01-09,RU000A0JRU46,93.5,43.06
2024-01-09,RU000A0JV4R9,100.0,
2024-01-09,RU000A0JSQ58,97.01,15.7
2024-01-09,RU000A0JRZ74,84.63,
2024-01-09,RU000A0JTZF1,116.05,
2024-01-09,RU000A0JU9K4,98.9,
2024-01-09,RU000A0JQAM6,105.8,
2024-01-09,RU000A0JTFB2,89.0,
2024-01-09,RU000A0JTW83,101.99,
2024-01-09,KG000A3LSJ06,100.0,15.07
2024-01-09,RU000A0JTU85,98.38,15.39
2024-01-09,KG000A3LSC78,109.95,10.07
2024-01-09,RU000A0JS4Z7,96.8,12.75
2024-01-09,RU000A1037P0,100.0,
2024-01-09,RU000A0JUAH8,94.98,13.66
2024-01-09,RU000A0JVNL1,99.85,
2024-01-09,RU000A0JT403,96.2,13.82
2024-01-09,RU000A0ZZAL5,98.3,
2024-01-09,RU000A0JU0N7,83.49,11.06
2024-01-09,RU000A0JS4J1,114.0,
2024-01-09,RU000A0JV755,125.23,
2024-01-09,RU000A0JT6B2,99.24,11.02
2024-01-09,RU000A0JTB96,94.49,
2024-01-09,RU000A0JSGV0,95.32,12.4
2024-01-09,RU000A0JUT85,37.94,9.59
2024-01-09,RU000A0JS4L7,115.04,7.48
2024-01-10,RU000A0JV0T3,98.5,
2024-01-10,RU000A0JUKX4,101.6,-1.14
2024-01-10,RU000A0JRJL7,134.99,4.8
2024-01-10,RU000A0JV0U1,102.21,2.67
2024-01-10,RU000A0JRU20,98.56,15.02
2024-01-10,RU000A0JRJB8,97.11,11.32
2024-01-10,RU000A0JS4K9,112.0,7.96
2024-01-10,RU000A0JR4U9,94.0,
2024-01-10,RU000A0JUG98,70.0,
2024-01-10,RU000A0JUAG0,100.59,13.95
2024-01-10,RU000A0JRU46,98.97,13.03
2024-01-10,RU000A0JV4R9,100.0,
2024-01-10,RU000A0JSQ58,97.49,14.67
2024-01-10,RU000A0JRZ74,84.63,
2024-01-10,RU000A0JTZF1,116.05,
2024-01-10,RU000A0JU9K4,98.9,
2024-01-10,RU000A0JQAM6,105.8,
2024-01-10,RU000A0JTFB2,89.0,
2024-01-10,RU000A0JTW83,101.99,
2024-01-10,KG000A3LSJ06,100.0,15.07
2024-01-10,RU000A0JTU85,98.43,15.23
2024-01-10,KG000A3LSC78,107.9999,11.19
2024-01-10,RU000A0JS4Z7,94.91,14.81
2024-01-10,RU000A1037P0,100.0,
2024-01-10,RU000A0JUAH8,94.98,13.68
2024-01-10,RU000A0JVNL1,99.85,
2024-01-10,RU000A0JT403,96.19,13.86
2024-01-10,RU000A0ZZAL5,98.3,
2024-01-10,RU000A0JU0N7,79.0,14.85
2024-01-10,RU000A0JS4J1,114.0,
2024-01-10,RU000A0JV755,125.23,
2024-01-10,RU000A0JT6B2,99.24,11.02
2024-01-10,RU000A0JTB96,87.76,21.81
2024-01-10,RU000A0JSGV0,95.12,12.51
2024-01-10,RU000A0JUT85,27.01,12.82
2024-01-10,RU000A0JS4L7,116.0,7.32
2024-01-11,RU000A0JV0T3,98.5,
2024-01-11,RU000A0JUKX4,98.0,28.63
2024-01-11,RU000A0JRJL7,134.99,4.8
2024-01-11,RU000A0JV0U1,97.63,16.48
2024-01-11,RU000A0JRU20,98.56,15.02
2024-01-11,RU000A0JRJB8,99.02,10.91
2024-01-11,RU000A0JS4K9,112.0,7.96
2024-01-11,RU000A0JR4U9,94.0,
2024-01-11,RU000A0JUG98,70.0,
2024-01-11,RU000A0JUAG0,100.48,14.3
2024-01-11,RU000A0JRU46,98.97,13.03
2024-01-11,RU000A0JV4R9,100.0,
2024-01-11,RU000A0JSQ58,97.47,14.75
2024-01-11,RU000A0JRZ74,84.63,
2024-01-11,RU000A0JTZF1,116.05,
2024-01-11,RU000A0JU9K4,98.9,
2024-01-11,RU000A0JQAM6,105.8,
2024-01-11,RU000A0JTFB2,89.0,
2024-01-11,RU000A0JTW83,101.99,
2024-01-11,KG000A3LSJ06,100.0,15.07
2024-01-11,RU000A0JTU85,98.65,14.1
2024-01-11,KG000A3LSC78,106.9999,11.77
2024-01-11,RU000A0JS4Z7,96.0,13.64
2024-01-11,RU000A1037P0,100.0,
2024-01-11,RU000A0JUAH8,94.98,13.7
2024-01-11,RU000A0JVNL1,99.85,
2024-01-11,RU000A0JT403,96.16,13.93
2024-01-11,RU000A0ZZAL5,98.3,
2024-01-11,RU000A0JU0N7,79.0,14.87
2024-01-11,RU000A0JS4J1,114.0,
2024-01-11,RU000A0JV755,125.23,
2024-01-11,RU000A0JT6B2,98.48,14.88
2024-01-11,RU000A0JTB96,87.76,21.81
2024-01-11,RU000A0JSGV0,95.09,12.53
2024-01-11,RU000A0JUT85,37.64,9.67
2024-01-11,RU000A0JS4L7,116.0,7.32
2024-01-12,RU000A0JV0T3,98.5,
2024-01-12,RU000A0JUKX4,98.0,28.63
2024-01-12,RU000A0JRJL7,144.5,3.53
2024-01-12,RU000A0JV0U1,102.22,2.4
2024-01-12,RU000A0JRU20,99.47,10.78
2024-01-12,RU000A0JRJB8,99.02,10.91
2024-01-12,RU000A0JS4K9,112.0,7.96
2024-01-12,RU000A0JR4U9,94.0,
2024-01-12,RU000A0JUG98,70.0,
2024-01-12,RU000A0JUAG0,100.51,14.15
2024-01-12,RU000A0JRU46,99.99,8.27
2024-01-12,RU000A0JV4R9,100.0,
2024-01-12,RU000A0JSQ58,97.47,14.84
2024-01-12,RU000A0JRZ74,84.63,
2024-01-12,RU000A0JTZF1,116.05,
2024-01-12,RU000A0JU9K4,98.9,
2024-01-12,RU000A0JQAM6,105.8,
2024-01-12,RU000A0JTFB2,89.0,
2024-01-12,RU000A0JTW83,101.99,
2024-01-12,KG000A3LSJ06,100.0,15.07
2024-01-12,RU000A0JTU85,98.48,15.41
2024-01-12,KG000A3LSC78,106.9999,11.75
2024-01-12,RU000A0JS4Z7,95.89,13.79
2024-01-12,RU000A1037P0,100.0,
2024-01-12,RU000A0JUAH8,94.97,13.78
2024-01-12,RU000A0JVNL1,99.85,
2024-01-12,RU000A0JT403,96.16,13.93
2024-01-12,RU000A0ZZAL5,98.3,
2024-01-12,RU000A0JU0N7,78.99,14.96
2024-01-12,RU000A0JS4J1,114.0,
2024-01-12,RU000A0JV755,125.23,
2024-01-12,RU000A0JT6B2,98.31,16.05
2024-01-12,RU000A0JTB96,87.76,21.81
2024-01-12,RU000A0JSGV0,95.09,12.53
2024-01-12,RU000A0JUT85,27.01,12.84
2024-01-12,RU000A0JS4L7,116.0,7.32
2024-01-15,RU000A0JV0T3,98.5,
2024-01-15,RU000A0JUKX4,98.0,28.63
2024-01-15,RU000A0JRJL7,119.45,7.12
2024-01-15,RU000A0JV0U1,102.22,2.4
2024-01-15,RU000A0JRU20,99.67,9.83
2024-01-15,RU000A0JRJB8,98.2,11.09
2024-01-15,RU000A0JS4K9,112.0,7.96
2024-01-15,RU000A0JR4U9,94.0,
2024-01-15,RU000A0JUG98,70.0,
2024-01-15,RU000A0JUAG0,100.51,14.15
2024-01-15,RU000A0JRU46,98.99,13.23
2024-01-15,RU000A0JV4R9,100.0,
2024-01-15,RU000A0JSQ58,97.78,14.17
2024-01-15,RU000A0JRZ74,84.63,
2024-01-15,RU000A0JTZF1,116.05,
2024-01-15,RU000A0JU9K4,98.9,
2024-01-15,RU000A0JQAM6,105.8,
2024-01-15,RU000A0JTFB2,89.0,
2024-01-15,RU000A0JTW83,101.99,
2024-01-15,KG000A3LSJ06,99.99,15.08
2024-01-15,RU000A0JTU85,98.66,14.46
2024-01-15,KG000A3LSC78,106.9999,11.75
2024-01-15,RU000A0JS4Z7,95.99,13.69
2024-01-15,RU000A1037P0,100.0,
2024-01-15,RU000A0JUAH8,94.89,13.93
2024-01-15,RU000A0JVNL1,99.85,
2024-01-15,RU000A0JT403,96.16,13.93
2024-01-15,RU000A0ZZAL5,98.3,
2024-01-15,RU000A0JU0N7,78.97,15.0
2024-01-15,RU000A0JS4J1,114.0,
2024-01-15,RU000A0JV755,125.23,
2024-01-15,RU000A0JT6B2,98.59,14.67
2024-01-15,RU000A0JTB96,94.39,11.65
2024-01-15,RU000A0JSGV0,95.34,12.4
2024-01-15,RU000A0JUT85,37.81,9.64
2024-01-15,RU000A0JS4L7,116.0,7.32
2024-01-16,RU000A0JV0T3,98.5,
2024-01-16,RU000A0JUKX4,98.0,28.63
2024-01-16,RU000A0JRJL7,119.45,7.12
2024-01-16,RU000A0JV0U1,102.22,2.4
2024-01-16,RU000A0JRU20,96.42,9.83
2024-01-16,RU000A0JRJB8,109.99,8.76
2024-01-16,RU000A0JS4K9,112.0,7.96
2024-01-16,RU000A0JR4U9,94.0,
2024-01-16,RU000A0JUG98,70.0,
