date,KG000A3LSC78,KG000A3LSJ06,RU000A0JQAM6,RU000A0JR4U9,RU000A0JRJB8,RU000A0JRJL7,RU000A0JRU20,RU000A0JRU46,RU000A0JRZ74,RU000A0JS4J1,RU000A0JS4K9,RU000A0JS4L7,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JSQ58,RU000A0JT403,RU000A0JT6B2,RU000A0JTB96,RU000A0JTFB2,RU000A0JTU85,RU000A0JTW83,RU000A0JTZF1,RU000A0JU0N7,RU000A0JU9K4,RU000A0JUAG0,RU000A0JUAH8,RU000A0JUG98,RU000A0JUKX4,RU000A0JUT85,RU000A0JV0T3,RU000A0JV0U1,RU000A0JV4R9,RU000A0JV755,RU000A0JVNL1,RU000A0ZZAL5,RU000A1037P0
2024-01-03,110.0,100.01,105.8,94.0,97.51,135.06,99.74,99.89,84.63,114.0,107.51,115.04,96.89,99.26,99.98,96.42,99.0,94.49,89.0,98.26,101.99,116.05,83.46,98.9,100.34,97.12,70.0,101.6,38.38,98.5,102.17,100.0,125.23,99.85,98.3,100.0
2024-01-04,110.0,99.99,105.8,94.0,96.0,135.06,99.74,99.89,84.63,114.0,107.51,115.04,96.45,95.61,99.98,96.36,98.97,94.49,89.0,98.53,101.99,116.05,83.5,98.9,100.34,96.41,70.0,101.6,38.38,98.5,102.17,100.0,125.23,99.85,98.3,100.0
2024-01-05,110.0,100.0,105.8,94.0,97.19,135.06,99.95,99.89,84.63,114.0,107.51,115.04,96.88,95.3,99.98,96.36,98.96,94.49,89.0,98.71,101.99,116.05,83.49,98.9,100.99,96.2,70.0,101.6,27.0,98.5,97.73,100.0,125.23,99.85,98.3,100.0
2024-01-08,101.0,100.0,105.8,94.0,106.57,135.06,99.95,99.89,84.63,114.0,107.51,115.04,96.8,96.26,98.14,96.35,99.24,94.49,89.0,98.62,101.99,116.05,83.49,98.9,100.58,96.84,70.0,101.6,27.0,98.5,99.96,100.0,125.23,99.85,98.3,100.0
2024-01-09,109.95,100.0,105.8,94.0,97.1,127.01,99.95,93.5,84.63,114.0,107.51,115.04,96.8,95.32,97.01,96.2,99.24,94.49,89.0,98.38,101.99,116.05,83.49,98.9,101.0,94.98,70.0,101.6,37.94,98.5,102.21,100.0,125.23,99.85,98.3,100.0
2024-01-10,107.9999,100.0,105.8,94.0,97.11,134.99,98.56,98.97,84.63,114.0,112.0,116.0,94.91,95.12,97.49,96.19,99.24,87.76,89.0,98.43,101.99,116.05,79.0,98.9,100.59,94.98,70.0,101.6,27.01,98.5,102.21,100.0,125.23,99.85,98.3,100.0
2024-01-11,106.9999,100.0,105.8,94.0,99.02,134.99,98.56,98.97,84.63,114.0,112.0,116.0,96.0,95.09,97.47,96.16,98.48,87.76,89.0,98.65,101.99,116.05,79.0,98.9,100.48,94.98,70.0,98.0,37.64,98.5,97.63,100.0,125.23,99.85,98.3,100.0
2024-01-12,106.9999,100.0,105.8,94.0,99.02,144.5,99.47,99.99,84.63,114.0,112.0,116.0,95.89,95.09,97.47,96.16,98.31,87.76,89.0,98.48,101.99,116.05,78.99,98.9,100.51,94.97,70.0,98.0,27.01,98.5,102.22,100.0,125.23,99.85,98.3,100.0
2024-01-15,106.9999,99.99,105.8,94.0,98.2,119.45,99.67,98.99,84.63,114.0,112.0,116.0,95.99,95.34,97.78,96.16,98.59,94.39,89.0,98.66,101.99,116.05,78.97,98.9,100.51,94.89,70.0,98.0,37.81,98.5,102.22,100.0,125.23,99.85,98.3,100.0
2024-01-16,106.9999,99.98,105.8,94.0,109.99,119.45,96.42,94.02,79.51,114.0,112.0,116.0,95.97,95.09,97.78,95.9,98.6,94.39,89.0,98.68,101.99,116.05,79.24,98.9,100.22,94.73,70.0,98.0,37.81,98.5,102.22,100.0,125.23,99.85,98.3,100.0
