,RU000A0JV0T3,RU000A0JUKX4,RU000A0JRJL7,RU000A0JUCA9,RU000A0JV0U1,RU000A0JRU20,RU000A0JRJB8,RU000A0JVCB5,RU000A0JU2L7,RU000A0JS4K9,RU000A0JUC92,RU000A0JR4U9,RU000A0JTYK4,RU000A0JUG98,RU000A0JUAG0,RU000A0JRU46,RU000A0JV4R9,RU000A0JSQ58,RU000A0JRZ74,RU000A0JS9X1,RU000A0JTZF1,RU000A0JVB19,RU000A0JU9K4,RU000A0JQAM6,RU000A0JTFB2,RU000A0JTW83,RU000A0JU7S1,KG000A3LSJ06,RU000A0JTU85,KG000A3LSC78,RU000A0JS4Z7,RU000A1037P0,RU000A0JUAH8,RU000A0JVNL1,RU000A0JT403,RU000A0ZZAL5,RU000A0JU0N7,RU000A0JTYJ6,RU000A0JU2K9,RU000A0JS4J1,RU000A0JUAN6,RU000A0JV755,RU000A0JT6B2,RU000A0JUAP1,RU000A0JTB96,RU000A0JSGV0,RU000A0JVB27,RU000A0JUT85,RU000A0JS4L7
2024-01-03,98.5,101.6,135.06,,102.17,99.74,97.51,,,107.51,,94.0,,70.0,100.34,99.89,100.0,99.98,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.01,98.26,110.0,96.89,100.0,97.12,99.85,96.42,98.3,83.46,,,114.0,,125.23,99.0,,94.49,99.26,,38.38,115.04
2024-01-04,98.5,101.6,135.06,,102.17,99.74,96.0,,,107.51,,94.0,,70.0,100.34,99.89,100.0,99.98,84.63,,116.05,,98.9,105.8,89.0,101.99,,99.99,98.53,110.0,96.45,100.0,96.41,99.85,96.36,98.3,83.5,,,114.0,,125.23,98.97,,94.49,95.61,,38.38,115.04
2024-01-05,98.5,101.6,135.06,,97.73,99.95,97.19,,,107.51,,94.0,,70.0,100.99,99.89,100.0,99.98,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.71,110.0,96.88,100.0,96.2,99.85,96.36,98.3,83.49,,,114.0,,125.23,98.96,,94.49,95.3,,27.0,115.04
2024-01-08,98.5,101.6,135.06,,99.96,99.95,106.57,,,107.51,,94.0,,70.0,100.58,99.89,100.0,98.14,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.62,101.0,96.8,100.0,96.84,99.85,96.35,98.3,83.49,,,114.0,,125.23,99.24,,94.49,96.26,,27.0,115.04
2024-01-09,98.5,101.6,127.01,,102.21,99.95,97.1,,,107.51,,94.0,,70.0,101.0,93.5,100.0,97.01,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.38,109.95,96.8,100.0,94.98,99.85,96.2,98.3,83.49,,,114.0,,125.23,99.24,,94.49,95.32,,37.94,115.04
2024-01-10,98.5,101.6,134.99,,102.21,98.56,97.11,,,112.0,,94.0,,70.0,100.59,98.97,100.0,97.49,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.43,107.9999,94.91,100.0,94.98,99.85,96.19,98.3,79.0,,,114.0,,125.23,99.24,,87.76,95.12,,27.01,116.0
2024-01-11,98.5,98.0,134.99,,97.63,98.56,99.02,,,112.0,,94.0,,70.0,100.48,98.97,100.0,97.47,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.65,106.9999,96.0,100.0,94.98,99.85,96.16,98.3,79.0,,,114.0,,125.23,98.48,,87.76,95.09,,37.64,116.0
2024-01-12,98.5,98.0,144.5,,102.22,99.47,99.02,,,112.0,,94.0,,70.0,100.51,99.99,100.0,97.47,84.63,,116.05,,98.9,105.8,89.0,101.99,,100.0,98.48,106.9999,95.89,100.0,94.97,99.85,96.16,98.3,78.99,,,114.0,,125.23,98.31,,87.76,95.09,,27.01,116.0
2024-01-15,98.5,98.0,119.45,,102.22,99.67,98.2,,,112.0,,94.0,,70.0,100.51,98.99,100.0,97.78,84.63,,116.05,,98.9,105.8,89.0,101.99,,99.99,98.66,106.9999,95.99,100.0,94.89,99.85,96.16,98.3,78.97,,,114.0,,125.23,98.59,,94.39,95.34,,37.81,116.0
2024-01-16,98.5,98.0,119.45,,102.22,96.42,109.99,,,112.0,,94.0,,70.0,100.22,94.02,100.0,97.78,79.51,,116.05,,98.9,105.8,89.0,101.99,,99.98,98.68,106.9999,95.97,100.0,94.73,99.85,95.9,98.3,79.24,,,114.0,,125.23,98.6,,94.39,95.09,,37.81,116.0
