date,KG000A3LSC78,KG000A3LSJ06,RU000A0JQAM6,RU000A0JR4U9,RU000A0JRJB8,RU000A0JRJL7,RU000A0JRU20,RU000A0JRU46,RU000A0JRZ74,RU000A0JS4J1,RU000A0JS4K9,RU000A0JS4L7,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JSQ58,RU000A0JT403,RU000A0JT6B2,RU000A0JTB96,RU000A0JTFB2,RU000A0JTU85,RU000A0JTW83,RU000A0JU0N7,RU000A0JUAG0,RU000A0JUAH8,RU000A0JUG98,RU000A0JUKX4,RU000A0JUT85,RU000A0JV0U1,RU000A0JV4R9
2024-01-03,10.09,15.07,,,11.24,4.8,9.33,8.69,,,,7.48,12.62,10.4,9.38,13.33,11.89,,,15.37,,11.07,14.85,10.59,,0.26,,,
2024-01-04,,15.08,,,11.57,,,,,,,,13.09,12.24,,13.45,12.07,,,14.08,,11.06,,11.57,,,,,
2024-01-05,,15.08,,,11.31,,8.45,,,,,,12.66,12.41,,,,,,13.41,,,12.74,11.9,,,12.82,15.94,
2024-01-08,15.52,15.08,,,9.4,4.79,,,,,,,12.75,11.91,13.21,13.55,11.02,,,13.98,,,14.02,11.03,,-0.7,,,
2024-01-09,10.07,15.07,,,11.33,5.95,,43.06,,,,,,12.4,15.7,13.82,,,,15.39,,,12.66,13.66,,,9.59,2.67,
2024-01-10,11.19,15.07,,,11.32,4.8,15.02,13.03,,,7.96,7.32,14.81,12.51,14.67,13.86,,21.81,,15.23,,14.85,13.95,13.68,,-1.14,12.82,,
2024-01-11,11.77,15.07,,,10.91,,,,,,,,13.64,12.53,14.75,13.93,14.88,,,14.1,,14.87,14.3,13.7,,28.63,9.67,16.48,
2024-01-12,11.75,15.07,,,,3.53,10.78,8.27,,,,,13.79,12.53,14.84,,16.05,,,15.41,,14.96,14.15,13.78,,,12.84,2.4,
2024-01-15,,15.08,,,11.09,7.12,9.83,13.23,,,,,13.69,12.4,14.17,,14.67,11.65,,14.46,,15.0,,13.93,,,9.64,,
2024-01-16,,15.08,,,8.76,,,42.94,16.58,,,,13.72,12.54,14.2,14.5,14.72,,,14.46,,14.8,15.11,14.18,,,,,
2024-01-17,16.17,15.08,,,8.79,,,8.52,15.4,,,,13.71,12.54,15.55,15.22,14.43,,,16.05,,,13.14,14.21,,,9.5,,
2024-01-18,14.85,15.08,,23.97,,,,,16.4,,,,13.77,12.53,14.27,15.25,,,,14.63,,,13.11,13.88,,-3.25,,,
2024-01-19,16.16,15.07,,4.66,,7.37,,,14.14,,7.96,,13.85,12.54,14.59,15.34,15.95,,,15.26,,16.0,16.04,14.31,,,,,
2024-01-22,11.83,15.07,,,,,31.99,,,,7.16,,15.44,12.42,12.25,14.5,15.9,,,15.0,,14.31,17.07,14.35,,,,,
2024-01-23,,15.07,,,,,11.09,42.91,13.99,,8.71,,13.9,12.43,14.0,15.21,14.08,,,15.26,,,17.15,14.37,,,,,
2024-01-24,16.16,15.08,,,8.76,,,,14.32,,8.46,,13.9,12.49,14.02,14.56,16.08,,,15.41,,14.39,,13.69,,,,17.23,
2024-01-25,14.83,15.08,,,8.48,,13.41,8.54,,,,,13.68,12.42,14.05,,14.52,,,15.48,,,13.1,14.01,,,,1.81,
2024-01-26,,15.08,,,,5.16,12.2,8.5,,,,,12.84,12.45,14.0,,15.22,,,15.73,,14.47,,13.78,,,,,
2024-01-29,16.16,15.08,,,7.47,5.24,,,,,7.16,,13.31,12.56,13.86,14.41,14.38,,,15.6,,,17.05,13.79,,,,,
2024-01-30,11.68,15.19,,,7.35,3.52,14.32,14.32,14.15,,,,12.86,12.57,14.05,14.44,14.36,,,15.53,,14.51,17.74,14.0,,16.0,,,
2024-01-31,11.68,15.12,,,7.34,,22.02,56.95,,,7.16,,12.9,12.47,12.15,14.74,,,,15.31,,,17.02,14.4,,-23.2,,,
2024-02-01,16.19,15.14,,,7.34,3.51,22.25,14.71,,,,,12.91,12.46,14.1,14.77,,,,15.48,,,17.64,14.19,,,,,
2024-02-02,16.19,15.15,,,,3.49,15.52,,16.65,,,,,12.55,14.18,14.86,14.94,,,15.68,,,11.81,14.13,,-29.24,,1.16,
2024-02-05,16.19,15.2,,,7.34,,,,14.18,,,,13.0,12.58,17.38,14.46,14.51,30.58,,14.59,,14.71,18.73,14.45,,,,,
2024-02-06,11.64,15.18,,,6.4,3.5,,,14.34,,8.45,,13.06,12.38,15.84,14.51,14.7,,,14.67,,14.7,,14.59,,,,,
2024-02-07,,15.17,,,,,,,,,8.45,,13.04,12.48,12.53,14.5,15.35,,,14.4,,15.59,15.37,14.83,,,9.54,,
2024-02-08,,15.17,,25.21,6.26,6.8,37.48,16.8,16.48,,,,15.94,12.48,12.54,14.61,15.49,30.9,,11.75,,14.76,12.55,15.31,,,,18.4,
2024-02-09,12.87,15.17,-38.88,,6.21,,19.7,17.37,14.57,,,,15.49,12.21,,14.72,15.17,,,15.02,,15.41,17.08,15.17,,-40.74,10.05,-3.58,
2024-02-12,,15.22,,,6.2,6.8,26.8,,14.84,,,,13.08,12.47,,14.75,15.32,37.22,,14.54,,,15.78,14.66,,,,,
2024-02-13,16.74,15.23,-38.95,,6.13,7.42,33.79,,14.58,,,,13.08,13.19,,,15.48,,,15.54,,,16.23,15.15,,,,,
2024-02-14,11.59,15.23,,,6.13,7.42,29.46,25.76,,,,,13.01,12.4,12.63,15.42,16.06,,,14.43,,,13.97,15.51,,,,,
2024-02-15,16.71,15.36,,,,7.42,29.92,,14.65,,,,12.99,12.78,17.17,15.32,15.82,,,14.63,,,13.49,14.59,,16.01,,,
2024-02-16,11.57,15.29,,,8.81,9.3,22.49,31.47,14.77,,9.99,,15.16,12.41,12.73,13.73,14.73,,,14.49,,14.47,13.4,14.36,,,,,
2024-02-19,,15.18,,,,,27.84,26.82,,,,,15.2,12.71,15.97,13.99,14.43,,,15.89,,14.51,20.15,14.97,9.97,-63.61,,,
