,RU000A0JV0T3,RU000A0JUKX4,RU000A0JRJL7,RU000A0JUCA9,RU000A0JV0U1,RU000A0JRU20,RU000A0JRJB8,RU000A0JVCB5,RU000A0JU2L7,RU000A0JS4K9,RU000A0JUC92,RU000A0JR4U9,RU000A0JTYK4,RU000A0JUG98,RU000A0JUAG0,RU000A0JRU46,RU000A0JV4R9,RU000A0JSQ58,RU000A0JRZ74,RU000A0JS9X1,RU000A0JTZF1,RU000A0JVB19,RU000A0JU9K4,RU000A0JQAM6,RU000A0JTFB2,RU000A0JTW83,RU000A0JU7S1,KG000A3LSJ06,RU000A0JTU85,KG000A3LSC78,RU000A0JS4Z7,RU000A1037P0,RU000A0JUAH8,RU000A0JVNL1,RU000A0JT403,RU000A0ZZAL5,RU000A0JU0N7,RU000A0JTYJ6,RU000A0JU2K9,RU000A0JS4J1,RU000A0JUAN6,RU000A0JV755,RU000A0JT6B2,RU000A0JUAP1,RU000A0JTB96,RU000A0JSGV0,RU000A0JVB27,RU000A0JUT85,RU000A0JS4L7
2024-01-03,,0.26,4.8,,,9.33,11.24,,,,,,,,14.85,8.69,,9.38,,,,,,,,,,15.07,15.37,10.09,12.62,,10.59,,13.33,,11.07,,,,,,11.89,,,10.4,,,7.48
2024-01-04,,,,,,,11.57,,,,,,,,,,,,,,,,,,,,,15.08,14.08,,13.09,,11.57,,13.45,,11.06,,,,,,12.07,,,12.24,,,
2024-01-05,,,,,15.94,8.45,11.31,,,,,,,,12.74,,,,,,,,,,,,,15.08,13.41,,12.66,,11.9,,,,,,,,,,,,,12.41,,12.82,
2024-01-08,,-0.7,4.79,,,,9.4,,,,,,,,14.02,,,13.21,,,,,,,,,,15.08,13.98,15.52,12.75,,11.03,,13.55,,,,,,,,11.02,,,11.91,,,
2024-01-09,,,5.95,,2.67,,11.33,,,,,,,,12.66,43.06,,15.7,,,,,,,,,,15.07,15.39,10.07,,,13.66,,13.82,,,,,,,,,,,12.4,,9.59,
2024-01-10,,-1.14,4.8,,,15.02,11.32,,,7.96,,,,,13.95,13.03,,14.67,,,,,,,,,,15.07,15.23,11.19,14.81,,13.68,,13.86,,14.85,,,,,,,,21.81,12.51,,12.82,7.32
2024-01-11,,28.63,,,16.48,,10.91,,,,,,,,14.3,,,14.75,,,,,,,,,,15.07,14.1,11.77,13.64,,13.7,,13.93,,14.87,,,,,,14.88,,,12.53,,9.67,
2024-01-12,,,3.53,,2.4,10.78,,,,,,,,,14.15,8.27,,14.84,,,,,,,,,,15.07,15.41,11.75,13.79,,13.78,,,,14.96,,,,,,16.05,,,12.53,,12.84,
2024-01-15,,,7.12,,,9.83,11.09,,,,,,,,,13.23,,14.17,,,,,,,,,,15.08,14.46,,13.69,,13.93,,,,15.0,,,,,,14.67,,11.65,12.4,,9.64,
2024-01-16,,,,,,,8.76,,,,,,,,15.11,42.94,,14.2,16.58,,,,,,,,,15.08,14.46,,13.72,,14.18,,14.5,,14.8,,,,,,14.72,,,12.54,,,
2024-01-17,,,,,,,8.79,,,,,,,,13.14,8.52,,15.55,15.4,,,,,,,,,15.08,16.05,16.17,13.71,,14.21,,15.22,,,,,,,,14.43,,,12.54,,9.5,
2024-01-18,,-3.25,,,,,,,,,,23.97,,,13.11,,,14.27,16.4,,,,,,,,,15.08,14.63,14.85,13.77,,13.88,,15.25,,,,,,,,,,,12.53,,,
2024-01-19,,,7.37,,,,,,,7.96,,4.66,,,16.04,,,14.59,14.14,,,,,,,,,15.07,15.26,16.16,13.85,,14.31,,15.34,,16.0,,,,,,15.95,,,12.54,,,
2024-01-22,,,,,,31.99,,,,7.16,,,,,17.07,,,12.25,,,,,,,,,,15.07,15.0,11.83,15.44,,14.35,,14.5,,14.31,,,,,,15.9,,,12.42,,,
2024-01-23,,,,,,11.09,,,,8.71,,,,,17.15,42.91,,14.0,13.99,,,,,,,,,15.07,15.26,,13.9,,14.37,,15.21,,,,,,,,14.08,,,12.43,,,
2024-01-24,,,,,17.23,,8.76,,,8.46,,,,,,,,14.02,14.32,,,,,,,,,15.08,15.41,16.16,13.9,,13.69,,14.56,,14.39,,,,,,16.08,,,12.49,,,
2024-01-25,,,,,1.81,13.41,8.48,,,,,,,,13.1,8.54,,14.05,,,,,,,,,,15.08,15.48,14.83,13.68,,14.01,,,,,,,,,,14.52,,,12.42,,,
2024-01-26,,,5.16,,,12.2,,,,,,,,,,8.5,,14.0,,,,,,,,,,15.08,15.73,,12.84,,13.78,,,,14.47,,,,,,15.22,,,12.45,,,
2024-01-29,,,5.24,,,,7.47,,,7.16,,,,,17.05,,,13.86,,,,,,,,,,15.08,15.6,16.16,13.31,,13.79,,14.41,,,,,,,,14.38,,,12.56,,,
