Показатель,value_float
"Чистый операц доход, млрд руб",113.5
"Чист. проц. доходы, млрд руб",92.1
"Чист. комисс. доход, млрд руб",16.5
"Доходы по цб, млрд руб",14.6
"Чистая прибыль, млрд руб",59.8
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",40.3
"Амортизация, млрд руб",2.3
"Расх на персонал, млрд руб",25.9
"Процентные расходы, млрд руб",301.7
"Создание резервов, млрд руб",24.1
"Наличность, млрд руб",1379.0
"Чистый долг, млрд руб",-1379.0
"Активы банка, млрд руб",4667.0
"Капитал, млрд руб",347.9
"Кредитный портфель, млрд руб",2350.0
"Кредиты юрлицам, млрд руб",2149.0
"Кредиты физлицам, млрд руб",200.6
"Депозиты, млрд руб",2861.0
"Депозиты юрлиц, млрд руб",2076.0
"Депозиты физлиц, млрд руб",785.5
"Дост.осн капитала, %",12.4
"Дост. общ капитала, %",13.8
"Стоимость риска, %",0.1
"Loan-to-deposit ratio, %",82.0
"Просроченные кредиты, NPL, %",1.0
"Цена акции ао, руб",8.02
"Число акций ао, млн",33430.0
"Капитализация, млрд руб",268.2
"EV, млрд руб",-1111.0
"EPS, руб",1.79
"ROE, %",23.4
"ROA, %",1.4
"Чистая процентная маржа, %",2.8
"Рентабельность банка, %",52.7
P/E,4.49
P/B,0.77
