Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"5,05","37,12","3,86","3,14","-6,03",Мультипликаторы
P/B,"0,43","0,35","0,5","0,24","0,24",Мультипликаторы
P/S,"0,79","0,79","0,79","0,33","0,44",Мультипликаторы
P/CF,"3,56","2,62","2,68","1,76","1,65",Мультипликаторы
P/FCF,"-91,34","12,68","7,47","3703,99","-30,13",Мультипликаторы
EV/S,"1,21","1,41","1,07","0,69","1,09",Мультипликаторы
EV/EBITDA,"4,53","6,07","2,97","2,71","9,59",Мультипликаторы
EV/EBIT,"6,97","11,84","4,13","3,82","-1000,45",Мультипликаторы
Коэффициент долга,"0,33","0,37","0,38","0,37","0,43",Мультипликаторы
D/E,"0,5","0,58","0,6","0,59","0,75",Мультипликаторы
CAPEX/Выручка,"23,19","24,09","18,88","18,77","28,35",Мультипликаторы
NetDebt/EBITDA,"1,55","2,64","0,78","1,41","5,69",Мультипликаторы
Долг/EBITDA,"1,99","3,49","1,39","1,8","7,16",Мультипликаторы
ROE,"8,69","1,1","12,8","7,98","-3,54",Мультипликаторы
ROA,"5,8","0,7","7,98","5,02","-2,03",Мультипликаторы
Return on Sales,"17,32","11,89","25,91","18,0","-0,11",Мультипликаторы
ROIC,"4,51","2,97","8,16","4,99","-1,33",Мультипликаторы
ROCE,"6,86","3,63","11,52","9,05","-0,04",Мультипликаторы
Net Margin,"16,57","2,57","21,08","11,24","-6,83",Мультипликаторы
Операционная маржа,"14,62","9,73","23,54","16,58","-4,26",Мультипликаторы
EBITDA рентабельность,"26,66","23,2","36,0","25,39","11,39",Мультипликаторы
Тек. ливкидность,"1,51","1,44","1,54","1,59","1,05",Мультипликаторы
Выручка,7 659 623,6 321 559,10 241 353,11 673 950,8 541 818,Финансовые показатели
EBITDA,2 042 213,1 466 541,3 686 890,2 964 199,972 733,Финансовые показатели
EBIT,1 326 984,751 587,2 653 457,2 101 819,-  9 325,Финансовые показатели
Процентные доходы,654 916,747 400,615 167,2 430 787,659 464,Финансовые показатели
Процентные расходы,354 835,1 365 518,499 110,2 342 048,1 309 209,Финансовые показатели
Чистые процентные доходы/расходы,300 081,-  618 118,116 057,88 739,-  649 745,Финансовые показатели
Операционный доход,1 119 857,614 851,2 411 261,1 935 159,-  363 689,Финансовые показатели
Прибыль до налогов,1 627 065,133 469,2 769 514,2 190 558,-  659 070,Финансовые показатели
Чистая прибыль,1 269 517,162 407,2 159 086,1 311 645,-  583 076,Финансовые показатели
Капитал на акционеров,14 104 833,14 237 943,16 251 519,15 749 697,15 649 707,Финансовые показатели
Активы,21 882 348,23 352 185,27 047 230,26 128 929,28 713 748,Финансовые показатели
CA Оборотные активы,3 828 153,3 774 289,6 214 283,4 620 117,4 780 869,Финансовые показатели
Денежные средства и их эквиваленты,696 057,1 034 919,2 013 923,1 157 587,1 426 780,Финансовые показатели
Обязательства,7 266 661,8 547 453,10 180 651,9 683 084,12 261 034,Финансовые показатели
Собственный капитал,14 615 687,14 804 732,16 866 579,16 445 845,16 452 714,Финансовые показатели
Капитал на акционеров,1 202 887,135 341,2 093 071,1 225 807,-  629 085,Финансовые показатели
Внеоборотные активы,18 054 195,19 577 896,20 832 947,21 508 812,23 932 879,Финансовые показатели
CFO операционные денежные потоки,1 709 384,1 918 891,3 015 390,2 192 682,2 296 223,Финансовые показатели
FCF на акцию,-  66 539,396 300,1 081 624,1 040,-  125 794,Финансовые показатели
Инвестиционный денежный поток,- 1 938 109,- 1 545 602,- 1 830 437,- 2 136 970,- 2 915 070,Финансовые показатели
CFF Денежный поток от финансовой деятельности,152 375,-  106 421,-  178 931,-  793 975,842 717,Финансовые показатели
CB Текущие кредиты,774 202,693 534,697 046,709 268,1 295 363,Финансовые показатели
Общий долг,3 167 847,3 872 695,2 869 779,4 179 385,5 538 822,Финансовые показатели
Текущие обязательства,2 527 476,2 626 964,4 022 945,2 900 860,4 531 986,Финансовые показатели
CL Текущая аренда,,,,51 587,,Финансовые показатели
Долгосрочная аренда,205 493,211 488,230 458,219 524,308 122,Финансовые показатели
Долгосрочные кредиты,3 089 702,4 214 080,4 186 656,4 356 593,5 362 117,Финансовые показатели
Долгосрочные обязательства,4 739 185,5 920 489,6 157 706,6 782 224,7 729 048,Финансовые показатели
Чистый долг,4 069 397,5 119 102,5 114 160,5 336 972,6 965 602,Финансовые показатели
Общие расходы,,,,,8 584 202,Финансовые показатели
