Показатель,value_float
"Добыча нефти, млн т",72.4
"Переработка нефти, млн т",56.8
"Добыча газа, млрд м3",359.0
"Выручка, млрд руб",8542.0
"Операционная прибыль, млрд руб",-364.0
"EBITDA, млрд руб",1765.0
"Чистая прибыль, млрд руб",-629.0
"Опер.денежный поток, млрд руб",2296.0
"CAPEX, млрд руб",2422.0
"FCF, млрд руб",-213.0
"Див.выплата, млрд руб",0.0
"Дивиденд, руб/акцию",0.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",8584.0
"Амортизация, млрд руб",982.0
"Расх на персонал, млрд руб",1097.0
"Процентные расходы, млрд руб",396.8
"Активы, млрд руб",28714.0
"Чистые активы, млрд руб",15650.0
"Долг, млрд руб",6657.0
"Наличность, млрд руб",1602.0
"Чистый долг, млрд руб",5055.0
"Цена акции ао, руб",159.8
"Число акций ао, млн",23673.0
"Капитализация, млрд руб",3783.0
"EV, млрд руб",8838.0
"Баланс стоимость, млрд руб",15503.0
"EPS, руб",-26.6
"FCF/акцию, руб",-9.0
"BV/акцию, руб",654.9
"Рентаб EBITDA, %",20.7
"Чистая рентаб, %",-7.4
"Доходность FCF, %",-5.6
"ROE, %",-4.0
"ROA, %",-2.2
P/E,-6.01
P/FCF,-17.8
P/S,0.44
P/BV,0.24
EV/EBITDA,5.01
Долг/EBITDA,2.86
"Персонал, чел",498100.0
"Произв.труда, млн руб/чел/год",17.1
"Расходы/чел/год, тыс.р",2202.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",28.0
IR рейтинг,3.4
Качество фин.отчетности,4.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,4.0
Годовой отчет,4.0
Сайт для инвесторов,4.0
Календарь инвесторов,2.0
Обратная связь,5.0
