Показатель,value_float
"Наличность, млрд руб",NO_DATA
"Див доход, ао, %",NO_DATA
P/E,NO_DATA
"Число акций ао, млн",NO_DATA
"Чистая прибыль, млрд руб",NO_DATA
"ROA, %",NO_DATA
"Капитализация, млрд руб",NO_DATA
"ROE, %",NO_DATA
"Дивиденды/прибыль, %",NO_DATA
"Опер. расходы, млрд руб",NO_DATA
"EPS, руб",NO_DATA
"Чистый долг, млрд руб",NO_DATA
"Цена акции ао, руб",NO_DATA
"EV, млрд руб",NO_DATA
"BV/акцию, руб",NO_DATA
"Доходность FCF, %",NO_DATA
"FCF/акцию, руб",NO_DATA
"Рентаб EBITDA, %",NO_DATA
"Операционная прибыль, млрд руб",NO_DATA
"CAPEX/Выручка, %",NO_DATA
"Баланс стоимость, млрд руб",NO_DATA
"Опер.денежный поток, млрд руб",NO_DATA
"FCF, млрд руб",NO_DATA
"Выручка, млрд руб",NO_DATA
P/FCF,NO_DATA
"Чистые активы, млрд руб",NO_DATA
EV/EBITDA,NO_DATA
P/BV,NO_DATA
"CAPEX, млрд руб",NO_DATA
"Долг, млрд руб",NO_DATA
P/S,NO_DATA
"EBITDA, млрд руб",NO_DATA
Долг/EBITDA,NO_DATA
"Активы, млрд руб",NO_DATA
"R&D/CAPEX, %",NO_DATA
"Амортизация, млрд руб",NO_DATA
"Чистая рентаб, %",NO_DATA
