date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,160.34,160.56,159.88,160.39,53174,,160.39,,,,,,,,0.0,53174,,,,,0.0,,,,,,,,,
2024-01-03,159.73,162.88,159.73,161.44,810363,,160.48999999999998,,,,,,,,0.0,863537,,,,,0.0,,,,,,,,,
2024-01-04,161.51,161.51,160.15,161.25,488784,,160.56238095238095,,,,,,,,0.0,374753,,,,,0.0,,,,,,,,,
2024-01-05,161.2,162.21,161.18,161.94,878494,,160.6935827664399,,,,,,,,0.0,1253247,,,,,0.0,,,,,,,,,
2024-01-06,162.59,162.37,161.82,161.85,36945,,160.80371774106467,,,,,,,,0.0,1216302,,,,,0.0,,,,,,,,,
2024-01-07,162.4,162.47,161.83,162.43,36984,,160.95860176572518,,,,,,,,0.0,1253286,,,,,0.0,,,,,,,,,
2024-01-08,162.44,164.99,162.38,163.05,1108790,,161.15778254994183,,,,,,,,0.0,2362076,,,,,0.0,,,,,,,,,
2024-01-09,163.01,163.29,160.91,162.41,944481,,161.27704135470927,,,,,,,,0.0,1417595,,,,,0.0,,,,,,,,,
2024-01-10,162.41,164.97,162.11,162.87,1057337,,161.4287517018798,,,,,,,,0.0,2474932,,,,,0.0,,,,,162.36,,,,
2024-01-11,162.96,163.28,161.33,162.5,1303397,,161.5307753493198,,,,,,,,0.0,1171535,,,,,0.0,,,,,162.36,,162.5,,
2024-01-12,162.52,164.0,161.66,163.37,1450536,,161.70593960176555,,,,,,,,0.0,2622071,,,,,0.0,,,,,162.57,,162.63046843277593,1.8579711952116833,
2024-01-13,163.19,163.97,163.2,163.47,28024,,161.87394535397834,,,,,,,,0.0,2650095,,,,,0.0,,,,,162.95,,162.72171141190248,1.2574331020812692,
2024-01-14,164.0,164.0,163.41,163.84,24376,,162.06118865359946,,,,,,,,0.0,2674471,,,,,0.0,,,,,162.95,,162.8918945606943,1.6062015503875988,
2024-01-15,163.8,164.37,162.82,163.34,1096376,,162.1829802103995,162.90914285714285,68.74656017604661,68.63117870722434,,,,,1.6042857142857148,1578095,,,,,0.0,,,,-31.368821292775657,162.95,,162.91940581463714,0.8645177226133172,
2024-01-16,163.2,164.97,161.07,163.22,1180906,,162.28174399988526,163.01323809523814,66.69894771708647,66.34980988593149,,,,,1.7682653061224498,397189,,,,,0.0,1.0463395638629283,0.8282710280373834,,-33.650190114068515,162.95,,162.93711038031117,0.8464627741736205,
2024-01-17,163.48,164.15,162.61,164.04,862926,,162.44919695227713,163.1997142857143,72.68584548743584,80.37190082644594,71.78429647320058,,,,1.751960641399417,1260115,,,,,0.0,1.1196510178645627,0.9472372247611129,,-19.62809917355406,162.94,,163.01373553755835,0.9911962075971096,
2024-01-18,164.12,169.74,164.12,166.52,3853734,,162.8368924806317,163.69209523809525,82.77310807410078,63.533408833522145,70.08503984863319,,,,2.0339634527280315,5113849,,,,,0.0,1.136923618444209,0.7074973600844765,,-36.466591166477855,165.405,,163.50676721484874,2.1281815394050896,
2024-01-19,166.52,167.32,165.32,165.9,2349342,,163.12861700628582,164.05161904761906,75.28740518507823,56.511891279728225,66.80573364656543,,,,2.0315374918188867,2764507,,,,,0.0,1.1381892443839337,0.8233492171545271,,-43.488108720271775,165.405,,163.84819052710802,2.148882457976731,
2024-01-20,165.24,166.07,165.32,165.35,25773,,163.34017729140146,164.30009523809525,69.30008132179718,50.28312570781417,56.77614194035485,,,,1.939999099546109,2738734,,,,,0.0,1.115618661257606,0.8722109533468559,,-49.71687429218583,165.405,,163.96942624673966,1.5226868054276355,
2024-01-21,165.24,165.99,165.37,165.5,26492,163.23399999999998,163.54587469222037,164.53523809523807,70.00078368732225,51.98187995469985,52.92563231408075,166.37990146063095,163.23399999999998,160.088098539369,1.8471420210071021,2765226,-0.007305619165689963,,,,0.0,1.1162947937795795,0.8776200135226495,122.0560030686621,-48.01812004530015,165.405,,164.1453761595458,1.8461538461538463,
2024-01-22,165.98,166.87,165.01,166.06,1288593,163.5175,163.78531519772318,164.81580952380952,72.52228088398047,58.323895809739504,53.529633824084506,166.6085831434952,163.5175,160.42641685650483,1.8480604480780245,4053819,0.0005823192183769298,,,,0.0,1.087755809920221,0.9313215400624344,127.19411572184057,-41.676104190260496,165.405,,164.34494769205392,1.6465691375405507,
2024-01-23,166.49,168.91,164.86,168.31,2851534,163.86100000000002,164.21623755984479,165.3677142857143,79.8504205863307,83.50634371395613,64.60403982613182,167.44055807328223,163.86100000000002,160.2814419267178,2.005341844643879,6905353,0.09324064438764511,,,,0.0,1.126229508196721,0.8124590163934419,161.70034631046175,-16.493656286043876,165.405,,165.01357310770828,2.9607879121551375,
2024-01-24,168.36,168.55,166.18,166.36,1828627,164.1165,164.42040541128813,165.60342857142857,63.93586891233719,61.01499423298743,67.61507791889436,167.6432054030639,164.1165,160.58979459693612,2.031388855740745,5076726,0.004290643557103233,,,,0.0,1.1322892369210251,0.8773742085971333,123.56801127530738,-38.98500576701257,165.405,,165.07654219534535,1.5380859375000062,
2024-01-25,166.36,167.5,165.42,165.42,1587749,164.2905,164.51560489592737,165.68057142857143,57.940982214902725,50.17301038062268,64.89811610918875,167.71233269608553,164.2905,160.8686673039145,2.034861080330693,3488977,-0.08326213156426814,,,,0.0,1.1323822163238202,0.8566688785666884,74.18711934328388,-49.82698961937732,166.175,,165.08823166092077,1.2734174115342132,
2024-01-26,165.65,166.53,162.53,163.99,1961056,164.3975,164.46554728679143,165.53923809523812,50.2256467711235,33.67935409457913,48.28911956939641,167.63632617625584,164.3975,161.15867382374418,2.175228146021358,1527921,-0.09678867091498604,,,,0.0,1.0242138364779867,0.9172955974842761,-4.700569990376302,-66.32064590542088,166.135,,165.07635862178316,0.47175591226566,
2024-01-27,164.3,164.36,163.36,164.19,47561,164.4855,164.4393046880494,165.41866666666667,51.204300708252354,35.986159169550156,39.94617454825066,167.59892560534212,164.4855,161.3720743946579,2.0912832784484037,1575482,-0.09678654073558916,0.9750789275226452,,,0.0,1.0018732438339057,0.9847018420231022,-26.6384220246136,-64.01384083044984,165.72,164.735,165.07168280063917,0.09144111192392446,
2024-01-28,164.48,164.3,163.8,163.99,27153,164.5325,164.39651376537802,165.26457142857143,50.1425690031427,33.67935409457913,34.44828911956947,167.5856221724654,164.5325,161.4793778275346,1.9776201871306607,1548329,-0.07878679157547942,0.8221812423316806,,,0.0,1.0090795241077017,0.9874765184721342,-25.53795223457053,-66.32064590542088,165.72,164.735,165.01110183260394,-1.5193370165745863,
2024-01-29,164.0,164.39,162.91,163.5,1706749,164.587,164.3111315020087,165.04371428571426,47.54161287945488,28.02768166089968,32.56439830834299,167.5233044801246,164.587,161.65069551987537,1.9420758880498983,-158420,-0.10044743306857437,0.653931702739527,,,41.665674549352794,0.999686225290241,0.9962347034828991,-51.20565978890791,-71.97231833910031,165.72,164.945,164.93099371205207,-1.4466546112115766,
2024-01-30,163.31,167.65,162.64,163.22,1753585,164.6045,164.2072142161031,164.784,46.07099227636164,9.570041608876519,23.759025788118446,167.50359968783414,164.6045,161.70540031216586,2.1612133246177643,-1912005,-0.13142146456212309,0.49232386741533674,,,41.046190137210075,1.0445724681625217,0.9157064887810786,-9.994046100195222,-90.42995839112348,165.72,165.325,164.85094308313472,-1.2881765951012976,30.999146477204338
2024-01-31,163.42,166.44,161.54,166.33,3885774,164.796,164.40938429075993,164.93895238095234,60.63605580417615,58.41463414634159,32.00411913870593,167.61872492460742,164.796,161.97327507539256,2.3568409442879243,1973769,0.004729316382204238,0.6081886817064515,,,39.78831269174479,0.9678040726472196,0.9342322509631258,-2.708161204442341,-41.58536585365841,165.225,165.325,164.86829670326065,0.5015105740181345,45.25292767641559
2024-02-01,166.75,168.79,164.88,165.25,2040957,164.89000000000001,164.48944292973516,164.92809523809524,55.07342670932783,50.33921302578027,39.44129626033279,167.64081078956733,164.89000000000001,162.1391892104327,2.4677808768387868,-67188,-0.07712722394918617,0.6058811865589746,,,39.396174246398644,1.021418234442836,1.026917510853835,72.8300570820255,-49.66078697421973,165.165,165.325,164.87253708841612,-0.48777550283030363,42.50633864046108
2024-02-02,165.15,167.48,164.41,164.4,3214740,164.93650000000002,164.48092455547467,164.816,51.10012982983928,38.805970149253895,49.18660577379192,167.62035003306818,164.93650000000002,162.25264996693187,2.5107965284931586,-3281928,-0.17143763341573845,0.5293624232775187,,,38.74760707987192,0.9738910724312182,0.9949466591802356,20.199990431079833,-61.194029850746105,165.165,165.325,164.8333139278713,-2.323094290297663,38.21061592740732
2024-02-03,164.63,164.92,164.5,164.65,51950,164.977,164.4970269787628,164.75152380952383,52.19260054332438,42.19810040705579,43.781094527363315,167.61753858142615,164.977,162.33646141857386,2.3685967764579314,-3229978,-0.17210987407185738,0.48332222499968225,,,38.14536613952568,0.9734388245267025,1.0291042667420176,-26.038394415358308,-57.80189959294421,165.165,165.325,164.82729992386342,-1.0278913200288577,37.32391838183258
2024-02-04,163.70140625,164.8,164.42,164.52,52804,165.036,164.49921488554727,164.67638095238095,51.54769021213507,40.43419267299887,40.47942107643618,167.57850585053407,165.036,162.49349414946593,2.226554149568081,-3282782,-0.16700752820289663,0.43137252862817377,0.6078551722209846,-0.17648264359281085,37.53197436876001,0.970111016225448,1.031027611727868,-37.628326000417815,-59.56580732700113,165.165,165.405,164.82193829652016,-0.5440696409140233,37.13787678051502
2024-02-05,164.42,165.2,163.66,164.87,1746931,165.1185,164.5345277535904,164.6572380952381,53.22351033208054,45.183175033921444,42.60515603799203,167.52329749667203,165.1185,162.713702503328,2.177514567456075,-1535851,-0.13582869293150213,0.41367550123024444,0.5690192380228366,-0.15534373679259217,36.442399172105,0.9583453030738297,1.0451019821890268,-45.732634781139595,-54.816824966078556,165.165,165.405,164.82289204350016,0.5366180864686843,39.367996745157015
