Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"15,24","7,3","5,82","11,75","14,4",Мультипликаторы
P/B,"12,58","12,77","4,67","4,32","2,52",Мультипликаторы
P/S,"3,35","2,65","1,97","2,01","1,51",Мультипликаторы
P/CF,"6,2","6,74","7,23","5,0","4,25",Мультипликаторы
P/FCF,"7,88","11,07","65,88","10,42","9,45",Мультипликаторы
EV/S,"3,64","2,92","2,54","2,56","2,26",Мультипликаторы
EV/EBITDA,"8,72","4,99","4,68","6,88","6,33",Мультипликаторы
EV/EBIT,"10,21","5,47","5,24","8,79","8,59",Мультипликаторы
Коэффициент долга,"0,77","0,8","0,67","0,68","0,65",Мультипликаторы
D/E,"3,43","3,89","2,01","2,11","1,86",Мультипликаторы
CAPEX/Выручка,"11,53","15,41","24,3","20,93","19,52",Мультипликаторы
NetDebt/EBITDA,"0,7","0,45","1,05","1,48","2,1",Мультипликаторы
Долг/EBITDA,"1,57","1,01","1,28","2,0","2,54",Мультипликаторы
ROE,"76,43","144,17","71,27","36,97","20,53",Мультипликаторы
ROA,"17,25","29,46","23,66","11,91","7,17",Мультипликаторы
Return on Sales,"35,67","53,32","48,56","29,14","26,31",Мультипликаторы
ROIC,"32,14","46,43","34,21","29,08","14,32",Мультипликаторы
ROCE,"35,27","61,56","45,17","27,13","17,49",Мультипликаторы
Net Margin,"23,62","38,94","36,25","20,44","14,49",Мультипликаторы
Операционная маржа,"41,31","53,45","46,1","38,52","28,47",Мультипликаторы
EBITDA рентабельность,"41,76","58,5","54,32","37,21","35,71",Мультипликаторы
Тек. ливкидность,"1,58","1,22","1,09","0,83","1,16",Мультипликаторы
Валовая маржа,"67,34","67,53","59,31","51,1","45,02",Мультипликаторы
Выручка,,1 116 969,1 316 948,1 184 477,1 231 711,Финансовые показатели
Валовая прибыль,,752 179,889 358,702 536,629 410,Финансовые показатели
EBITDA,,466 469,770 470,643 421,458 298,Финансовые показатели
EBIT,,398 414,702 158,575 170,358 861,Финансовые показатели
Процентные доходы,12 862,274,6 338,11 882,990,Финансовые показатели
Процентные расходы,,63 421,26 875,48 969,49 185,Финансовые показатели
Чистые процентные доходы/расходы,,-  63 147,-  20 537,-  37 087,-  48 195,Финансовые показатели
Операционный доход,,461 457,703 909,546 046,474 510,Финансовые показатели
Расходы на персонал,,74 754,86 317,109 795,117 361,Финансовые показатели
Прибыль до налогов,,335 267,681 621,538 083,310 666,Финансовые показатели
Чистая прибыль,,263 792,512 879,429 343,251 769,Финансовые показатели
Капитал на акционеров,,297 254,273 847,500 963,573 667,Финансовые показатели
Активы,,1 529 478,1 741 168,1 814 406,2 114 677,Финансовые показатели
CA Оборотные активы,,632 357,733 318,591 227,658 508,Финансовые показатели
Денежные средства и их эквиваленты,,383 512,412 094,132 357,191 840,Финансовые показатели
Обязательства,,1 184 345,1 385 432,1 211 946,1 433 670,Финансовые показатели
Собственный капитал,,345 133,355 736,602 460,681 007,Финансовые показатели
Капитал на акционеров,,245 377,478 863,401 825,210 669,Финансовые показатели
Внеоборотные активы,,897 121,1 007 850,1 223 179,1 456 169,Финансовые показатели
CFO операционные денежные потоки,,603 429,518 661,323 312,495 364,Финансовые показатели
FCF на акцию,,474 692,315 727,35 499,237 548,Финансовые показатели
Инвестиционный денежный поток,,-  120 813,-  193 603,-  276 432,-  258 573,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,-  294 746,-  297 054,-  346 290,-  205 437,Финансовые показатели
CB Текущие кредиты,,851,119 616,302 129,388 843,Финансовые показатели
Общий долг,,328 197,347 596,675 336,679 275,Финансовые показатели
Текущие обязательства,,399 819,600 535,540 956,792 140,Финансовые показатели
CL Текущая аренда,,4 361,4 237,3 076,4 856,Финансовые показатели
Долгосрочная аренда,,15 013,13 268,13 372,41 715,Финансовые показатели
Долгосрочные кредиты,,710 858,640 074,505 564,482 272,Финансовые показатели
Долгосрочные обязательства,,784 526,784 897,670 990,641 530,Финансовые показатели
Чистый долг,,731 083,777 195,824 141,917 686,Финансовые показатели
Общие расходы,,289 922,184 927,156 490,154 900,Финансовые показатели
