Показатель,value_float
"Добыча никеля, тыс т",205.0
"Добыча меди, тыс т",433.0
"Добыча платины, тыс тр унц",667.0
"Добыча палладия, тыс тр унц",2692.0
"Выручка, млрд руб",1166.0
"Операционная прибыль, млрд руб",332.1
"EBITDA, млрд руб",481.8
"Чистая прибыль, млрд руб",122.4
"Опер.денежный поток, млрд руб",414.1
"CAPEX, млрд руб",239.8
"FCF, млрд руб",23.4
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",135.0
"Себестоимость, млрд руб",641.1
"Амортизация, млрд руб",109.7
"Расх на персонал, млрд руб",234.1
"Процентные расходы, млрд руб",137.1
"Активы, млрд руб",2356.0
"Чистые активы, млрд руб",699.3
"Долг, млрд руб",1011.0
"Наличность, млрд руб",185.2
"Чистый долг, млрд руб",826.1
"Цена акции ао, руб",115.4
"Число акций ао, млн",15286.0
"Капитализация, млрд руб",1764.0
"EV, млрд руб",2590.0
"Баланс стоимость, млрд руб",678.4
"EPS, руб",8.01
"FCF/акцию, руб",1.53
"BV/акцию, руб",44.4
"Рентаб EBITDA, %",41.3
"Чистая рентаб, %",10.5
"Доходность FCF, %",1.3
"ROE, %",17.5
"ROA, %",5.2
P/E,14.4
P/FCF,75.4
P/S,1.51
P/BV,2.6
EV/EBITDA,5.38
Долг/EBITDA,1.71
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",21.0
