Показатель,value_float
"BV/акцию, руб",44.4
"CAPEX, млрд руб",239.8
"CAPEX/Выручка, %",21.0
"EBITDA, млрд руб",481.8
"EPS, руб",8.01
"EV, млрд руб",2590.0
EV/EBITDA,5.38
"FCF, млрд руб",23.4
"FCF/акцию, руб",1.53
P/BV,2.6
P/E,14.4
P/FCF,75.4
P/S,1.51
"R&D/CAPEX, %",0.0
"ROA, %",5.2
"ROE, %",17.5
"Активы, млрд руб",2356.0
"Амортизация, млрд руб",109.7
"Баланс стоимость, млрд руб",678.4
"Выручка, млрд руб",1166.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",1011.0
Долг/EBITDA,1.71
"Доходность FCF, %",1.3
"Капитализация, млрд руб",1764.0
"Наличность, млрд руб",185.2
"Опер. расходы, млрд руб",135.0
"Опер.денежный поток, млрд руб",414.1
"Операционная прибыль, млрд руб",332.1
"Рентаб EBITDA, %",41.3
"Цена акции ао, руб",115.4
"Число акций ао, млн",15286.0
"Чистая прибыль, млрд руб",122.4
"Чистая рентаб, %",10.5
"Чистые активы, млрд руб",699.3
"Чистый долг, млрд руб",826.1
