id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
61307,2024-06-04 07:07:55+00:00,Норникель решил сегодня не торговаться?),['GMKN'],[],['GMKN'],True,GMKN,"ГМК ""Норильский никель""",металлургия,industry,Норникель решил сегодня не торговаться?),0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
61316,2024-06-04 09:46:12+00:00,"#GMKN #Теханализ
📊**  Акции Норникеля по итогу снизились к 140 руб./акция, согласно**[** сценарию отдела Теханализа Сигналов РЦБ**](https://t.me/cbrstocks/61005)",['GMKN'],['GMKN'],[],True,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,"GMKN Теханализ Акции Норникеля по итогу снизились к 140 руб.акция, согласно сценарию отдела Теханализа Сигналов РЦБ(",0.05,0.0,0.96875,0.03125,0.025,neutral,neutral,False,False,False,True,False,False,False,True,2,neutral
61949,2024-06-20 16:03:57+00:00,"#GMKN #Теханализ 
**Норникель удержал сильную недельную поддержку - сигнал для возможного отскока в акциях

**Краткосрочно акции Норникеля согласно техническому анализу могут пойти вверх до 138-139 руб и вплоть до 145 руб. 

Также сейчас акция торгуется внутри боковика в районе нижней границы - потениально движение может пойти к верхней границе 145 руб

**Краткосрочные цели: 138, 145**",['GMKN'],['GMKN'],['GMKN'],True,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,"GMKN Теханализ Норникель удержал сильную недельную поддержку - сигнал для возможного отскока в акциях Краткосрочно акции Норникеля согласно техническому анализу могут пойти вверх до 138-139 руб и вплоть до 145 руб. Также сейчас акция торгуется внутри боковика в районе нижней границы - потениально движение может пойти к верхней границе 145 руб Краткосрочные цели: 138, 145",0.05,0.0,0.9716981132075472,0.0283018867924528,0.025,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
62419,2024-07-03 12:34:05+00:00,"#GMKN
⚡️ **LME приостановит поставки никеля с финского завода Норникеля**",['GMKN'],['GMKN'],[],False,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,GMKN LME приостановит поставки никеля с финского завода Норникеля,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
62621,2024-07-08 12:07:05+00:00,"#GMKN
**⚡️**** Росимущество требует взыскать с Норникеля 3.5 млрд руб за пользование жд-объектами** — Интерфакс",['GMKN'],['GMKN'],[],False,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,GMKN Росимущество требует взыскать с Норникеля 3.5 млрд руб за пользование жд-объектами Интерфакс,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
62665,2024-07-09 12:10:55+00:00,"#GMKN
💿 **Норникель ведет переговоры с China Copper о переносе плавильного завода в Китай** — Reuters

Мощность нового предприятия позволит производить 450 тыс тонн меди в год, что составляет около 2% мировых запасов меди, которые оцениваются примерно в 22 млн метрических тонн в этом году.",['GMKN'],['GMKN'],['GMKN'],False,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,"GMKN Норникель ведет переговоры с China Copper о переносе плавильного завода в Китай Reuters Мощность нового предприятия позволит производить 450 тыс тонн меди в год, что составляет около 2 мировых запасов меди, которые оцениваются примерно в 22 млн метрических тонн в этом году.",0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
62993,2024-07-18 09:29:52+00:00,"#Металлурги
**Алюминий, никель обновили многомесячные минимумы ввиду роста предложения  **— Reuters

Алюминиевый контракт на Шанхайской фьючерсной бирже снизился на 0.13% до 19 760 юаней за тонну, обновив минимум с 28 марта.

Цена на алюминий с поставкой через три месяца на Лондонской бирже металлов в ходе торгов снизились до $2394 — до самого низкого уровня с 3 апреля.","['RUAL', 'GMKN']",[],"['GMKN', 'RUAL']",False,GMKN,"ГМК ""Норильский никель""",металлургия,industry,"Металлурги Алюминий, никель обновили многомесячные минимумы ввиду роста предложения Reuters Алюминиевый контракт на Шанхайской фьючерсной бирже снизился на 0.13 до 19 760 юаней за тонну, обновив минимум с 28 марта. Цена на алюминий с поставкой через три месяца на Лондонской бирже металлов в ходе торгов снизились до 2394 до самого низкого уровня с 3 апреля.",0.1636363636363636,0.0,0.8909090909090909,0.109090909090909,0.0818181818181818,neutral,positive,False,False,False,False,False,False,False,False,1,positive
63003,2024-07-18 11:44:33+00:00,"#GMKN
Норникель обсуждает с китайскими производителями батарей строительство никелевого завода в КНР — Reuters",['GMKN'],['GMKN'],['GMKN'],False,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,GMKN Норникель обсуждает с китайскими производителями батарей строительство никелевого завода в КНР Reuters,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
63313,2024-07-29 11:02:53+00:00,"НОРНИКЕЛЬ ВО II КВАРТАЛЕ СНИЗИЛ НА 3% ПРОИЗВОДСТВО ПАЛЛАДИЯ, ДО 735 ТЫС. УНЦИЙ


**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['GMKN'],[],['GMKN'],False,GMKN,"ГМК ""Норильский никель""",металлургия,industry,"НОРНИКЕЛЬ ВО II КВАРТАЛЕ СНИЗИЛ НА 3 ПРОИЗВОДСТВО ПАЛЛАДИЯ, ДО 735 ТЫС. УНЦИЙ Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,False,False,True,False,False,False,True,3,neutral
63314,2024-07-29 11:05:27+00:00,"#GMKN #Отчетность
🖨 Норникель: производственные результаты за 2кв2024 и 1П2024",['GMKN'],['GMKN'],['GMKN'],True,GMKN,"ГМК ""Норильский никель""",металлургия,company_specific,GMKN Отчетность Норникель: производственные результаты за 2кв2024 и 1П2024,0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,False,False,False,False,False,False,True,2,neutral
63318,2024-07-29 13:01:56+00:00,"НОРНИКЕЛЬ В I ПОЛУГОДИИ СНИЗИЛ ЧИСТУЮ ПРИБЫЛЬ ПО РСБУ НА 38% Г/Г, ВЫРУЧКА ВЫРОСЛА НА 8%


**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['GMKN'],[],['GMKN'],False,GMKN,"ГМК ""Норильский никель""",металлургия,industry,"НОРНИКЕЛЬ В I ПОЛУГОДИИ СНИЗИЛ ЧИСТУЮ ПРИБЫЛЬ ПО РСБУ НА 38 ГГ, ВЫРУЧКА ВЫРОСЛА НА 8 Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.5357142857142857,0.0,0.6428571428571428,0.3571428571428571,0.2678571428571428,positive,positive,True,False,False,True,False,False,False,True,4,positive
63494,2024-08-03 07:02:30+00:00,"👍 Главное за неделю: отчетности

🖨 **Астра: РСБУ 1П2024**
Отгрузки: 5.53 млрд руб (+64% г/г)

**🖨 ВТБ: МСФО 2кв2024**
Чистая прибыль: 154.7 млрд руб (лучше прогноза)

**🖨 Норникель: производственные результаты 2кв2024**
Производство палладия: 735 тыс. унций (-3% г/г)

**🖨 Яндекс: МСФО 2кв2024**
Выручка: 249 млрд руб (+37% г/г)
Скорр. EBITDA: 47.6 млрд руб (+56% г/г)

🖨 **Аэрофлот: РСБУ 2кв2024**
Чистая прибыль: 42.2 млрд руб (годом ранее убыток)

**🖨 Genetico: РСБУ 6мес2024**
Выручка: 181 млн руб (+14.7% г/г)
EBITDA: 12.55 млн руб (+860%)
Чистый убыток: 8.69 млн руб (уменьшение убытка с 28.2 млн руб)

**🖨 Лукойл: РСБУ 1П2024**
Выручка: 1.47 трлн руб (+17.7% г/г)
Чистая прибыль: 345.8 млрд руб (-25.3% г/г)

**🖨 Газпром: РСБУ 1П2024**
Убыток: 481 млрд руб (годом ранее 255 млрд)

**🖨 Сургутнефтегаз: РСБУ 6мес2024**
Чистая прибыль: 139.88 млрд руб (-83% г/г)

**🖨 Совкомбанк: РСБУ 6мес2024**
Прибыль: 27.83 млрд руб (-52.4% г/г)","['NVTK', 'GAZP', 'VTBR', 'GMKN', 'SNGS', 'SIBN', 'LKOH']",[],"['GAZP', 'LKOH', 'GMKN', 'SNGS', 'VTBR', 'NVTK', 'SIBN']",False,GMKN,"ГМК ""Норильский никель""",металлургия,industry,Главное за неделю: отчетности Астра: РСБУ 1П2024 Отгрузки: 5.53 млрд руб (64 гг) ВТБ: МСФО 2кв2024 Чистая прибыль: 154.7 млрд руб (лучше прогноза) Норникель: производственные результаты 2кв2024 Производство палладия: 735 тыс. унций (-3 гг) Яндекс: МСФО 2кв2024 Выручка: 249 млрд руб (37 гг) Скорр. EBITDA: 47.6 млрд руб (56 гг) Аэрофлот: РСБУ 2кв2024 Чистая прибыль: 42.2 млрд руб (годом ранее убыток) Genetico: РСБУ 6мес2024 Выручка: 181 млн руб (14.7 гг) EBITDA: 12.55 млн руб (860) Чистый убыток: 8.69 млн руб (уменьшение убытка с 28.2 млн руб) Лукойл: РСБУ 1П2024 Выручка: 1.47 трлн руб (17.7 гг) Чистая прибыль: 345.8 млрд руб (-25.3 гг) Газпром: РСБУ 1П2024 Убыток: 481 млрд руб (годом ранее 255 млрд) Сургутнефтегаз: РСБУ 6мес2024 Чистая прибыль: 139.88 млрд руб (-83 гг) Совкомбанк: РСБУ 6мес2024 Прибыль: 27.83 млрд руб (-52.4 гг),0.1514577594123048,0.1114172023262932,0.6761937557392103,0.2123890419344964,-0.8842711202938476,neutral,positive,True,False,False,False,False,False,False,True,2,positive
