date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-06-01,140.48,140.72,139.6,140.52,27018,,140.52,,,,,,,,0.0,27018,,,,,0.0,,,,,,,,,
2024-06-02,139.6,141.34,139.6,140.88,11394,,140.55428571428573,,,,,,,,0.0,38412,,,,,0.0,,,,,,,,,
2024-06-03,140.9,142.5,134.16,138.52,1829878,,140.36054421768708,,,,,,,,0.0,-1791466,,,,,0.0,,,,,,,,,
2024-06-04,138.54,143.0,137.6,140.8,1422502,,140.40239714933594,,,,,,,,0.0,-368964,,,,,0.0,,,,,,,,,
2024-06-05,141.36,141.68,138.16,139.24,807936,,140.29169265892298,,,,,,,,0.0,-1176900,,,,,0.0,,,,,,,,,
2024-06-06,139.26,141.44,139.06,141.8,669757,,140.4353409771208,,,,,,,,0.0,-507143,,,,,0.0,,,,,,,,,
2024-06-07,141.84,145.1,140.9,143.28,1019037,,140.7062608840617,,,,,,,,0.0,511894,,,,,0.0,,,,,,,,,
2024-06-08,143.9,144.4,142.78,143.94,9502,,141.0142360379606,,,,,,,,0.0,521396,,,,,0.0,,,,,,,,,
2024-06-09,143.1,144.68,143.48,144.5,7788,,141.34621355815483,,,,,,,,0.0,529184,,,,,0.0,,,,,139.63,,,,
2024-06-10,143.42,143.66,138.3,139.14,700882,,141.1360979811877,,,,,,,,0.0,-171698,,,,,0.0,,,,,139.63,,139.14,,
2024-06-11,138.66,140.14,137.26,138.86,1327538,,140.9193267448841,,,,,,,,0.0,-1499236,,,,,0.0,,,,,139.63,,139.1358485017511,-1.181326501565611,
2024-06-12,138.32,139.26,133.82,133.9,86899,,140.25081943584752,,,,,,,,0.0,-1586135,,,,,0.0,,,,,139.45999999999998,,138.7952740764112,-4.954571266325944,
2024-06-13,135.48,139.94,134.0,139.18,950167,,140.14883663243347,,,,,,,,0.0,-635968,,,,,0.0,,,,,139.45999999999998,,138.79776259221384,0.47646549234767294,
2024-06-14,139.5,141.54,138.38,140.3,561801,,140.1632331436303,140.02114285714282,50.077624647426155,57.446808510638455,,,,,3.8028571428571434,-74167,,,,,0.0,,,,-42.553191489361545,139.45999999999998,,138.80670542126975,-0.35511363636363635,
2024-06-15,139.98,141.18,140.1,141.0,11861,,140.2429252251893,140.10819047619046,51.832276746370134,63.6524822695036,,,,,3.608367346938777,-62306,,,,,0.0,0.9917293233082707,0.9736842105263157,,-36.3475177304964,139.45999999999998,,138.83357050859186,1.264004596380344,
2024-06-16,140.88,141.04,139.96,140.92,6580,,140.30740853707604,140.17999999999998,51.609023362653275,62.94326241134746,61.3475177304965,,,,3.4277696793002916,-68886,,,,,0.0,0.9889607917776935,0.9878188047202134,,-37.05673758865254,139.25,,138.8506172910536,-0.6205923836389449,
2024-06-17,140.7,140.7,138.54,138.54,487585,,140.13908391449738,139.93409523809524,45.35075807824744,41.84397163120566,56.14657210401891,,,,3.352928987921699,-556471,,,,,0.0,1.0691283812795191,1.0137398024903395,,-58.15602836879434,139.25,,138.838438076483,-3.308207705192636,
2024-06-18,138.62,139.48,135.86,136.26,722133,,139.76964735121192,139.384,40.308061740862875,21.631205673758842,42.13947990543732,,,,3.3720054887844335,-1278604,,,,,0.0,0.9352678571428575,1.0526785714285718,,-78.36879432624116,138.74,,138.65657097886478,-5.3355564818674495,
2024-06-19,135.92,135.94,130.98,134.0,1302505,,139.22015712728697,138.5758095238095,36.03128753315674,21.388101983002898,28.2877597626558,,,,3.508290811014117,-2581109,,,,,0.0,0.8140034364261167,1.0914948453608253,,-78.61189801699712,136.26,,138.17827354616213,-7.26643598615917,
