Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"6,88","236,6","5,87",,"4,05",Мультипликаторы
P/B,"1,11","0,87","1,01",,"0,73",Мультипликаторы
P/S,"0,56","0,64","0,48",,"0,59",Мультипликаторы
P/CF,"3,82","4,62","4,03",,"2,57",Мультипликаторы
P/FCF,"6,28","12,77","6,54",,"4,24",Мультипликаторы
EV/S,"0,54","0,66","0,47",,"0,49",Мультипликаторы
EV/EBITDA,"3,46","5,4","3,14",,"2,01",Мультипликаторы
EV/EBIT,"5,26","28,59","4,49",,"2,85",Мультипликаторы
Коэффициент долга,"0,33","0,31","0,34",,"0,26",Мультипликаторы
D/E,"0,5","0,45","0,52",,"0,34",Мультипликаторы
CAPEX/Выручка,"5,74","8,79","4,59",,"9,09",Мультипликаторы
NetDebt/EBITDA,"-0,11","0,18","-0,07",,"-0,4",Мультипликаторы
Долг/EBITDA,"0,45","0,96","0,54",,"0,2",Мультипликаторы
ROE,"16,16","0,4","17,15",,"18,13",Мультипликаторы
ROA,"10,8","0,28","11,3",,"13,49",Мультипликаторы
Return on Sales,"10,36","2,3","10,47",,"17,23",Мультипликаторы
ROIC,"14,02","0,93","13,97",,"16,43",Мультипликаторы
ROCE,"17,15","2,54","17,58",,"19,08",Мультипликаторы
Net Margin,"8,19","0,29","8,22",,"14,63",Мультипликаторы
Операционная маржа,"10,47","4,99","10,38",,"18,01",Мультипликаторы
EBITDA рентабельность,"15,76","12,18","14,98",,"24,51",Мультипликаторы
Тек. ливкидность,"1,29","1,44","1,73",,"2,08",Мультипликаторы
Валовая маржа,"45,06","46,79","41,87",,"63,84",Мультипликаторы
Выручка,,,7 841 246,5 639 401,9 435 143,Финансовые показатели
Валовая прибыль,,,3 533 173,2 638 485,3 950 319,Финансовые показатели
EBITDA,,,1 236 000,687 100,1 413 479,Финансовые показатели
EBIT,,,812 576,129 858,988 013,Финансовые показатели
Процентные доходы,,,25 134,13 051,16 519,Финансовые показатели
Процентные расходы,,,44 356,44 122,37 568,Финансовые показатели
Чистые процентные доходы/расходы,,,-  19 222,-  31 071,-  21 049,Финансовые показатели
Операционный доход,,,821 098,281 654,978 945,Финансовые показатели
Расходы на персонал,,,197 172,199 027,215 190,Финансовые показатели
Прибыль до налогов,,,793 354,98 787,966 964,Финансовые показатели
Чистая прибыль,,,642 221,16 633,775 513,Финансовые показатели
Капитал на акционеров,,,3 965 364,4 123 014,4 515 034,Финансовые показатели
Активы,,,5 947 050,5 991 579,6 864 749,Финансовые показатели
CA Оборотные активы,,,1 554 187,1 276 460,2 149 157,Финансовые показатели
Денежные средства и их эквиваленты,,,516 032,343 832,677 482,Финансовые показатели
Обязательства,,,1 973 601,1 860 813,2 341 565,Финансовые показатели
Собственный капитал,,,3 973 449,4 130 766,4 523 184,Финансовые показатели
Капитал на акционеров,,,640 178,15 175,773 442,Финансовые показатели
Внеоборотные активы,,,4 392 863,4 715 119,4 715 592,Финансовые показатели
CFO операционные денежные потоки,,,1 151 844,776 574,1 126 614,Финансовые показатели
FCF на акцию,,,701 869,281 131,693 572,Финансовые показатели
Инвестиционный денежный поток,,,-  510 126,-  492 769,-  438 055,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,,-  582 344,-  514 005,-  354 377,Финансовые показатели
CB Текущие кредиты,,,130 300,82 636,80 251,Финансовые показатели
Общий долг,,,-  134 680,122 007,-  105 375,Финансовые показатели
Текущие обязательства,,,1 207 677,885 659,1 244 680,Финансовые показатели
Долгосрочная аренда,2 846,25 973,171 880,193 872,185 843,Финансовые показатели
Долгосрочные кредиты,,,251 052,383 203,491 856,Финансовые показатели
Долгосрочные обязательства,,,765 924,975 154,1 096 885,Финансовые показатели
Чистый долг,,,553 232,659 711,757 950,Финансовые показатели
Общие расходы,,,457 710,2 356 831,2 971 374,Финансовые показатели
