Показатель,value_float
"Добыча нефти, млн т",82.6
"Переработка нефти, млн т",60.7
"Добыча газа, млрд м3",35.2
"Выручка, млрд руб",7928.0
"Операционная прибыль, млрд руб",1428.0
"EBITDA, млрд руб",2005.0
"Чистая прибыль, млрд руб",1155.0
"Опер.денежный поток, млрд руб",1824.0
"CAPEX, млрд руб",720.0
"FCF, млрд руб",964.0
"Див.выплата, млрд руб",635.7
"Дивиденд, руб/акцию",945.0
"Див доход, ао, %",14.0
"Дивиденды/прибыль, %",55.0
"Опер. расходы, млрд руб",647.0
"Амортизация, млрд руб",577.0
"Расх на персонал, млрд руб",360.0
"Процентные расходы, млрд руб",24.7
"Активы, млрд руб",8600.0
"Чистые активы, млрд руб",6384.0
"Долг, млрд руб",396.0
"Наличность, млрд руб",1180.0
"Чистый долг, млрд руб",-784.0
"Цена акции ао, руб",6761.0
"Число акций ао, млн",692.9
"Капитализация, млрд руб",4684.0
"EV, млрд руб",3900.0
"Баланс стоимость, млрд руб",6307.0
"EPS, руб",1667.0
"FCF/акцию, руб",1391.0
"BV/акцию, руб",9103.0
"Рентаб EBITDA, %",25.3
"Чистая рентаб, %",14.6
"Доходность FCF, %",20.6
"ROE, %",18.1
"ROA, %",13.4
P/E,4.06
P/FCF,4.86
P/S,0.59
P/BV,0.74
EV/EBITDA,1.95
Долг/EBITDA,-0.39
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",9.0
IR рейтинг,2.4
Качество фин.отчетности,1.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,3.0
Обратная связь,1.0
