Показатель,value_float
"Производство стали, млн т",11.2
"Пр-во продукции, млн т",9.94
"Продажи стали, млн т",10.6
"Выручка, млрд руб",768.5
"Операционная прибыль, млрд руб",99.7
"EBITDA, млрд руб",153.0
"Чистая прибыль, млрд руб",79.9
"Опер.денежный поток, млрд руб",113.5
"CAPEX, млрд руб",101.2
"FCF, млрд руб",30.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",76.4
"Себестоимость, млрд руб",592.4
"Расх на персонал, млрд руб",93.0
"Процентные расходы, млрд руб",1.98
"Активы, млрд руб",913.2
"Чистые активы, млрд руб",688.6
"Долг, млрд руб",47.3
"Наличность, млрд руб",114.4
"Чистый долг, млрд руб",-67.1
"Цена акции ао, руб",38.5
"Число акций ао, млн",11174.0
"Капитализация, млрд руб",430.5
"EV, млрд руб",363.4
"Баланс стоимость, млрд руб",683.2
"EPS, руб",7.15
"FCF/акцию, руб",2.69
"BV/акцию, руб",61.1
"Рентаб EBITDA, %",19.9
"Чистая рентаб, %",10.4
"Доходность FCF, %",7.0
"ROE, %",11.6
"ROA, %",8.7
P/E,5.39
P/FCF,14.3
P/S,0.56
P/BV,0.63
EV/EBITDA,2.38
Долг/EBITDA,-0.44
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",13.0
