Показатель,value_float
"BV/акцию, руб",61.1
"CAPEX, млрд руб",101.2
"CAPEX/Выручка, %",13.0
"EBITDA, млрд руб",153.0
"EPS, руб",7.15
"EV, млрд руб",363.4
EV/EBITDA,2.38
"FCF, млрд руб",30.0
"FCF/акцию, руб",2.69
P/BV,0.63
P/E,5.39
P/FCF,14.3
P/S,0.56
"R&D/CAPEX, %",0.0
"ROA, %",8.7
"ROE, %",11.6
"Активы, млрд руб",913.2
"Амортизация, млрд руб",NO_DATA
"Баланс стоимость, млрд руб",683.2
"Выручка, млрд руб",768.5
"Див доход, ао, %",6.5
"Дивиденды/прибыль, %",35.0
"Долг, млрд руб",47.3
Долг/EBITDA,-0.44
"Доходность FCF, %",7.0
"Капитализация, млрд руб",430.5
"Наличность, млрд руб",114.4
"Опер. расходы, млрд руб",76.4
"Опер.денежный поток, млрд руб",113.5
"Операционная прибыль, млрд руб",99.7
"Рентаб EBITDA, %",19.9
"Цена акции ао, руб",38.5
"Число акций ао, млн",11174.0
"Чистая прибыль, млрд руб",79.9
"Чистая рентаб, %",10.4
"Чистые активы, млрд руб",688.6
"Чистый долг, млрд руб",-67.1
