date,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact
2025-01-23,1,0,0,0,0,0,0,1,1.5
2025-01-24,0,0,0,0,0,0,0,0,0.0
2025-01-25,0,0,0,0,0,0,0,0,0.0
2025-01-26,0,0,0,0,0,0,0,0,1.0
2025-01-27,0,0,0,0,0,0,0,0,0.0
2025-01-28,0,0,0,0,0,0,0,0,0.0
2025-01-29,0,0,0,0,0,0,0,0,0.0
2025-01-30,0,0,0,0,0,0,0,0,0.0
2025-01-31,0,0,0,0,0,0,0,0,0.0
2025-02-01,0,0,0,0,0,0,0,0,0.0
2025-02-02,0,0,0,0,0,0,0,0,0.0
2025-02-03,0,0,0,0,0,0,0,0,1.0
2025-02-04,0,0,0,0,0,0,0,0,0.0
2025-02-05,1,0,0,1,0,1,0,1,2.0
2025-02-06,0,0,0,0,0,0,0,0,0.0
2025-02-07,0,0,0,0,0,0,0,0,0.0
2025-02-08,0,0,0,0,0,0,0,0,0.0
2025-02-09,0,0,0,0,0,0,0,0,0.0
2025-02-10,0,0,0,0,0,0,0,0,1.0
2025-02-11,0,0,0,0,0,0,0,0,0.0
2025-02-12,0,0,0,0,0,0,0,0,0.0
2025-02-13,0,0,0,0,0,0,0,0,0.0
2025-02-14,0,0,0,0,0,0,0,0,0.0
2025-02-15,0,0,0,0,0,0,0,0,0.0
2025-02-16,0,0,0,0,0,0,0,0,0.0
2025-02-17,0,0,0,0,0,0,0,0,0.0
2025-02-18,0,0,0,0,0,0,0,0,1.0
2025-02-19,0,0,0,0,0,0,0,0,0.0
2025-02-20,0,0,0,0,0,0,0,0,0.0
2025-02-21,0,0,0,0,0,0,0,0,0.0
2025-02-22,0,0,0,0,0,0,0,0,0.0
2025-02-23,0,0,0,0,0,0,0,0,0.0
2025-02-24,0,0,0,0,0,0,0,0,0.0
2025-02-25,0,0,0,0,0,0,0,0,0.0
2025-02-26,0,0,0,0,0,0,0,0,0.0
2025-02-27,0,0,0,0,0,0,0,0,0.0
2025-02-28,0,0,0,0,0,0,0,0,1.0
2025-03-01,0,0,0,0,0,0,0,0,0.0
2025-03-02,0,0,0,0,0,0,0,0,0.0
2025-03-03,0,0,0,0,0,0,0,0,0.0
2025-03-04,0,0,0,0,0,0,0,0,0.0
2025-03-05,0,0,0,0,0,0,0,0,0.0
2025-03-06,0,0,0,0,0,0,0,0,0.0
2025-03-07,0,0,0,0,0,0,0,0,0.0
2025-03-08,0,0,0,0,0,0,0,0,0.0
2025-03-09,0,0,0,0,0,0,0,0,0.0
2025-03-10,0,0,0,0,0,0,0,0,0.0
2025-03-11,0,0,0,0,0,0,0,0,0.0
2025-03-12,0,0,0,0,0,0,0,0,0.0
2025-03-13,0,0,0,0,0,0,0,0,0.0
2025-03-14,0,0,0,0,0,0,0,0,1.0
2025-03-15,0,0,0,0,0,0,0,0,0.0
2025-03-16,0,0,0,0,0,0,0,0,0.0
2025-03-17,0,0,0,0,0,0,0,0,0.0
2025-03-18,0,0,0,0,0,0,0,0,0.0
2025-03-19,0,0,0,0,0,0,0,0,0.0
2025-03-20,1,0,0,1,0,0,0,1,3.0
2025-03-21,0,0,0,0,0,0,0,0,0.0
2025-03-22,0,0,0,0,0,0,0,0,0.0
2025-03-23,0,0,0,0,0,0,0,0,0.0
2025-03-24,0,0,0,0,0,0,0,0,0.0
2025-03-25,0,0,0,0,0,0,0,0,0.0
2025-03-26,0,0,0,0,0,0,0,0,0.0
2025-03-27,0,0,0,0,0,0,0,0,0.0
2025-03-28,0,0,0,0,0,0,0,0,0.0
2025-03-29,0,0,0,0,0,0,0,0,0.0
2025-03-30,0,0,0,0,0,0,0,0,0.0
2025-03-31,0,0,0,0,0,0,0,0,0.0
2025-04-01,0,0,0,0,0,0,0,0,0.0
2025-04-02,0,0,0,0,0,0,0,0,0.0
2025-04-03,0,0,0,0,0,0,0,0,0.0
2025-04-04,0,0,0,0,0,0,0,0,0.0
2025-04-05,0,0,0,0,0,0,0,0,0.0
2025-04-06,0,0,0,0,0,0,0,0,0.0
2025-04-07,0,0,0,0,0,0,0,0,0.0
2025-04-08,0,0,0,0,0,0,0,0,0.0
2025-04-09,0,0,0,0,0,0,0,0,0.0
2025-04-10,0,0,0,0,0,0,0,0,1.0
