id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
59787,2024-04-12 11:02:38+00:00,"#CHMF 
**Северсталь подала ходатайство о мировом соглашении по делу металлургов** — Интерфакс",['MAGN'],[],['MAGN'],False,MAGN,Магнитогорский металлургический комбинат,металлургия,industry,CHMF Северсталь подала ходатайство о мировом соглашении по делу металлургов Интерфакс,0.27272727272727276,0.0,0.8181818181818181,0.18181818181818185,0.13636363636363638,positive,positive,False,False,False,False,False,False,False,False,1,positive
59933,2024-04-17 16:32:57+00:00,"#CHMF**
****⚡️**** Северсталь может раскрыть рекомендацию совета директоров по выплате квартальных дивидендов 23 апреля —** топ-менеджер",['MAGN'],[],['MAGN'],False,MAGN,Магнитогорский металлургический комбинат,металлургия,industry,CHMF Северсталь может раскрыть рекомендацию совета директоров по выплате квартальных дивидендов 23 апреля топ-менеджер,0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,True,False,False,True,False,False,True,3,neutral
59949,2024-04-18 07:08:39+00:00,"#MAGN #Отчетность
🖨 ММК: производственные результаты 1кв2024

Выплавка стали 2.97 млн т (-4.7% кв/кв) 
Продажи  2.73 млн т (-5.5% кв/кв)",['MAGN'],['MAGN'],[],False,MAGN,Магнитогорский металлургический комбинат,металлургия,company_specific,MAGN Отчетность ММК: производственные результаты 1кв2024 Выплавка стали 2.97 млн т (-4.7 квкв) Продажи 2.73 млн т (-5.5 квкв),0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,False,False,False,False,False,False,True,2,neutral
60028,2024-04-20 08:02:25+00:00,"**👍**** Главное на прошедшей неделе**

**🧠**** Мозговой центр Сигналов РЦБ:**
**• **[**Открыл **](https://t.me/cbrstocks/59903)**идею по акциям Россети МР ****#MSRS**
Цель: 1.578
Срок: 3 месяца
Цена открытия: 1.4345 руб

**• **[**Открыл**](https://t.me/cbrstocks/59996)** идею на шорт фьючерса на Новатэк NOTK-6.24 **
Цель: 115 000 руб
Срок: июнь
Цена открытия: 131 715 руб
**
• **[**Удвоился**](https://t.me/cbrstocks/60004)** в идее по Русагро ****#AGRO**
Цель: 1700 руб.
Средняя цена: 1460.5 руб.
Срок: август 2024

• **Подтвердил актуальность идеи по ГК Позитив **на фоне [позитивного сентимента](https://t.me/cbrstocks/59854) и [притока средств](https://t.me/cbrstocks/59992) инвесторов после разморозки SPO ASTR #POSI

**💰 Дивиденды**
**• СД Акрона **[**рекомендовал**](https://t.me/cbrstocks/59829)** выплатить 427 руб на акцию за 2023 год.** 
Доходность 2.4%

• **СД ТМК **[**рекомендовал**](https://t.me/cbrstocks/59983)** дивиденды финальные 9.51 руб./акция** за 2023 год
Доходность 4%

**• СД Инарктики 19 апреля **[**рассмотрел**](https://t.me/cbrstocks/59850)** дивиденды за 2023 год**
Решение еще не было опубликовано. Аналитики ожидают 33.6 руб на акцию (доходность 3.7%)

**• СД Алросы **[**рекомендовал**](https://t.me/cbrstocks/59860)** дивиденды за 2023 год — 2.02 руб на акцию**
Доходность 2.64%

**• СД Татнефти 23 апреля **[**обсудит**](https://t.me/cbrstocks/59898)** финальные дивиденды за 2023 ****#TATN**** ****#TATNP**
Консенсус-прогноз аналитиков 26.6 руб на акцию, доходность 3.7%

**• ВСМПО-АВИСМА проведет ГОСА по дивидендам 18 апреля ****#VSMO****
**Рекомендации СД по дивидендам нет

**• Северсталь **[**может раскрыть**](https://t.me/cbrstocks/59933)** рекомендацию выплате квартальных дивидендов 23 апреля**

**• Акционеры ЛСР **[**утвердили**](https://t.me/cbrstocks/59932)** дивиденд за 2023 год — 100 руб на акцию** #LSRG
Доходность 8.9%

**🖨**** Отчетности**
• **ЛСР: **[**результаты**](https://t.me/cbrstocks/59838)** за 1кв2024** #LSRG**
**Продажи: 32 млрд руб (+23.1% г/г)

• **НЛМК: **[**МСФО**](https://t.me/cbrstocks/59847)** 2023** #NLMK
Выручка 933 млрд руб (+4% г/г) 
Чистая прибыль 209 млрд руб (+26% г/г)

•** X5 Group: **[**операционные результаты**](https://t.me/cbrstocks/59849)** за 1кв2024** #FIVE
Выручка — 882.2 млрд руб (+26.9% г/г) 
LFL продажи +14.8% 

**• ММК: **[**производственные результаты**](https://t.me/cbrstocks/59949)** 1кв2024** #MAGN
Выплавка стали 2.97 млн т (-4.7% кв/кв) 
Продажи  2.73 млн т (-5.5% кв/кв)

**•  Фосагро: **[**производственные результаты**](https://t.me/cbrstocks/59954)** 1кв2024** #PHOR
Общие продажи 3.1 млн т (+11.4% г/г)

**• Яндекс **[**объявил**](https://t.me/cbrstocks/59995)** о публикации отчетности 26 апреля** #YNDX
Это будет первая отчетность МКПАО Яндекс

**💸 IPO/SPO**
•** Астра **[**провела**](https://t.me/cbrstocks/59987)** SPO по 555 руб
**Объем сделки составил 11.7 млрд руб
Допвыпуска акций не было — доли акционеров не размывались.

**• МТС Банк **[**установил**](https://t.me/cbrstocks/59985)** диапазон цены размещения на IPO: 2350-2500 руб на акцию**
Акции начнут торговаться 25 апреля. Сообщается, что книга заявок на участие в IPO переподписана в 2 раза.","['MTSS', 'NVTK', 'PHOR', 'MAGN', 'TATN']","['TATN', 'MAGN', 'PHOR']","['MTSS', 'NVTK', 'PHOR', 'MAGN']",False,MAGN,Магнитогорский металлургический комбинат,металлургия,company_specific,"Главное на прошедшей неделе Мозговой центр Сигналов РЦБ: Открыл ( по акциям Россети МР MSRS Цель: 1.578 Срок: 3 месяца Цена открытия: 1.4345 руб Открыл( идею на шорт фьючерса на Новатэк NOTK-6.24 Цель: 115 000 руб Срок: июнь Цена открытия: 131 715 руб Удвоился( в идее по Русагро AGRO Цель: 1700 руб. Средняя цена: 1460.5 руб. Срок: август 2024 Подтвердил актуальность идеи по ГК Позитив на фоне позитивного сентимента( и притока средств( инвесторов после разморозки SPO ASTR POSI Дивиденды СД Акрона рекомендовал( выплатить 427 руб на акцию за 2023 год. Доходность 2.4 СД ТМК рекомендовал( дивиденды финальные 9.51 руб.акция за 2023 год Доходность 4 СД Инарктики 19 апреля рассмотрел( дивиденды за 2023 год Решение еще не было опубликовано. Аналитики ожидают 33.6 руб на акцию (доходность 3.7) СД Алросы рекомендовал( дивиденды за 2023 год 2.02 руб на акцию Доходность 2.64 СД Татнефти 23 апреля обсудит( финальные дивиденды за 2023 TATN TATNP Консенсус-прогноз аналитиков 26.6 руб на акцию, доходность 3.7 ВСМПО-АВИСМА проведет ГОСА по дивидендам 18 апреля VSMO Рекомендации СД по дивидендам нет Северсталь может раскрыть( рекомендацию выплате квартальных дивидендов 23 апреля Акционеры ЛСР утвердили( дивиденд за 2023 год 100 руб на акцию LSRG Доходность 8.9 Отчетности ЛСР: результаты( за 1кв2024 LSRG Продажи: 32 млрд руб (23.1 гг) НЛМК: МСФО( 2023 NLMK Выручка 933 млрд руб (4 гг) Чистая прибыль 209 млрд руб (26 гг) X5 Group: операционные результаты( за 1кв2024 FIVE Выручка 882.2 млрд руб (26.9 гг) LFL продажи 14.8 ММК: производственные результаты( 1кв2024 MAGN Выплавка стали 2.97 млн т (-4.7 квкв) Продажи 2.73 млн т (-5.5 квкв) Фосагро: производственные результаты( 1кв2024 PHOR Общие продажи 3.1 млн т (11.4 гг) Яндекс объявил( о публикации отчетности 26 апреля YNDX Это будет первая отчетность МКПАО Яндекс IPOSPO Астра провела( SPO по 555 руб Объем сделки составил 11.7 млрд руб Допвыпуска акций не было доли акционеров не размывались. МТС Банк установил( диапазон цены размещения на IPO: 2350-2500 руб на акцию Акции начнут торговаться 25 апреля. Сообщается, что книга заявок на участие в IPO переподписана в 2 раза.",0.06584772826244739,0.0,0.9561015144917018,0.04389848550829826,0.032923864131223696,neutral,positive,True,True,False,True,False,False,False,True,4,positive
60067,2024-04-23 05:13:49+00:00,"#NLMK #CHMF #MAGN
Мировое соглашение по делу металлургов не отменяет штрафов, но их размер будет разумным и необременительным - Минпромторг - Интерфакс",['MAGN'],['MAGN'],[],False,MAGN,Магнитогорский металлургический комбинат,металлургия,company_specific,"NLMK CHMF MAGN Мировое соглашение по делу металлургов не отменяет штрафов, но их размер будет разумным и необременительным - Минпромторг - Интерфакс",-0.11249999999999998,0.175,0.725,0.1,-0.89625,neutral,negative,False,False,False,False,False,False,False,False,1,negative
60089,2024-04-23 11:49:14+00:00,"#CHMF [Северсталь](https://www.tinkoff.ru/invest/stocks/CHMF?utm_source=security_share)
💰 **Решения СД**

Текущая цена: 1879.6 ₽

1. Рекомендовать годовому общему собранию акционеров ПАО «Северсталь» по итогам 2023 года выплатить **дивиденды** по результатам первого квартала 2024 года в размере 38 рублей 30 копеек на одну обыкновенную именную акцию. Форма выплаты **дивидендов:** денежные средства. Выплата **дивидендов** в денежной форме осуществляется в безналичном порядке обществом. Предложить 18 июня 2024 года в качестве даты, на которую определяются лица, имеющие право на получение **дивидендов** по результатам первого квартала 2024 года.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=ZmxujbwNSEW41Dka6n9fGQ-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['MAGN'],[],['MAGN'],False,MAGN,Магнитогорский металлургический комбинат,металлургия,industry,"CHMF Северсталь( Решения СД Текущая цена: 1879.6 1. Рекомендовать годовому общему собранию акционеров ПАО Северсталь по итогам 2023 года выплатить дивиденды по результатам первого квартала 2024 года в размере 38 рублей 30 копеек на одну обыкновенную именную акцию. Форма выплаты дивидендов: денежные средства. Выплата дивидендов в денежной форме осуществляется в безналичном порядке обществом. Предложить 18 июня 2024 года в качестве даты, на которую определяются лица, имеющие право на получение дивидендов по результатам первого квартала 2024 года. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.05,0.0,0.9940476190476191,0.005952380952380954,0.025,neutral,neutral,True,True,False,True,False,False,False,True,4,neutral
60090,2024-04-23 12:03:18+00:00,"#CHMF #Отчетность
**🖨 Северсталь: операционные и финансовые результаты 1кв2024**

Выручка 188.7 млрд руб (+20% г/г)
EBITDA 65.3 млрд руб (+25% г/г)
Чистая прибыль 47.41 млрд руб (+13% г/г)

Производство стали 2.9 млн т (+7% г/г)
Продажи стали 2.47 млн т (-11% г/г)",['MAGN'],[],['MAGN'],False,MAGN,Магнитогорский металлургический комбинат,металлургия,industry,CHMF Отчетность Северсталь: операционные и финансовые результаты 1кв2024 Выручка 188.7 млрд руб (20 гг) EBITDA 65.3 млрд руб (25 гг) Чистая прибыль 47.41 млрд руб (13 гг) Производство стали 2.9 млн т (7 гг) Продажи стали 2.47 млн т (-11 гг),0.27439024390243905,0.0,0.8170731707317073,0.1829268292682927,0.13719512195121952,positive,positive,True,False,False,False,False,False,False,True,2,positive
60097,2024-04-23 13:29:03+00:00,"#MAGN #Отчетность 
❗️ ММК 25 апреля отчитается по МСФО за 1кв2024",['MAGN'],['MAGN'],[],False,MAGN,Магнитогорский металлургический комбинат,металлургия,company_specific,MAGN Отчетность ММК 25 апреля отчитается по МСФО за 1кв2024,0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,False,False,False,False,False,False,True,2,neutral
60120,2024-04-24 06:08:40+00:00,"#CHMF
**Северсталь и ФАС договорились о снижении штрафа почти в 10 раз**: с 8.7 млрд до 900 млн рублей — Ведомости

Мировое соглашение в мае должен утвердить суд.",['MAGN'],[],['MAGN'],False,MAGN,Магнитогорский металлургический комбинат,металлургия,industry,CHMF Северсталь и ФАС договорились о снижении штрафа почти в 10 раз: с 8.7 млрд до 900 млн рублей Ведомости Мировое соглашение в мае должен утвердить суд.,-0.4166666666666667,0.35185185185185186,0.5740740740740741,0.07407407407407408,-1.0,negative,negative,False,False,False,True,False,False,False,True,2,negative
60150,2024-04-24 14:51:22+00:00,"#MAGN #Прогноз
**🔮**** Консенсус-прогноз аналитиков, подготовленный Интерфаксом, по предстоящей отчетности ММК за 1кв2024**

Выручка 192.8 млрд руб
EBITDA 41 млрд руб 
FCF 8.5 млрд руб

Компания не отчитывалась за 1кв2023 и 4кв2023",['MAGN'],['MAGN'],[],False,MAGN,Магнитогорский металлургический комбинат,металлургия,company_specific,"MAGN Прогноз Консенсус-прогноз аналитиков, подготовленный Интерфаксом, по предстоящей отчетности ММК за 1кв2024 Выручка 192.8 млрд руб EBITDA 41 млрд руб FCF 8.5 млрд руб Компания не отчитывалась за 1кв2023 и 4кв2023",0.16935483870967744,0.0,0.8870967741935484,0.11290322580645162,0.08467741935483872,neutral,positive,True,False,False,False,False,False,False,True,2,positive
