date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-06-01,55.185,55.185,54.82,54.95,87714,,54.95,,,,,,,,0.0,87714,,,,,0.0,,,,,,,,,
2024-06-02,54.525,55.39,54.8,55.39,38260,,54.99190476190476,,,,,,,,0.0,125974,,,,,0.0,,,,,,,,,
2024-06-03,55.55,56.78,54.17,56.47,3695533,,55.13267573696145,,,,,,,,0.0,3821507,,,,,0.0,,,,,,,,,
2024-06-04,56.47,57.25,56.005,56.595,1873713,,55.2719447143937,,,,,,,,0.0,5695220,,,,,0.0,,,,,,,,,
2024-06-05,56.595,56.925,55.89,56.0,1492145,,55.34128331302287,,,,,,,,0.0,4203075,,,,,0.0,,,,,,,,,
2024-06-06,56.0,56.245,55.225,55.91,1419409,,55.39544680702069,,,,,,,,0.0,2783666,,,,,0.0,,,,,,,,,
2024-06-07,55.91,56.915,55.32,56.68,3676111,,55.51778520635205,,,,,,,,0.0,6459777,,,,,0.0,,,,,,,,,
2024-06-10,54.46,55.84,54.46,55.06,4444299,,55.4741866152709,,,,,,,,0.0,2015478,,,,,0.0,,,,,,,,,
2024-06-11,54.845,55.41,54.595,55.005,1432348,,55.42950217572129,,,,,,,,0.0,583130,,,,,0.0,,,,,55.71,,,,
2024-06-12,55.215,55.215,52.26,52.61,180646,,55.16097815898593,,,,,,,,0.0,402484,,,,,0.0,,,,,54.754999999999995,,52.61,,
2024-06-13,53.0,55.225,52.61,55.01,2376655,,55.14659928670155,,,,,,,,0.0,2779139,,,,,0.0,,,,,54.754999999999995,,52.62119290610422,0.1091901728844316,
2024-06-14,55.03,56.275,54.885,55.845,2026599,,55.21311364034902,,,,,,,,0.0,4805738,,,,,0.0,,,,,54.754999999999995,,52.64848526473316,0.8214479147860594,
2024-06-15,56.065,55.995,55.535,55.665,48606,,55.25615043650626,,,,,,,,0.0,4757132,,,,,0.0,,,,,54.5925,,52.69047935457651,-1.4255356826633605,
2024-06-16,55.62,55.83,55.565,55.63,32323,,55.291755156838995,55.362666666666655,52.79220923123868,67.53507014028062,,,,,1.3699999999999999,4724809,,,,,0.0,,,,-32.464929859719376,54.5875,,52.739593216998344,-1.705097623464964,
2024-06-17,55.845,55.94,54.74,54.93,1806682,,55.25730228475909,55.28838095238095,47.80911828167215,53.507014028056126,,,,,1.3578571428571424,2918127,,,,,0.0,0.9540344741443919,0.9203097676742447,,-46.492985971943874,54.5875,,52.779794436763574,-1.910714285714286,
2024-06-18,54.92,55.2,53.6,53.93,1158288,,55.13089254335346,55.08095238095238,41.746799048188755,33.46693386773549,51.50300601202408,,,,1.3751530612244895,1759839,,,,,0.0,0.9029726516052322,0.9690844233055886,,-66.53306613226451,54.2675,,52.818677101917174,-3.5414058307994942,
2024-06-19,54.005,54.005,51.225,52.155,2060454,,54.847474205891224,54.65076190476191,33.60206245995121,15.435684647302903,34.1365441810315,,,,1.475499271137026,-300615,,,,,0.0,0.8214201462609106,1.091295116772824,,-84.5643153526971,53.75,,52.75393471512932,-7.9834156669019025,
2024-06-20,52.0,54.715,52.0,54.38,3125238,,54.802952852949204,54.55833333333333,47.44388954903716,55.350877192982516,34.751165236006976,,,,1.5640350374843817,2824623,,,,,0.0,0.7862342819324951,1.0747849106551952,,-44.649122807017484,53.75,,52.77013513223483,-1.2350163458045762,
2024-06-21,54.31,54.63,53.505,53.855,1048541,,54.7126716288588,54.417,45.05709003058593,46.221441124780256,39.002667655021895,,,,1.5326753919497829,1776082,,,,,0.0,0.8582729070533951,1.063941990771259,,-53.778558875219744,53.75,,52.786252509811874,-2.0907190255431427,
2024-06-22,53.64,53.88,53.605,53.61,15509,54.984,54.6076552832532,54.26342857142857,43.94600693630431,41.915641476274146,47.829319931345644,57.418963244075776,54.984,52.54903675592423,1.4428414353819417,1760573,0.18714779638068768,,,,0.0,0.8882326215356656,1.0692866878691503,-93.67714939360398,-58.08435852372586,53.75,,52.79916824771651,1.9007793195210039,
2024-06-23,53.64,53.85,53.585,53.65,9465,54.919,54.516450018181466,54.137095238095235,44.187992597832285,48.01980198019799,45.3856281937508,57.42256266148863,54.919,52.41543733851137,1.3587099042832318,1770038,0.18824461196925663,,,,0.0,0.8754835589941976,1.1075918762088974,-82.27303988995864,-51.98019801980201,53.61,,52.824585565724064,-2.472277767678603,
2024-06-24,53.915,53.915,53.03,53.725,992657,54.835750000000004,54.44107382597371,54.049619047619046,44.67030376693821,49.504950495049535,46.48013131717389,57.381503866735756,54.835750000000004,52.28999613326425,1.3248734825487152,2762695,0.1988327621308675,,,,0.0,0.9260790902041872,1.0995089170328252,-81.15176886887926,-50.495049504950465,53.582499999999996,,52.881876909373624,-3.796221685021036,
2024-06-25,53.56,55.04,53.12,55.115,1186618,54.76800000000001,54.50525727111907,54.16019047619047,52.80967512319838,77.02970297029708,58.184818481848204,57.206020508527374,54.76800000000001,52.32997949147264,1.3673825195095213,3949313,0.16464610714160074,,,,0.0,0.9278728606356969,1.0180929095354523,-21.05380292661225,-22.970297029702916,53.582499999999996,,52.90690313054796,-0.9880535345369571,
2024-06-26,55.12,55.705,54.27,54.49,2297916,54.66275,54.50380419767916,54.18638095238095,49.29801926700464,64.6534653465347,63.72937293729378,56.95349327457269,54.66275,52.37200672542731,1.3722123395445551,1651397,0.11387342885811058,,,,0.0,1.106180665610143,0.9741151611199158,12.550817667736666,-35.3465346534653,53.465,,52.939883637473336,-2.0492539996404826,
