Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"10,73","9,36","14,4","9,08","8,49",Мультипликаторы
P/B,"22,95","60,81","-50,09","-97,18","-11,05",Мультипликаторы
P/S,"1,33","1,14","0,88","0,82","0,59",Мультипликаторы
P/CF,"4,24","4,16","2,46","3,57","2,62",Мультипликаторы
P/FCF,"10,61","11,02","12,61","11,06","29,75",Мультипликаторы
EV/S,"1,97","1,89","1,6","1,55","1,27",Мультипликаторы
EV/EBITDA,"4,51","4,3","3,88","3,94","3,66",Мультипликаторы
EV/EBIT,"8,4","8,36","8,11","7,61","6,69",Мультипликаторы
Коэффициент долга,"0,96","0,99","1,0","1,0","1,01",Мультипликаторы
D/E,"27,12","68,56","-300,4","749,9","-136,03",Мультипликаторы
CAPEX/Выручка,"19,68","21,43","21,08","16,75","18,81",Мультипликаторы
NetDebt/EBITDA,"1,47","1,7","1,75","1,86","1,95",Мультипликаторы
Долг/EBITDA,"2,68","2,7","2,87","2,9","3,25",Мультипликаторы
ROE,"189,88","440,08","-1000,66","3228,43","-456,65",Мультипликаторы
ROA,"6,75","6,33","3,34","4,3","3,38",Мультипликаторы
Return on Sales,"23,48","22,58","19,7","20,3","18,98",Мультипликаторы
ROIC,"15,29","17,7","14,99","21,99","35,15",Мультипликаторы
ROCE,"19,68","21,69","19,79","25,93","34,54",Мультипликаторы
Net Margin,"12,54","12,33","6,78","9,16","7,29",Мультипликаторы
Операционная маржа,"22,81","22,39","20,07","20,27","19,32",Мультипликаторы
EBITDA рентабельность,"43,73","43,89","41,13","39,17","34,72",Мультипликаторы
Тек. ливкидность,"0,8","0,56","0,55","0,5","0,48",Мультипликаторы
Валовая маржа,"62,53","61,92","64,19","64,42","60,94",Мультипликаторы
Выручка,494 926,521 189,534 116,605 991,703 741,Финансовые показатели
Валовая прибыль,309 501,322 697,342 846,390 370,428 853,Финансовые показатели
EBITDA,216 435,228 749,219 686,237 377,244 308,Финансовые показатели
EBIT,116 230,117 661,105 195,123 018,133 551,Финансовые показатели
Процентные доходы,3 437,2 468,1 757,2 484,6 721,Финансовые показатели
Процентные расходы,42 084,41 219,58 262,60 106,104 794,Финансовые показатели
Чистые процентные доходы/расходы,-  38 647,-  38 751,-  56 505,-  57 622,-  98 073,Финансовые показатели
Операционный доход,112 893,116 675,107 203,122 846,135 930,Финансовые показатели
Расходы на персонал,87 983,94 355,107 693,131 523,152 922,Финансовые показатели
Прибыль до налогов,77 583,78 089,48 690,65 396,35 478,Финансовые показатели
Чистая прибыль,62 073,64 269,36 194,55 529,51 300,Финансовые показатели
Капитал на акционеров,28 700,9 766,-  9 367,-  5 098,-  37 679,Финансовые показатели
Активы,919 203,1 015 818,1 082 930,1 291 545,1 516 963,Финансовые показатели
CA Оборотные активы,262 354,263 300,300 883,405 608,538 494,Финансовые показатели
Денежные средства и их эквиваленты,109 380,67 939,102 307,104 233,189 357,Финансовые показатели
Обязательства,886 513,1 001 214,1 086 547,1 289 825,1 528 197,Финансовые показатели
Собственный капитал,32 690,14 604,-  3 617,1 720,-  11 234,Финансовые показатели
Капитал на акционеров,61 412,63 473,32 574,54 552,49 048,Финансовые показатели
Внеоборотные активы,656 849,752 518,782 047,885 937,978 469,Финансовые показатели
CFO операционные денежные потоки,155 507,142 846,190 592,138 714,158 959,Финансовые показатели
FCF на акцию,62 100,53 900,37 200,44 800,14 000,Финансовые показатели
Инвестиционный денежный поток,-  81 133,-  116 432,-  118 238,-  150 640,-  176 029,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  27 360,-  71 214,-  34 622,2 554,50 144,Финансовые показатели
CB Текущие кредиты,34 125,111 839,117 747,241 187,401 775,Финансовые показатели
Общий долг,317 600,389 500,383 700,441 000,477 100,Финансовые показатели
Текущие обязательства,328 614,473 420,551 345,817 137,1 130 265,Финансовые показатели
CL Текущая аренда,16 177,18 709,19 608,20 509,23 092,Финансовые показатели
Долгосрочная аренда,134 637,135 800,123 894,113 003,98 411,Финансовые показатели
Долгосрочные кредиты,395 143,350 300,368 393,312 868,270 004,Финансовые показатели
Долгосрочные обязательства,557 899,527 794,535 202,472 688,397 932,Финансовые показатели
Чистый долг,580 082,616 648,629 642,687 567,793 282,Финансовые показатели
Общие расходы,196 608,206 022,235 643,267 524,292 923,Финансовые показатели
