Показатель,value_float
"Акт. абоненты, млн чел",82.4
"Выручка, млрд руб",703.7
"Операционная прибыль, млрд руб",135.9
"EBITDA, млрд руб",246.4
"Чистая прибыль, млрд руб",31.5
"Опер.денежный поток, млрд руб",159.0
"CAPEX, млрд руб",132.4
"FCF, млрд руб",-1.4
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",152.9
"Себестоимость, млрд руб",275.5
"Амортизация, млрд руб",110.5
"Процентные расходы, млрд руб",98.6
"Активы, млрд руб",1517.0
"Чистые активы, млрд руб",-37.7
"Долг, млрд руб",672.0
"Наличность, млрд руб",109.8
"Чистый долг, млрд руб",562.2
"Цена акции ао, руб",209.1
"Число акций ао, млн",1998.0
"Капитализация, млрд руб",417.9
"EV, млрд руб",980.1
"Баланс стоимость, млрд руб",-256.8
"EPS, руб",15.8
"FCF/акцию, руб",-0.7
"BV/акцию, руб",-128.5
"Рентаб EBITDA, %",35.0
"Чистая рентаб, %",4.5
"Доходность FCF, %",-0.3
"ROE, %",-83.6
"ROA, %",2.1
P/E,13.3
P/FCF,-298.5
P/S,0.59
P/BV,-1.63
EV/EBITDA,3.98
Долг/EBITDA,2.28
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",19.0
IR рейтинг,3.6
Качество фин.отчетности,4.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,3.0
Годовой отчет,3.0
Сайт для инвесторов,4.0
Календарь инвесторов,1.0
Обратная связь,5.0
