Показатель,value_float
"BV/акцию, руб",-128.5
"CAPEX, млрд руб",132.4
"CAPEX/Выручка, %",19.0
"EBITDA, млрд руб",246.4
"EPS, руб",15.8
"EV, млрд руб",980.1
EV/EBITDA,3.98
"FCF, млрд руб",-1.4
"FCF/акцию, руб",-0.7
P/BV,-1.63
P/E,13.3
P/FCF,-298.5
P/S,0.59
"R&D/CAPEX, %",0.0
"ROA, %",2.1
"ROE, %",-83.6
"Активы, млрд руб",1517.0
"Амортизация, млрд руб",110.5
"Баланс стоимость, млрд руб",-256.8
"Выручка, млрд руб",703.7
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",672.0
Долг/EBITDA,2.28
"Доходность FCF, %",-0.3
"Капитализация, млрд руб",417.9
"Наличность, млрд руб",109.8
"Опер. расходы, млрд руб",152.9
"Опер.денежный поток, млрд руб",159.0
"Операционная прибыль, млрд руб",135.9
"Рентаб EBITDA, %",35.0
"Цена акции ао, руб",209.1
"Число акций ао, млн",1998.0
"Чистая прибыль, млрд руб",31.5
"Чистая рентаб, %",4.5
"Чистые активы, млрд руб",-37.7
"Чистый долг, млрд руб",562.2
