id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple
59985,2024-04-19 06:01:28+00:00,"#MBNK
МТС Банк установил диапазон цены размещения на IPO: 2350-2500 руб на акцию",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,MBNK МТС Банк установил диапазон цены размещения на IPO: 2350-2500 руб на акцию,0.23076923076923078,0.0,0.8461538461538461,0.15384615384615385,0.11538461538461539,positive,positive
60001,2024-04-19 10:49:00+00:00,"#MBNK #IPO
Книга заявок на участие в IPO МТС Банка переподписана в 2 раза, есть высокий интерес со стороны розничных и институциональных инвесторов - Интерфакс",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,"MBNK IPO Книга заявок на участие в IPO МТС Банка переподписана в 2 раза, есть высокий интерес со стороны розничных и институциональных инвесторов - Интерфакс",0.1875,0.0,0.875,0.125,0.09375,neutral,positive
60028,2024-04-20 08:02:25+00:00,"**👍**** Главное на прошедшей неделе**

**🧠**** Мозговой центр Сигналов РЦБ:**
**• **[**Открыл **](https://t.me/cbrstocks/59903)**идею по акциям Россети МР ****#MSRS**
Цель: 1.578
Срок: 3 месяца
Цена открытия: 1.4345 руб

**• **[**Открыл**](https://t.me/cbrstocks/59996)** идею на шорт фьючерса на Новатэк NOTK-6.24 **
Цель: 115 000 руб
Срок: июнь
Цена открытия: 131 715 руб
**
• **[**Удвоился**](https://t.me/cbrstocks/60004)** в идее по Русагро ****#AGRO**
Цель: 1700 руб.
Средняя цена: 1460.5 руб.
Срок: август 2024

• **Подтвердил актуальность идеи по ГК Позитив **на фоне [позитивного сентимента](https://t.me/cbrstocks/59854) и [притока средств](https://t.me/cbrstocks/59992) инвесторов после разморозки SPO ASTR #POSI

**💰 Дивиденды**
**• СД Акрона **[**рекомендовал**](https://t.me/cbrstocks/59829)** выплатить 427 руб на акцию за 2023 год.** 
Доходность 2.4%

• **СД ТМК **[**рекомендовал**](https://t.me/cbrstocks/59983)** дивиденды финальные 9.51 руб./акция** за 2023 год
Доходность 4%

**• СД Инарктики 19 апреля **[**рассмотрел**](https://t.me/cbrstocks/59850)** дивиденды за 2023 год**
Решение еще не было опубликовано. Аналитики ожидают 33.6 руб на акцию (доходность 3.7%)

**• СД Алросы **[**рекомендовал**](https://t.me/cbrstocks/59860)** дивиденды за 2023 год — 2.02 руб на акцию**
Доходность 2.64%

**• СД Татнефти 23 апреля **[**обсудит**](https://t.me/cbrstocks/59898)** финальные дивиденды за 2023 ****#TATN**** ****#TATNP**
Консенсус-прогноз аналитиков 26.6 руб на акцию, доходность 3.7%

**• ВСМПО-АВИСМА проведет ГОСА по дивидендам 18 апреля ****#VSMO****
**Рекомендации СД по дивидендам нет

**• Северсталь **[**может раскрыть**](https://t.me/cbrstocks/59933)** рекомендацию выплате квартальных дивидендов 23 апреля**

**• Акционеры ЛСР **[**утвердили**](https://t.me/cbrstocks/59932)** дивиденд за 2023 год — 100 руб на акцию** #LSRG
Доходность 8.9%

**🖨**** Отчетности**
• **ЛСР: **[**результаты**](https://t.me/cbrstocks/59838)** за 1кв2024** #LSRG**
**Продажи: 32 млрд руб (+23.1% г/г)

• **НЛМК: **[**МСФО**](https://t.me/cbrstocks/59847)** 2023** #NLMK
Выручка 933 млрд руб (+4% г/г) 
Чистая прибыль 209 млрд руб (+26% г/г)

•** X5 Group: **[**операционные результаты**](https://t.me/cbrstocks/59849)** за 1кв2024** #FIVE
Выручка — 882.2 млрд руб (+26.9% г/г) 
LFL продажи +14.8% 

**• ММК: **[**производственные результаты**](https://t.me/cbrstocks/59949)** 1кв2024** #MAGN
Выплавка стали 2.97 млн т (-4.7% кв/кв) 
Продажи  2.73 млн т (-5.5% кв/кв)

**•  Фосагро: **[**производственные результаты**](https://t.me/cbrstocks/59954)** 1кв2024** #PHOR
Общие продажи 3.1 млн т (+11.4% г/г)

**• Яндекс **[**объявил**](https://t.me/cbrstocks/59995)** о публикации отчетности 26 апреля** #YNDX
Это будет первая отчетность МКПАО Яндекс

**💸 IPO/SPO**
•** Астра **[**провела**](https://t.me/cbrstocks/59987)** SPO по 555 руб
**Объем сделки составил 11.7 млрд руб
Допвыпуска акций не было — доли акционеров не размывались.

**• МТС Банк **[**установил**](https://t.me/cbrstocks/59985)** диапазон цены размещения на IPO: 2350-2500 руб на акцию**
Акции начнут торговаться 25 апреля. Сообщается, что книга заявок на участие в IPO переподписана в 2 раза.","['MAGN', 'NVTK', 'MTSS', 'TATN', 'PHOR']","['TATN', 'MAGN', 'PHOR']","['MTSS', 'NVTK', 'PHOR', 'MAGN']",False,MTSS,МТС,телекоммуникации,industry,"Главное на прошедшей неделе Мозговой центр Сигналов РЦБ: Открыл ( по акциям Россети МР MSRS Цель: 1.578 Срок: 3 месяца Цена открытия: 1.4345 руб Открыл( идею на шорт фьючерса на Новатэк NOTK-6.24 Цель: 115 000 руб Срок: июнь Цена открытия: 131 715 руб Удвоился( в идее по Русагро AGRO Цель: 1700 руб. Средняя цена: 1460.5 руб. Срок: август 2024 Подтвердил актуальность идеи по ГК Позитив на фоне позитивного сентимента( и притока средств( инвесторов после разморозки SPO ASTR POSI Дивиденды СД Акрона рекомендовал( выплатить 427 руб на акцию за 2023 год. Доходность 2.4 СД ТМК рекомендовал( дивиденды финальные 9.51 руб.акция за 2023 год Доходность 4 СД Инарктики 19 апреля рассмотрел( дивиденды за 2023 год Решение еще не было опубликовано. Аналитики ожидают 33.6 руб на акцию (доходность 3.7) СД Алросы рекомендовал( дивиденды за 2023 год 2.02 руб на акцию Доходность 2.64 СД Татнефти 23 апреля обсудит( финальные дивиденды за 2023 TATN TATNP Консенсус-прогноз аналитиков 26.6 руб на акцию, доходность 3.7 ВСМПО-АВИСМА проведет ГОСА по дивидендам 18 апреля VSMO Рекомендации СД по дивидендам нет Северсталь может раскрыть( рекомендацию выплате квартальных дивидендов 23 апреля Акционеры ЛСР утвердили( дивиденд за 2023 год 100 руб на акцию LSRG Доходность 8.9 Отчетности ЛСР: результаты( за 1кв2024 LSRG Продажи: 32 млрд руб (23.1 гг) НЛМК: МСФО( 2023 NLMK Выручка 933 млрд руб (4 гг) Чистая прибыль 209 млрд руб (26 гг) X5 Group: операционные результаты( за 1кв2024 FIVE Выручка 882.2 млрд руб (26.9 гг) LFL продажи 14.8 ММК: производственные результаты( 1кв2024 MAGN Выплавка стали 2.97 млн т (-4.7 квкв) Продажи 2.73 млн т (-5.5 квкв) Фосагро: производственные результаты( 1кв2024 PHOR Общие продажи 3.1 млн т (11.4 гг) Яндекс объявил( о публикации отчетности 26 апреля YNDX Это будет первая отчетность МКПАО Яндекс IPOSPO Астра провела( SPO по 555 руб Объем сделки составил 11.7 млрд руб Допвыпуска акций не было доли акционеров не размывались. МТС Банк установил( диапазон цены размещения на IPO: 2350-2500 руб на акцию Акции начнут торговаться 25 апреля. Сообщается, что книга заявок на участие в IPO переподписана в 2 раза.",0.06584772826244739,0.0,0.9561015144917018,0.04389848550829826,0.032923864131223696,neutral,positive
60094,2024-04-23 12:30:36+00:00,"**Сбер сливается, МТС покупается 🤑**

[**Шпион**](https://t.me/stockspy_bot?start=promo_time) вновь сигналит о том, что  крупнейшие телеграм каналы, возвращаются в МТС 🎉 

https://t.me/c/1164849828/19757

Мы уже много раз подсвечивали идею в акциях МТС $MTSS, ведь это:

1️⃣ Стабильные ежегодные дивиденды (МТС - это по сути квазиоблигация, которую можно покупать в апреле каждый год и продавать перед отсечкой)
2️⃣ Это косвенное участие в IPO МТС банка 🏦 

Сегодня же, когда Сбер разочаровал игроков низкой дивидендной доходностью, хотя это было очевидно, многие начали искать идеи в бумагах, которые еще не показали сильного роста перед СД по дивидендам 👀

В общем, МТС с первой целью на отметке 340₽ к объявлению дивидендов в мае - это все еще отличная идея 💪 

Хотите знать, куда еще заходят крупные телеграм каналы❓ Подключайте Шпиона с [**ПРОМОКОДом от АТТ**](https://t.me/stockspy_bot?start=promo_time)** **🥳 

[https://t.me/stockspy_bot?start=promo_time](https://t.me/stockspy_bot?start=promo_time)

[**👉 ПОДПИШИСЬ**](https://t.me/+W7EOvM1pixU5ZWIy)","['MTSS', 'SBER']",[],"['SBER', 'MTSS']",True,MTSS,МТС,телекоммуникации,industry,"Сбер сливается, МТС покупается Шпион( вновь сигналит о том, что крупнейшие телеграм каналы, возвращаются в МТС Мы уже много раз подсвечивали идею в акциях МТС MTSS, ведь это: 1 Стабильные ежегодные дивиденды (МТС - это по сути квазиоблигация, которую можно покупать в апреле каждый год и продавать перед отсечкой) 2 Это косвенное участие в IPO МТС банка Сегодня же, когда Сбер разочаровал игроков низкой дивидендной доходностью, хотя это было очевидно, многие начали искать идеи в бумагах, которые еще не показали сильного роста перед СД по дивидендам В общем, МТС с первой целью на отметке 340 к объявлению дивидендов в мае - это все еще отличная идея Хотите знать, куда еще заходят крупные телеграм каналы Подключайте Шпиона с ПРОМОКОДом от АТТ( ПОДПИШИСЬ(",0.05,0.0,0.9681755054963161,0.031824494503683826,0.025,neutral,neutral
60102,2024-04-23 14:13:33+00:00,"#MBNK
Вице-президенты МТС-Банка на встрече с Global Invest Fund в преддверии IPO — [прямой эфир](https://www.youtube.com/watch?v=NBqr_zMVir0)",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,MBNK Вице-президенты МТС-Банка на встрече с Global Invest Fund в преддверии IPO прямой эфир(,0.0,0.0,1.0,0.0,0.0,neutral,neutral
60104,2024-04-23 14:38:28+00:00,"#MBNK #Дивиденды
Ожидаем существенного роста прибыли банка в 2024 году относительно прошлого года — [вице-президент МТС Банка](https://www.youtube.com/watch?v=NBqr_zMVir0)

Прибыли в 2024 году будет достаточно, чтобы выплатить дивиденды. Но мы понимаем, что МТС-Банк — не дивидендная акция. Видим, куда расти, все деньги отдавать на дивиденды не будем. Окончательное решение за акционерами — вице призедент МТС Банка",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,"MBNK Дивиденды Ожидаем существенного роста прибыли банка в 2024 году относительно прошлого года вице-президент МТС Банка( Прибыли в 2024 году будет достаточно, чтобы выплатить дивиденды. Но мы понимаем, что МТС-Банк не дивидендная акция. Видим, куда расти, все деньги отдавать на дивиденды не будем. Окончательное решение за акционерами вице призедент МТС Банка",0.3529411764705882,0.0,0.7647058823529411,0.23529411764705882,0.1764705882352941,positive,positive
60105,2024-04-23 14:52:32+00:00,"#MBNK
Не могу сказать за акционеров, но я таких планов не знаю — [вице-президент МТС Банка](https://www.youtube.com/watch?v=NBqr_zMVir0) о возможном SPO после локап-периода",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,"MBNK Не могу сказать за акционеров, но я таких планов не знаю вице-президент МТС Банка( о возможном SPO после локап-периода",0.0,0.0,1.0,0.0,0.0,neutral,neutral
60112,2024-04-23 17:02:56+00:00,"#MTSS [MTSS](https://www.tinkoff.ru/invest/stocks/MTSS?utm_source=security_share)
СОВЕТ ДИРЕКТОРОВ МТС РЕКОМЕНДОВАЛ ДИВИДЕНДЫ В 35 РУБ./АКЦИЯ, ГОСА ЗАПЛАНИРОВАНО НА 26 ИЮНЯ - КОМПАНИЯ

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['MTSS'],['MTSS'],['MTSS'],False,MTSS,МТС,телекоммуникации,company_specific,"MTSS MTSS( СОВЕТ ДИРЕКТОРОВ МТС РЕКОМЕНДОВАЛ ДИВИДЕНДЫ В 35 РУБ.АКЦИЯ, ГОСА ЗАПЛАНИРОВАНО НА 26 ИЮНЯ - КОМПАНИЯ Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.0,0.0,1.0,0.0,0.0,neutral,neutral
60113,2024-04-23 17:03:59+00:00,"#MTSS #Дивиденды
СД МТС утвердил новую дивполитику на 2024-2026гг, целевой показатель дивдоходности — не менее 35 руб на одну обыкновенную акцию — Интерфакс",['MTSS'],['MTSS'],['MTSS'],False,MTSS,МТС,телекоммуникации,company_specific,"MTSS Дивиденды СД МТС утвердил новую дивполитику на 2024-2026гг, целевой показатель дивдоходности не менее 35 руб на одну обыкновенную акцию Интерфакс",0.05,0.0,0.9761904761904762,0.023809523809523815,0.025,neutral,neutral
60135,2024-04-24 11:07:26+00:00,"#MBNK
Книга заявок на IPO МТС Банка переподписана в пять раз по верхней границе — РБК",['MTSS'],[],['MTSS'],False,MTSS,МТС,телекоммуникации,industry,MBNK Книга заявок на IPO МТС Банка переподписана в пять раз по верхней границе РБК,0.0,0.0,1.0,0.0,0.0,neutral,neutral
