id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text
67528,2025-01-15,"#Товары
**🇨🇳**** Китай начнет субсидировать покупки электроники и техники, чтобы стимулировать спрос**

Китай начнет выплачивать субсидии до 500 юаней (7 000 руб) на мобильные устройства и до 2000 юаней (28 000 руб) на бытовую технику. 

**Стимулирование спроса на покупку в электронике позволит также поддержать и спрос на медь** — электроника и бытовая техника являются важными секторами использования меди.",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,"Товары Китай начнет субсидировать покупки электроники и техники, чтобы стимулировать спрос Китай начнет выплачивать субсидии до 500 юаней (7 000 руб) на мобильные устройства и до 2000 юаней (28 000 руб) на бытовую технику. Стимулирование спроса на покупку в электронике позволит также поддержать и спрос на медь электроника и бытовая техника являются важными секторами использования меди."
51109,2025-01-16,"! #alert
**М.Видео (MVID)**: рост > 10% с предыдущего закрытия",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,! alert М.Видео (MVID): рост 10 с предыдущего закрытия
51123,2025-01-17,"❕ Движения >5% по итогам вчерашнего дня:

   `LSRG    ЛСР ао       +7.95%`
   `MVID    М.видео      +7.40%`
   `SMLT    Самолет ао   +6.24%`
   `PIKK    ПИК ао       +5.66%`

__* среди российских акций 1 эшелона с учётом вечерней сессии__",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,Движения 5 по итогам вчерашнего дня: LSRG ЛСР ао 7.95 MVID М.видео 7.40 SMLT Самолет ао 6.24 PIKK ПИК ао 5.66 среди российских акций 1 эшелона с учётом вечерней сессии
51315,2025-01-22,"**Китай заявил о расширении поддержки для 10 целевых отраслей страны**

Среди них: черная и цветная металлургия, химическая и нефтехимическая промышленность, стройматериалы, машиностроение, автомобилестроение, энергетическое оборудование, легкая промышленность и электроника.

[forexlive.com](https://www.forexlive.com/news/chinas-will-roll-out-a-new-round-of-growth-initiatives-for-10-key-industries-20250122/)",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,"Китай заявил о расширении поддержки для 10 целевых отраслей страны Среди них: черная и цветная металлургия, химическая и нефтехимическая промышленность, стройматериалы, машиностроение, автомобилестроение, энергетическое оборудование, легкая промышленность и электроника. forexlive.com("
67801,2025-01-27,"Владельцы «М.Видео-Эльдорадо» ведут переговоры о продаже торговой сети https://vedomosti.ru/business/articles/2025/01/27/1088631-mvideo-eldorado-prodazhe-biznesa
Уффф",['MVID'],[],['MVID'],True,MVID,М.Видео,ритейл,industry,Владельцы М.Видео-Эльдорадо ведут переговоры о продаже торговой сети Уффф
51546,2025-01-28,"**Группа компаний «М.Видео-Эльдорадо» ведет переговоры с «одним из банков» о продаже бизнеса**

Компания провела аудит и обсуждает возможное заключение сделки с Промсвязьбанком. Сумма потенциальной сделки оценивается в ₽300 млрд ($3.09 млрд).

[gazeta.ru](https://www.gazeta.ru/business/news/2025/01/28/24937772.shtml)",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,Группа компаний М.Видео-Эльдорадо ведет переговоры с одним из банков о продаже бизнеса Компания провела аудит и обсуждает возможное заключение сделки с Промсвязьбанком. Сумма потенциальной сделки оценивается в 300 млрд (3.09 млрд). gazeta.ru(
52622,2025-02-19,"У «М.Видео-Эльдорадо» сменится гендиректор

[rbc.ru](https://www.rbc.ru/technology_and_media/19/02/2025/67b49de99a7947bccdba2aef)
__* MVID: -4.4% за вчерашний день__",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,У М.Видео-Эльдорадо сменится гендиректор rbc.ru( MVID: -4.4 за вчерашний день
68912,2025-03-14,"#MVID
**""М.Видео"" в марте-апреле получит от акционеров 30 млрд рублей на реализацию новой стратегии**
ПАО ""М.Видео"" (группа ""М.Видео-Эльдорадо"") в марте-апреле 2025 года получит от акционеров 30 млрд рублей для реализации новой стратегии на ближайшие три года, говорится в сообщении компании.

[MVID](https://www.tinkoff.ru/invest/stocks/MVID?utm_source=security_share) 118.15₽

👉[Полная новость](http://telegra.ph/MVideo-v-marte-aprele-poluchit-ot-akcionerov-30-mlrd-rublej-na-realizaciyu-novoj-strategii-03-14-2)

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['MVID'],['MVID'],[],False,MVID,М.Видео,ритейл,company_specific,"MVID ""М.Видео"" в марте-апреле получит от акционеров 30 млрд рублей на реализацию новой стратегии ПАО ""М.Видео"" (группа ""М.Видео-Эльдорадо"") в марте-апреле 2025 года получит от акционеров 30 млрд рублей для реализации новой стратегии на ближайшие три года, говорится в сообщении компании. MVID( 118.15 Полная новость( Замечено Шпионом РЦБ. Подключить: StockSpy_bot"
53891,2025-03-14,"Акции «М.Видео» подскочили на 8.5% на новости о докапитализации* компании

[rbc.ru](https://www.rbc.ru/quote/news/article/67d40dc79a79471a2f112fee?from=copy)
* __на сумму ₽30 млрд ($350.9 млн)__",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,Акции М.Видео подскочили на 8.5 на новости о докапитализации компании rbc.ru( на сумму 30 млрд (350.9 млн)
53918,2025-03-15,"❕ Лидеры роста и падения на этой неделе*:

  `MVID  М.видео     +14.64%`
  `PIKK  ПИК ао       -6.99%`

__* среди российских акций 1 и 2 эшелонов с учётом вечерней сессии__",['MVID'],[],['MVID'],False,MVID,М.Видео,ритейл,industry,Лидеры роста и падения на этой неделе: MVID М.видео 14.64 PIKK ПИК ао -6.99 среди российских акций 1 и 2 эшелонов с учётом вечерней сессии
