Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"13,12","19,58","-19,67","-2,81","-4,47",Мультипликаторы
P/B,"2,91","3,81","3,39","4,53","-126,76",Мультипликаторы
P/S,"0,26","0,3","0,17","0,07","0,07",Мультипликаторы
P/CF,"5,16","4,13","3,96","7,69","1,76",Мультипликаторы
P/FCF,"10,63","5,54","14,78","-12,66","2,93",Мультипликаторы
EV/S,"0,38","0,4","0,29","0,23","0,22",Мультипликаторы
EV/EBITDA,"3,1","3,78","5,37","2,71","2,33",Мультипликаторы
EV/EBIT,"6,24","8,24","14,46","14,01","5,97",Мультипликаторы
Коэффициент долга,"0,91","0,91","0,96","0,98","1,0",Мультипликаторы
D/E,"9,77","10,6","24,96","51,35","-1545,24",Мультипликаторы
CAPEX/Выручка,"2,56","1,87","3,06","1,5","1,55",Мультипликаторы
NetDebt/EBITDA,"1,0","0,91","2,26","1,88","1,62",Мультипликаторы
Долг/EBITDA,"2,64","2,89","6,07","4,85","3,67",Мультипликаторы
ROE,"22,21","19,44","-23,79","-161,43","2838,2",Мультипликаторы
ROA,"2,06","1,68","-0,92","-3,08","-1,84",Мультипликаторы
Return on Sales,"6,06","4,85","1,97","1,67","3,75",Мультипликаторы
ROIC,"14,0","13,35","4,13","7,6","23,46",Мультипликаторы
ROCE,"17,11","14,97","8,16","8,58","27,57",Мультипликаторы
Net Margin,"1,95","1,55","-0,84","-2,56","-1,52",Мультипликаторы
Операционная маржа,"6,6","5,43","1,21","1,93","3,75",Мультипликаторы
EBITDA рентабельность,"12,23","10,56","5,31","8,65","9,62",Мультипликаторы
Тек. ливкидность,"0,86","0,88","0,79","0,68","0,71",Мультипликаторы
Валовая маржа,"24,94","23,51","18,38","20,65","21,04",Мультипликаторы
Выручка,365 216,422 089,476 364,402 462,434 390,Финансовые показатели
Валовая прибыль,91 073,99 245,87 579,83 107,91 378,Финансовые показатели
EBITDA,44 649,44 553,25 294,34 828,41 800,Финансовые показатели
EBIT,22 147,20 459,9 395,6 735,16 297,Финансовые показатели
Процентные доходы,295,491,164,1 367,532,Финансовые показатели
Процентные расходы,12 949,12 733,14 417,21 472,24 603,Финансовые показатели
Чистые процентные доходы/расходы,-  12 654,-  12 242,-  14 253,-  20 105,-  24 071,Финансовые показатели
Операционный доход,24 114,22 927,5 764,7 748,16 297,Финансовые показатели
Расходы на персонал,72 546,76 496,87 804,76 417,75 241,Финансовые показатели
Прибыль до налогов,9 493,8 217,-  4 858,-  13 370,-  7 774,Финансовые показатели
Чистая прибыль,7 134,6 541,-  4 003,-  10 299,-  6 613,Финансовые показатели
Капитал на акционеров,32 127,33 639,23 212,6 380,-   233,Финансовые показатели
Активы,346 029,390 121,436 914,333 991,359 809,Финансовые показатели
CA Оборотные активы,187 318,222 582,252 950,174 242,212 298,Финансовые показатели
Денежные средства и их эквиваленты,4 738,7 445,12 053,30 196,18 662,Финансовые показатели
Обязательства,313 902,356 482,420 085,327 611,360 042,Финансовые показатели
Собственный капитал,32 127,33 639,16 829,6 380,-   233,Финансовые показатели
Капитал на акционеров,7 134,6 541,-  4 003,-  10 299,-  6 613,Финансовые показатели
Внеоборотные активы,158 711,167 539,183 964,159 749,147 511,Финансовые показатели
CFO операционные денежные потоки,18 147,31 014,19 895,3 755,16 799,Финансовые показатели
FCF на акцию,8 811,23 101,5 328,-  2 281,10 079,Финансовые показатели
Инвестиционный денежный поток,-  10 984,-  10 377,-  11 147,393,-  6 066,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  27 917,-  17 931,-  4 140,13 995,-  22 267,Финансовые показатели
CB Текущие кредиты,10 658,16 195,40 174,81 715,74 513,Финансовые показатели
Общий долг,44 672,40 483,57 085,65 470,67 773,Финансовые показатели
Текущие обязательства,216 580,253 418,321 822,255 453,300 706,Финансовые показатели
CL Текущая аренда,10 532,10 051,15 797,15 662,19 926,Финансовые показатели
Долгосрочная аренда,57 927,70 702,68 628,57 670,46 859,Финансовые показатели
Долгосрочные кредиты,38 752,31 733,28 964,13 951,11 922,Финансовые показатели
Долгосрочные обязательства,97 322,103 064,98 263,72 158,59 336,Финансовые показатели
Чистый долг,117 869,128 681,153 563,168 998,153 220,Финансовые показатели
Общие расходы,66 959,74 408,81 203,75 359,75 081,Финансовые показатели
