Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"4,43","56,23","12,12",,"9,61",Мультипликаторы
P/B,"2,33","2,35","2,77",,"1,71",Мультипликаторы
P/S,"4,44","5,36","4,54",,"3,24",Мультипликаторы
P/CF,"12,47","22,19","12,51",,"10,27",Мультипликаторы
P/FCF,"23,65","-361,09","21,24",,"21,23",Мультипликаторы
EV/S,"4,56","5,5","4,65",,"3,25",Мультипликаторы
EV/EBITDA,"8,53","9,99","7,19",,"5,01",Мультипликаторы
EV/EBIT,"3,98","35,9","10,9",,"8,43",Мультипликаторы
Коэффициент долга,"0,17","0,2","0,22",,"0,19",Мультипликаторы
D/E,"0,21","0,26","0,29",,"0,24",Мультипликаторы
CAPEX/Выручка,"16,84","25,63","14,91",,"16,32",Мультипликаторы
NetDebt/EBITDA,"0,21","0,26","0,18",,"0,01",Мультипликаторы
Долг/EBITDA,"0,35","0,59","0,25",,"0,25",Мультипликаторы
ROE,"52,99","4,8","23,63",,"18,02",Мультипликаторы
ROA,"43,89","3,82","18,38",,"14,58",Мультипликаторы
Return on Sales,"114,38","15,33","42,68",,"38,57",Мультипликаторы
ROIC,"40,4","3,61","12,15",,"10,3",Мультипликаторы
ROCE,"52,06","5,74","23,86",,"18,13",Мультипликаторы
Net Margin,"102,39","11,04","39,04",,"34,23",Мультипликаторы
Операционная маржа,"100,79","15,88","24,12",,"26,77",Мультипликаторы
EBITDA рентабельность,"53,45","55,07","64,69",,"64,88",Мультипликаторы
Тек. ливкидность,"4,24","2,27","1,48",,"1,86",Мультипликаторы
Выручка,,862 803,711 812,1 156 724,,Финансовые показатели
EBITDA,,461 157,392 008,748 337,,Финансовые показатели
EBIT,,986 907,109 095,493 668,,Финансовые показатели
Процентные доходы,14 003,20 699,25 440,16 000,,Финансовые показатели
Процентные расходы,4 746,4 491,4 939,8 464,,Финансовые показатели
Чистые процентные доходы/расходы,4 746,16 208,20 501,7 536,,Финансовые показатели
Операционный доход,,869 589,113 012,279 046,,Финансовые показатели
Расходы на персонал,22 282,24 568,26 795,34 250,,Финансовые показатели
Прибыль до налогов,,1 003 115,129 596,501 204,,Финансовые показатели
Чистая прибыль,,883 461,78 586,451 621,,Финансовые показатели
Капитал на акционеров,,1 647 509,1 619 964,1 894 402,,Финансовые показатели
Активы,,2 012 867,2 059 178,2 457 664,,Финансовые показатели
CA Оборотные активы,,496 496,362 934,577 067,,Финансовые показатели
Денежные средства и их эквиваленты,,53 240,119 707,45 920,,Финансовые показатели
Обязательства,,345 791,420 751,546 195,,Финансовые показатели
Собственный капитал,,1 667 076,1 638 427,1 911 469,,Финансовые показатели
Капитал на акционеров,,865 477,67 832,432 927,,Финансовые показатели
Внеоборотные активы,,1 516 371,1 696 244,1 880 597,,Финансовые показатели
CFO операционные денежные потоки,,307 433,171 896,419 466,,Финансовые показатели
FCF на акцию,,162 101,-  10 563,247 042,,Финансовые показатели
Инвестиционный денежный поток,,-  169 044,-  47 872,-  253 135,,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,-  119 448,-  78 075,-  237 898,,Финансовые показатели
CB Текущие кредиты,,12 246,53 152,113 029,,Финансовые показатели
Общий долг,,98 858,102 433,134 123,,Финансовые показатели
Текущие обязательства,,117 113,159 996,388 783,,Финансовые показатели
CL Текущая аренда,2 325,2 947,3 798,3 589,,Финансовые показатели
Долгосрочная аренда,7 473,7 516,6 670,3 426,,Финансовые показатели
Долгосрочные кредиты,,139 852,168 988,67 014,,Финансовые показатели
Долгосрочные обязательства,,228 678,260 755,157 412,,Финансовые показатели
Чистый долг,,162 561,232 608,187 058,,Финансовые показатели
Общие расходы,,,,,,Финансовые показатели
