Показатель,value_float
"Добыча нефти, млн т",12.4
"Добыча газа, млрд м3",82.4
"Выручка, млрд руб",1372.0
"Операционная прибыль, млрд руб",367.1
"EBITDA, млрд руб",889.8
"Чистая прибыль, млрд руб",463.0
"Чистая прибыль н/с, млрд руб",529.1
"Опер.денежный поток, млрд руб",433.3
"CAPEX, млрд руб",223.8
"FCF, млрд руб",209.5
"Див.выплата, млрд руб",238.6
"Дивиденд, руб/акцию",78.59
"Див доход, ао, %",5.3
"Дивиденды/прибыль, %",52.0
"Опер. расходы, млрд руб",1056.0
"Амортизация, млрд руб",75.3
"Расх на персонал, млрд руб",62.9
"Процентные расходы, млрд руб",2.43
"Активы, млрд руб",3219.0
"Чистые активы, млрд руб",2594.0
"Долг, млрд руб",166.9
"Наличность, млрд руб",157.7
"Чистый долг, млрд руб",9.24
"Цена акции ао, руб",1469.0
"Число акций ао, млн",3036.0
"Капитализация, млрд руб",4460.0
"EV, млрд руб",4470.0
"Баланс стоимость, млрд руб",2594.0
"EPS, руб",152.5
"FCF/акцию, руб",69.0
"BV/акцию, руб",854.2
"Рентаб EBITDA, %",64.9
"Чистая рентаб, %",33.8
"Доходность FCF, %",4.7
"ROE, %",17.9
"ROA, %",14.4
P/E,9.63
P/FCF,21.3
P/S,3.25
P/BV,1.72
EV/EBITDA,5.02
Долг/EBITDA,0.01
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",16.0
