Показатель,value_float
"BV/акцию, руб",938.0
"CAPEX, млрд руб",193.0
"CAPEX/Выручка, %",12.0
"EBITDA, млрд руб",1008.0
"EPS, руб",162.5
"EV, млрд руб",3141.0
EV/EBITDA,3.12
"FCF, млрд руб",164.1
"FCF/акцию, руб",54.0
P/BV,1.05
P/E,6.08
P/FCF,18.3
P/S,1.94
"R&D/CAPEX, %",0.0
"ROA, %",13.2
"ROE, %",17.3
"Активы, млрд руб",3740.0
"Амортизация, млрд руб",91.4
"Баланс стоимость, млрд руб",2848.0
"Выручка, млрд руб",1546.0
"Див доход, ао, %",3.6
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",320.0
Долг/EBITDA,0.14
"Доходность FCF, %",5.5
"Капитализация, млрд руб",3000.0
"Наличность, млрд руб",178.4
"Опер. расходы, млрд руб",1176.0
"Опер.денежный поток, млрд руб",357.1
"Операционная прибыль, млрд руб",324.8
"Рентаб EBITDA, %",65.2
"Цена акции ао, руб",988.0
"Число акций ао, млн",3036.0
"Чистая прибыль, млрд руб",493.5
"Чистая рентаб, %",31.9
"Чистые активы, млрд руб",2848.0
"Чистый долг, млрд руб",141.6
