Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"24,15","5,85","4,48","9,92","9,85",Мультипликаторы
P/B,"3,8","4,61","4,19","5,63","5,05",Мультипликаторы
P/S,"1,61","1,8","1,45","1,94","1,64",Мультипликаторы
P/CF,"4,88","6,01","4,07","6,36","8,97",Мультипликаторы
P/FCF,"9,62","9,74","7,93","12,16","28,68",Мультипликаторы
EV/S,"2,23","2,17","1,77","2,45","2,28",Мультипликаторы
EV/EBITDA,"6,6","4,76","3,91","6,4","6,78",Мультипликаторы
EV/EBIT,"18,16","5,55","4,2","9,04","9,77",Мультипликаторы
Коэффициент долга,"0,66","0,59","0,57","0,71","0,72",Мультипликаторы
D/E,"1,97","1,46","1,3","2,45","2,6",Мультипликаторы
CAPEX/Выручка,"16,1","11,4","11,07","14,59","14,8",Мультипликаторы
NetDebt/EBITDA,"1,83","0,8","0,7","1,33","1,91",Мультипликаторы
Долг/EBITDA,"1,93","0,91","0,75","1,5","1,97",Мультипликаторы
ROE,"15,72","78,76","93,42","56,82","51,28",Мультипликаторы
ROA,"5,29","31,98","40,54","16,48","14,26",Мультипликаторы
Return on Sales,"12,27","39,08","42,11","27,06","23,31",Мультипликаторы
ROIC,"16,41","39,22","55,35","34,25","30,58",Мультипликаторы
ROCE,"13,65","48,46","73,11","36,01","33,26",Мультипликаторы
Net Margin,"6,67","30,84","32,43","19,56","16,64",Мультипликаторы
Операционная маржа,"23,25","39,03","40,09","34,24","27,67",Мультипликаторы
EBITDA рентабельность,"33,74","45,62","45,28","38,24","33,59",Мультипликаторы
Тек. ливкидность,"0,74","1,92","1,11","0,86","0,78",Мультипликаторы
Валовая маржа,"34,34","47,96","52,76","42,85","39,7",Мультипликаторы
Выручка,253 879,420 488,569 527,440 304,507 689,Финансовые показатели
Валовая прибыль,87 176,201 681,300 509,188 688,201 530,Финансовые показатели
EBITDA,85 659,191 810,257 879,168 352,170 553,Финансовые показатели
EBIT,31 150,164 321,239 825,119 131,118 331,Финансовые показатели
Процентные доходы,975,778,4 439,3 353,6 497,Финансовые показатели
Процентные расходы,5 455,5 044,11 967,7 881,15 694,Финансовые показатели
Чистые процентные доходы/расходы,-  4 480,-  4 266,-  7 528,-  4 528,-  9 197,Финансовые показатели
Операционный доход,59 033,164 134,228 340,150 756,140 459,Финансовые показатели
Расходы на персонал,57 416,27 845,42 403,32 282,41 620,Финансовые показатели
Прибыль до налогов,26 670,160 055,232 297,114 603,109 044,Финансовые показатели
Чистая прибыль,16 921,129 674,184 714,86 141,84 469,Финансовые показатели
Капитал на акционеров,107 487,164 537,197 562,151 521,164 585,Финансовые показатели
Активы,320 018,405 447,455 613,522 848,592 470,Финансовые показатели
CA Оборотные активы,67 630,127 182,141 314,164 657,184 008,Финансовые показатели
Денежные средства и их эквиваленты,8 460,21 710,13 356,29 163,10 398,Финансовые показатели
Обязательства,212 402,240 804,257 893,371 243,427 748,Финансовые показатели
Собственный капитал,107 616,164 643,197 720,151 605,164 722,Финансовые показатели
Капитал на акционеров,16 932,129 697,184 662,86 084,84 430,Финансовые показатели
Внеоборотные активы,252 388,278 265,314 299,358 191,408 462,Финансовые показатели
CFO операционные денежные потоки,83 738,126 225,203 281,134 286,92 717,Финансовые показатели
FCF на акцию,42 519,77 857,104 295,70 208,28 986,Финансовые показатели
Инвестиционный денежный поток,-  41 219,-  48 368,-  98 986,-  64 078,-  63 731,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  44 036,-  62 669,-  110 295,-  61 200,-  50 697,Финансовые показатели
CB Текущие кредиты,55 316,12 710,80 974,86 429,161 661,Финансовые показатели
Общий долг,156 875,153 718,180 338,223 207,325 356,Финансовые показатели
Текущие обязательства,91 787,66 375,127 579,191 983,236 670,Финансовые показатели
CL Текущая аренда,1 927,2 178,1 276,1 413,1 075,Финансовые показатели
Долгосрочная аренда,4 268,3 459,1 660,2 818,3 056,Финансовые показатели
Долгосрочные кредиты,103 824,157 081,109 784,161 710,169 962,Финансовые показатели
Долгосрочные обязательства,120 615,174 429,130 314,179 260,191 078,Финансовые показатели
Чистый долг,165 335,175 428,193 694,252 370,335 754,Финансовые показатели
Общие расходы,62 890,37 547,72 169,37 932,61 071,Финансовые показатели
